time/total_timesteps,train/learning_rate,train/delta_std,rollout/ep_len_mean,train/step_size,rollout/ep_rew_mean,train/iterations,time/time_elapsed,rollout/return_std,time/fps
35400,0.02,0.05,553.125,5.2642391779045283e-08,-59441.25,0,58,47490.2421875,609
69984,0.02,0.05,540.375,5.4812666405723576e-08,-59421.041666687495,1,114,45609.89453125,612
90292,0.02,0.05,317.3125,5.939036640256745e-08,-77423.125,2,147,42094.3671875,611
129628,0.02,0.05,614.625,5.23981675826235e-08,-56141.25,3,212,47711.59375,609
172356,0.02,0.05,667.625,5.144844905657919e-08,-58666.6875,4,281,48592.328125,612
210104,0.02,0.05,589.8125,5.3847145409235964e-08,-49643.75,5,343,46427.71484375,611
252120,0.02,0.05,656.5,5.174380746097995e-08,-48027.125,6,412,48314.95703125,611
314416,0.02,0.05,973.375,6.942435959444992e-08,-17952.3958333125,7,512,36010.4140625,613
362580,0.02,0.05,752.5625,5.592076846028249e-08,-40524.234375,8,590,44706.109375,613
413476,0.02,0.05,795.25,6.481793235479927e-08,-31417.8125,9,674,38569.5703125,613
460480,0.02,0.05,734.4375,5.476233866374969e-08,-48873.90625,10,751,45651.8125,612
520556,0.02,0.05,938.6875,1.0032335495679945e-07,-11925.026041687499,11,848,24919.419921875,613
552824,0.02,0.05,504.1875,5.407305891935721e-08,-60661.25,12,901,46233.7421875,613
601192,0.02,0.05,755.75,5.962426286032496e-08,-41173.59375,13,981,41929.23828125,612
646940,0.02,0.05,714.8125,5.196414676333916e-08,-47994.203125,14,1056,48110.09375,612
698860,0.02,0.05,811.25,5.825318538654756e-08,-31386.145833312497,15,1140,42916.109375,612
747492,0.02,0.05,759.875,5.1574737369719514e-08,-51344.375,16,1221,48473.34375,612
805080,0.02,0.05,899.8125,5.6012353866208286e-08,-30192.5223214375,17,1314,44633.01171875,612
853260,0.02,0.05,752.8125,5.080675435920057e-08,-48011.09375,18,1392,49206.0546875,612
897924,0.02,0.05,697.875,5.639687827851958e-08,-43188.125,19,1466,44328.6953125,612
947532,0.02,0.05,775.125,5.5948088828472464e-08,-34557.421875,20,1546,44684.27734375,612
1004028,0.02,0.05,882.75,6.355590187467897e-08,-25793.5625,21,1638,39335.44921875,612
1055740,0.02,0.05,808.0,6.049841516642118e-08,-33077.5,22,1724,41323.39453125,612
1110816,0.02,0.05,860.5625,6.062816737539833e-08,-32972.5,23,1815,41234.95703125,611
1163100,0.02,0.05,816.9375,5.97213372088845e-08,-30474.140625,24,1901,41861.08203125,611
1211596,0.02,0.05,757.75,5.7182163004654285e-08,-35897.109375,25,1981,43719.92578125,611
1259292,0.02,0.05,745.25,5.630995403294037e-08,-41560.458333312505,26,2059,44397.125,611
1315364,0.02,0.05,876.125,5.864016827672458e-08,-31618.75,27,2152,42632.890625,611
1368008,0.02,0.05,822.5625,6.226893844996084e-08,-30789.453125,28,2238,40148.4296875,611
1426704,0.02,0.05,917.125,6.605099400758263e-08,-26343.75,29,2334,37849.54296875,611
1487288,0.02,0.05,946.625,9.919807553160354e-08,-11491.067708312501,30,2433,25202.1015625,611
1545596,0.02,0.05,911.0625,5.982901996048895e-08,-31569.6875,31,2528,41785.7421875,611
1599600,0.02,0.05,843.8125,5.5258453812712105e-08,-38224.0625,32,2617,45241.9453125,611
1662408,0.02,0.05,981.375,8.870524226267662e-08,-20301.6145833125,33,2721,28183.2265625,610
1715912,0.02,0.05,836.0,6.294229848435862e-08,-32098.4375,34,2810,39718.91796875,610
1779912,0.02,0.05,1000.0,20000.0,-10000.0,35,2916,0.0,610
1841100,0.02,0.05,956.0625,1.1773573049822517e-07,-14235.15625,36,3017,21233.994140625,610
1885640,0.02,0.05,695.9375,5.6073016452273805e-08,-47975.078125,37,3091,44584.72265625,610
1937880,0.02,0.05,816.25,5.618709053578641e-08,-37877.34375,38,3177,44494.20703125,609
1994948,0.02,0.05,891.6875,6.987453815554545e-08,-25269.5,39,3270,35778.41015625,609
2040000,,,820.0769230769231,,-27593.20512823077,,3344,,610
2049592,0.02,0.05,853.8125,7.343708574580887e-08,-24294.4791666875,40,3360,34042.7421875,609
