train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean
117102208.0,-0.04674781113862991,42.75,0.9939932823181152,0.001,19,4,102.73251342773438,0,180,272,-100417.5
505980992.0,-0.11600916087627411,31.125,0.9879664778709412,0.001,39,8,140.67404174804688,1,260,213,-100301.25
348733440.0,-0.1852731555700302,27.833333333333332,0.9809622764587402,0.001,60,12,31.966323852539062,1,344,191,-100268.33333333333
270955552.0,-0.24480782449245453,26.4375,0.9739966988563538,0.001,81,16,29.324527740478516,2,428,180,-100254.375
345738752.0,-0.17588560283184052,25.7,0.9664553999900818,0.001,105,20,-47.058082580566406,3,524,173,-100247.0
654429696.0,0.05709325522184372,24.583333333333332,0.9612606763839722,0.001,124,24,-316.4766845703125,3,600,169,-100235.83333333333
344268320.0,0.1260727494955063,24.464285714285715,0.9586352705955505,0.001,148,28,-365.7548828125,4,696,165,-100234.64285714286
302023328.0,0.10171240568161011,24.4375,0.9593015909194946,0.001,178,32,-677.955322265625,5,816,162,-100234.375
415586304.0,0.18208570778369904,24.36111111111111,0.9614384770393372,0.001,199,36,-608.616943359375,5,900,160,-100233.61111111111
260457824.0,0.2219296544790268,24.025,0.9653037786483765,0.001,220,40,-795.1934814453125,6,984,159,-100230.25
331466432.0,0.16859358549118042,24.09090909090909,0.972661554813385,0.001,252,44,-868.709228515625,7,1112,157,-100003.63636363637
556747520.0,0.18644608557224274,23.958333333333332,0.9780044555664062,0.001,269,48,-728.3310546875,7,1180,157,-100021.25
326820800.0,0.13625241816043854,23.307692307692307,0.9830576777458191,0.001,284,52,-833.5592041015625,7,1240,155,-100030.76923076923
585999488.0,0.09020471572875977,22.75,0.9883919358253479,0.001,300,56,-759.1036376953125,8,1304,155,-100038.92857142857
398766784.0,0.05579181760549545,22.25,0.994013249874115,0.001,315,60,-846.5689086914062,8,1364,154,-100045.83333333333
397390048.0,-0.00020220405713189393,21.859375,1.0012671947479248,0.001,331,64,-789.9989624023438,9,1428,154,-100052.34375
503260736.0,-0.06553712487220764,21.5,1.0076372623443604,0.001,347,68,-710.1920166015625,9,1492,153,-100057.94117647059
462779264.0,-0.16368304193019867,21.26388888888889,1.015765905380249,0.001,364,72,-653.531982421875,10,1560,152,-100063.75
506981600.0,-0.2542653977870941,21.0,1.02286696434021,0.001,380,76,-662.50634765625,10,1624,152,-100068.42105263157
319880960.0,-0.33590590953826904,20.7,1.0300722122192383,0.001,395,80,-668.9297485351562,11,1684,152,-100072.0
357032288.0,-0.3896525502204895,20.55952380952381,1.0371885299682617,0.001,411,84,-710.8509521484375,11,1748,151,-100076.54761904762
271949184.0,-0.5180498361587524,20.477272727272727,1.0470249652862549,0.001,431,88,-506.9878845214844,12,1828,151,-100081.13636363637
355831680.0,-0.6902916431427002,20.26086956521739,1.0556961297988892,0.001,448,92,-425.31732177734375,12,1896,151,-100083.91304347826
568842496.0,-0.9007147550582886,20.208333333333332,1.0647802352905273,0.001,466,96,-526.6178588867188,13,1968,150,-100087.91666666667
270031936.0,-1.0696773529052734,20.13,1.0728158950805664,0.001,482,100,-355.6881408691406,13,2032,150,-100091.3
560066624.0,-1.224642038345337,19.24,1.0876429080963135,0.001,510,104,-375.379638671875,14,2144,149,-100082.4
427393280.0,-1.5068111419677734,19.65,1.1073293685913086,0.001,546,108,-332.9571533203125,15,2288,149,-100086.5
400716992.0,-1.7170087099075317,20.28,1.1266379356384277,0.001,580,112,-143.43722534179688,16,2424,149,-100092.8
219577728.0,-2.3190653324127197,20.75,1.1598320007324219,0.001,644,116,176.5501708984375,17,2680,149,-100097.5
204841376.0,-2.366672992706299,21.11,1.1694064140319824,0.001,663,120,29.233844757080078,18,2756,148,-100101.1
273325056.0,-2.6380505561828613,22.31,1.1886693239212036,0.001,698,124,70.80490112304688,19,2896,148,-100113.1
144086880.0,-2.4515461921691895,22.54,1.2060966491699219,0.001,731,128,-60.87990951538086,20,3028,148,-100115.4
317700832.0,-3.0129594802856445,22.37,1.221059799194336,0.001,760,132,140.06546020507812,21,3144,148,-100113.7
287232768.0,-3.168307065963745,22.19,1.2301387786865234,0.001,780,136,50.290260314941406,21,3224,147,-100111.9
446037888.0,-3.509951114654541,22.11,1.245710849761963,0.001,808,140,171.9522705078125,22,3336,147,-100111.1
338653280.0,-3.8921589851379395,21.88,1.260178565979004,0.001,836,144,346.508056640625,23,3448,147,-100208.8
286918528.0,-4.125720024108887,21.74,1.2717571258544922,0.001,856,148,714.916015625,23,3528,147,-100207.4
225228944.0,-4.797671318054199,21.88,1.2873259782791138,0.001,884,152,552.5996704101562,24,3640,147,-100208.8
374411744.0,-5.424963474273682,22.02,1.303862452507019,0.001,912,156,710.75390625,25,3752,147,-100210.2
133118960.0,-5.445006370544434,22.19,1.3171427249908447,0.001,933,160,363.55572509765625,26,3836,147,-100211.9
426656320.0,-5.450497627258301,22.32,1.3363620042800903,0.001,961,164,748.7236328125,26,3948,147,-100213.2
231945120.0,-5.766651153564453,22.34,1.349784255027771,0.001,983,168,957.4794311523438,27,4036,147,-100213.4
407419200.0,-6.376157283782959,22.33,1.361252784729004,0.001,1002,172,998.4004516601562,27,4112,147,-100213.3
326524512.0,-6.2310872077941895,22.37,1.3785361051559448,0.001,1028,176,825.9412231445312,28,4216,147,-100213.7
217117344.0,-6.740739822387695,22.47,1.3939242362976074,0.001,1053,180,977.5617065429688,29,4316,146,-100214.7
279591648.0,-6.795576095581055,22.49,1.4076184034347534,0.001,1073,184,1394.104736328125,29,4396,146,-100214.9
188075344.0,-7.108955383300781,22.39,1.4234005212783813,0.001,1097,188,1387.651611328125,30,4492,146,-100213.9
290038848.0,-7.3370513916015625,22.41,1.4394861459732056,0.001,1120,192,1792.1900634765625,31,4584,146,-100214.1
553090496.0,-8.164029121398926,22.32,1.451622724533081,0.001,1139,196,1778.756591796875,31,4660,146,-100213.2
173859616.0,-8.344266891479492,22.27,1.4681261777877808,0.001,1164,200,1775.90283203125,32,4760,146,-100212.7
336229024.0,-8.830756187438965,22.14,1.4846992492675781,0.001,1188,204,1352.6636962890625,33,4856,146,-100211.4
203799808.0,-8.384092330932617,21.66,1.4995135068893433,0.001,1209,208,1858.089111328125,33,4940,146,-100206.6
246512064.0,-8.840677261352539,20.88,1.516017198562622,0.001,1233,212,2185.62939453125,34,5036,146,-100198.8
387787872.0,-8.877151489257812,20.2,1.5340813398361206,0.001,1258,216,1726.654052734375,35,5136,146,-100192.0
201918976.0,-8.994521141052246,19.64,1.5480624437332153,0.001,1279,220,1958.6416015625,35,5220,146,-100186.4
371524960.0,-9.132923126220703,18.45,1.5661271810531616,0.001,1306,224,2539.94775390625,36,5328,146,-100174.5
233468448.0,-9.680335998535156,18.19,1.5902783870697021,0.001,1342,228,2207.07568359375,37,5472,146,-100171.9
368428160.0,-9.627094268798828,25.16,1.6065887212753296,0.001,1367,232,1941.318115234375,38,5572,146,-100241.6
86169120.0,-10.924737930297852,25.17,1.6190547943115234,0.001,1386,236,2450.3369140625,38,5648,146,-100241.7
257672560.0,-10.75847339630127,25.18,1.634035348892212,0.001,1405,240,2348.25341796875,39,5724,146,-100241.8
168013920.0,-12.109552383422852,25.2,1.647257924079895,0.001,1425,244,2787.900146484375,39,5804,146,-100242.0
318234432.0,-11.482715606689453,25.23,1.6630336046218872,0.001,1445,248,2910.85205078125,40,5884,146,-100242.3
53330388.0,-10.947819709777832,25.2,1.6765987873077393,0.001,1463,252,2983.1025390625,40,5956,146,-100242.0
230260480.0,-11.358187675476074,25.21,1.690072774887085,0.001,1482,256,3150.898193359375,41,6032,146,-100242.1
161815200.0,-11.383439064025879,25.19,1.705545425415039,0.001,1501,260,3145.99267578125,41,6108,146,-100241.9
178800960.0,-11.520437240600586,25.23,1.7208120822906494,0.001,1522,264,2974.09814453125,42,6192,146,-100242.3
235418656.0,-12.461163520812988,25.43,1.7361618280410767,0.001,1544,268,3389.826904296875,42,6280,146,-100244.3
56266808.0,-13.06239128112793,25.77,1.7536879777908325,0.001,1569,272,3128.16650390625,43,6380,146,-100147.475
