time/episodes,train/n_updates,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef_loss,time/fps,train/ent_coef
4,54,3.732942819595337,320,1,-100537.5,54.75,75.14356231689453,0.0003,-0.28343331813812256,223,1.0138126611709595
8,133,198.4925537109375,636,3,-100611.25,62.125,89.3245849609375,0.0003,-0.749935507774353,191,1.0356357097625732
12,209,784.3464965820312,940,5,-100667.5,67.75,105.1318130493164,0.0003,-1.2735092639923096,184,1.0583521127700806
16,317,394.52227783203125,1372,7,-100721.875,73.1875,127.68104553222656,0.0003,-2.0557687282562256,178,1.0919052362442017
20,428,199.54257202148438,1816,10,-100774.0,78.4,147.81674194335938,0.0003,-2.8055052757263184,176,1.1280637979507446
24,475,589.8179931640625,2004,11,-100357.5,78.91666666666667,160.10443115234375,0.0003,-3.1716670989990234,175,1.1437932252883911
28,608,395.19927978515625,2536,14,-100418.57142857143,79.0,182.14614868164062,0.0003,-3.72308349609375,173,1.1897270679473877
32,736,395.59521484375,3048,17,-100491.875,81.8125,214.42868041992188,0.0003,-4.857497215270996,173,1.2357559204101562
36,811,6.062967777252197,3348,19,-100033.26388888889,88.58333333333333,232.42262268066406,0.0003,-5.370022773742676,172,1.263190746307373
40,862,590.823974609375,3552,20,-100080.9375,84.925,245.1339111328125,0.0003,-5.39772367477417,172,1.2825214862823486
44,972,396.3666076660156,3992,23,-100143.35227272728,84.27272727272727,272.038330078125,0.0003,-6.082462310791016,171,1.325209140777588
48,1069,1000.3778686523438,4380,25,-100025.15625,88.54166666666667,294.550048828125,0.0003,-6.63394021987915,171,1.3641383647918701
52,1157,1175.78759765625,4732,27,-99894.42307692308,88.46153846153847,321.4571228027344,0.0003,-7.7826056480407715,171,1.4003275632858276
56,1217,416.5888366699219,4972,29,-99945.53571428571,86.57142857142857,335.40618896484375,0.0003,-7.686318874359131,171,1.4257677793502808
60,1284,786.4708251953125,5240,30,-100006.33333333333,86.58333333333333,355.3699645996094,0.0003,-8.391337394714355,170,1.454798698425293
64,1366,397.6722106933594,5568,32,-100037.8125,84.421875,380.55078125,0.0003,-8.986103057861328,170,1.4906278848648071
68,1483,592.2896728515625,6036,35,-100088.9705882353,84.8529411764706,417.7444152832031,0.0003,-10.48880386352539,170,1.543458342552185
72,1629,398.5066833496094,6620,38,-100141.38888888889,85.93055555555556,435.9388427734375,0.0003,-8.492969512939453,170,1.611708641052246
76,1686,398.3777770996094,6848,40,-100075.8552631579,88.94736842105263,452.3726806640625,0.0003,-8.981866836547852,169,1.6338131427764893
80,1779,204.0167694091797,7220,42,-99989.21875,89.15,473.3865661621094,0.0003,-8.440593719482422,169,1.669687032699585
84,1853,612.3731689453125,7516,44,-100019.01785714286,87.88095238095238,493.99407958984375,0.0003,-9.081786155700684,169,1.6993529796600342
88,1935,593.1199951171875,7844,46,-100055.99431818182,87.7159090909091,515.821044921875,0.0003,-9.187860488891602,169,1.7335153818130493
92,2058,399.1678771972656,8336,49,-99995.12228260869,89.3804347826087,532.265380859375,0.0003,-6.556941986083984,169,1.7777729034423828
96,2149,1176.4749755859375,8700,51,-100026.0546875,88.77083333333333,547.2457885742188,0.0003,-6.823493957519531,169,1.8061937093734741
100,2261,787.890380859375,9148,53,-100058.1125,88.57,572.7894287109375,0.0003,-6.301576614379883,169,1.8432352542877197
104,2305,399.7265930175781,9324,55,-100077.0125,90.46,583.6537475585938,0.0003,-6.860941410064697,169,1.8584800958633423
108,2378,400.33074951171875,9616,56,-100071.8125,89.94,596.333740234375,0.0003,-7.056305885314941,169,1.8846232891082764
112,2463,12.035579681396484,9956,58,-99971.8125,90.0,614.9512329101562,0.0003,-7.687853813171387,169,1.9162124395370483
116,2538,594.3429565429688,10256,60,-99964.7125,89.29,630.0848999023438,0.0003,-7.890050411224365,169,1.9453909397125244
120,2626,981.9223022460938,10608,62,-99755.62083333,89.1,659.8453979492188,0.0003,-8.116578102111816,169,1.9807549715042114
124,2713,400.8803405761719,10956,64,-99748.34583333001,88.26,679.5802001953125,0.0003,-8.675005912780762,169,2.0172832012176514
128,2804,207.33474731445312,11320,66,-99763.14583333001,89.74,697.0784912109375,0.0003,-8.78378963470459,169,2.0571134090423584
132,2880,789.69287109375,11624,68,-99750.44583333,88.47,719.597900390625,0.0003,-8.49940299987793,169,2.09220814704895
136,3000,789.8798828125,12104,71,-99936.67083333,86.88,749.9703369140625,0.0003,-8.752656936645508,169,2.1495766639709473
140,3091,983.4061279296875,12468,73,-99938.77083333001,87.09,776.7528076171875,0.0003,-8.726070404052734,169,2.195000648498535
144,3157,402.6969299316406,12732,75,-99744.0625,88.42,790.4990234375,0.0003,-9.206595420837402,169,2.229292154312134
148,3209,615.7171630859375,12940,76,-99724.1875,85.99,808.551025390625,0.0003,-10.007333755493164,169,2.256641149520874
152,3284,596.2449951171875,13240,78,-99819.6625,85.38,832.646484375,0.0003,-10.007903099060059,168,2.2974693775177
156,3352,810.6095581054688,13512,79,-99814.3625,84.85,849.21142578125,0.0003,-10.526956558227539,168,2.335481643676758
160,3438,791.2019653320312,13856,81,-99719.0625,85.62,872.70849609375,0.0003,-9.970449447631836,168,2.385866165161133
164,3555,598.2167358398438,14324,84,-99643.8375,88.21,902.535888671875,0.0003,-9.177746772766113,168,2.456943988800049
168,3636,16.917959213256836,14648,86,-99636.6375,87.49,810.3457641601562,0.0003,9.052053451538086,168,2.464313507080078
