time/fps,train/step_size,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/iterations,train/delta_std,rollout/return_std,train/learning_rate,time/total_timesteps
269,1.5019709564967343e-07,-78288.75,329.625,78,0,0.05,40779.74609375,0.049,21096
268,1.6842898276081542e-07,-83296.875,205.5,127,1,0.05,36365.47265625,0.049,34248
271,1.3132115839198377e-07,-65432.5,394.25,219,2,0.05,46641.37890625,0.049,59480
273,1.2957762862697564e-07,-48269.53125,661.0625,372,3,0.05,47268.96484375,0.049,101788
272,1.343520068530779e-07,-37212.65625,760.8125,551,4,0.05,45589.1953125,0.049,150480
272,1.3485649219546758e-07,-53887.1875,579.0625,688,5,0.05,45418.6484375,0.049,187540
272,1.2506228586062207e-07,-59640.9375,510.125,807,6,0.05,48975.59375,0.049,220188
272,1.2790397363460215e-07,-45892.5,839.625,1006,7,0.05,47887.48828125,0.049,273924
271,1.452030886639477e-07,-33560.0,856.25,1209,8,0.05,42182.296875,0.049,328724
269,1.7631188597988512e-07,-20534.21875,983.25,1454,9,0.05,34739.57421875,0.049,391652
269,2.6279602138856717e-07,-14593.4375,940.875,1675,10,0.05,23307.048828125,0.049,451868
270,1.3639352403060911e-07,-28552.65625,824.4375,1866,11,0.05,44906.82421875,0.049,504632
270,1.0594635568850208e-06,-7356.25,1000.0,2102,12,0.05,5781.22705078125,0.049,568632
270,1.4720427543579717e-07,-31839.84375,782.6875,2289,13,0.05,41608.84375,0.049,618724
268,1.1132476629427401e-06,-7504.84375,1000.0,2538,14,0.05,5501.919921875,0.049,682724
269,2.402992151928629e-07,-7569.21875,938.4375,2754,15,0.05,25489.052734375,0.049,742784
270,2.663699945060216e-07,-11090.78125,984.0625,2983,16,0.05,22994.330078125,0.049,805764
270,9.925159929480287e-07,-6062.65625,1000.0,3218,17,0.05,6171.18505859375,0.049,869764
270,1.797184694396492e-07,-14892.65625,946.5,3437,18,0.05,34081.08203125,0.049,930340
270,2.4616926452836196e-07,-10902.5,939.0625,3656,19,0.05,24881.251953125,0.049,990440
271,7.711615239713865e-07,-4084.84375,1000.0,3885,20,0.05,7942.56396484375,0.049,1054440
271,1.7639484894971247e-07,-16619.6875,923.875,4099,21,0.05,34723.234375,0.049,1113568
271,8.456416367152997e-07,-2352.34375,1000.0,4330,22,0.05,7243.0205078125,0.049,1177568
272,8.097256340988679e-07,-3584.53125,1000.0,4560,23,0.05,7564.29052734375,0.049,1241568
272,2.53119907256405e-07,-9640.0,981.5,4784,24,0.05,24198.017578125,0.049,1304384
272,1.5583758283810312e-07,-24739.375,870.625,4989,25,0.05,39303.7421875,0.049,1360104
272,8.344351840605668e-07,-4525.0,1000.0,5220,26,0.05,7340.29443359375,0.049,1424104
272,8.54125630667113e-07,-4694.21875,1000.0,5452,27,0.05,7171.076171875,0.049,1488104
273,7.958217906889331e-07,-4301.40625,1000.0,5682,28,0.05,7696.44677734375,0.049,1552104
273,8.329059824063734e-07,-3167.65625,1000.0,5913,29,0.05,7353.771484375,0.049,1616104
273,7.345077506215603e-07,-1074.7395833125001,1000.0,6140,30,0.05,8338.91796875,0.049,1680104
273,2.2206185690265556e-07,-8196.09375,983.0,6362,31,0.05,27582.404296875,0.049,1743016
274,1.8229530951430206e-07,-15975.0,877.5,6565,32,0.05,33599.328125,0.049,1799176
273,1.304754505326855e-06,-7822.1875,1000.0,6801,33,0.05,4694.36962890625,0.049,1863176
273,1.0033097623818321e-06,-6598.125,1000.0,7036,34,0.05,6104.79443359375,0.049,1927176
273,8.089021434898314e-07,-2745.78125,1000.0,7276,35,0.05,7571.99072265625,0.049,1991176
273,,-4912.5,1000.0,7499,,,,,2050000
273,8.538992233297904e-07,-4658.59375,1000.0,7517,36,0.05,7172.9775390625,0.049,2055176
