rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/approx_kl
196.85416666666666,10000,37,-93454.78140783333,267,,,,,,,,,,,,
199.0125,16384,60,-93836.752029225,272,1,,,,,,,,,,,
208.17021276595744,20000,98,-93109.35413197872,203,,-8.576943000406027,0.04022216796875,0.2,0.0011,233693840.0,10,609701433.809375,1.0181102752685547,-0.004319941398352967,-1.1920928955078125e-07,0.0054051992
228.69,30000,134,-92329.07654206001,223,,,,,,,,,,,,
236.73,32768,144,-92505.12844682,227,2,,,,,,,,,,,
258.15,40000,195,-91002.39563658,205,,-8.702629344537854,0.033050537109375,0.2,0.0011,111303240.0,20,484372899.6453125,1.0409836769104004,-0.0024794997907520155,0.0,0.005432047
266.71,49152,227,-89376.37229798001,215,3,,,,,,,,,,,
269.9,50000,256,-86882.50388889,195,,-8.801543001458048,0.01988525390625,0.2,0.0011,309925152.0,30,480411972.4828125,1.054333209991455,-0.002249590885548969,0.0,0.0040785098
267.84,60000,291,-84263.9504665,205,,,,,,,,,,,,
274.83,65536,311,-82202.60623574,210,4,,,,,,,,,,,
288.97,70000,352,-82463.31686343999,198,,-8.935873254016041,0.06029052734375,0.2,0.0011,306136448.0,40,448887045.7515625,1.0820168256759644,-0.002511545011839189,-0.0014249086380004883,0.008579457
308.95,80000,386,-81130.36513183,206,,,,,,,,,,,,
306.34,81920,393,-83456.49558637,208,5,,,,,,,,,,,
318.21,90000,446,-85118.44909895999,201,,-9.083943850174546,0.07916259765625,0.2,0.0011,142162064.0,50,374393458.3046875,1.10472571849823,-0.0013146529892765102,-3.5881996154785156e-05,0.0074093984
338.97,98304,475,-82268.33689505,206,6,,,,,,,,,,,
329.66,100000,507,-81818.57058553,197,,-9.213276289403439,0.13984375,0.2,0.0011,232104448.0,60,375976740.446875,1.13454270362854,0.0009132043365752907,-0.0014028549194335938,0.011130876
329.27,110000,543,-82016.04440423001,202,,,,,,,,,,,,
335.04,114688,558,-84505.23781055,205,7,,,,,,,,,,,
