time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/approx_kl
1,120.0,16384,58,-99955.725,280,,,,,,,,,,,
2,107.1,32768,142,-99726.675,230,-8.546021455526352,0.038507080078125,0.2,0.0011,660544512.0,10,1051838937.725,1.0097166299819946,-0.0037396085130239954,1.7881393432617188e-07,0.005045562
3,146.72,49152,226,-98965.6875,217,-8.603787340968847,0.032440185546875,0.2,0.0011,907075136.0,20,1113820112.6375,1.019155502319336,-0.0030100241223408376,1.1920928955078125e-07,0.004983903
4,136.03,65536,310,-99489.7,211,-8.65942667387426,0.022088623046875,0.2,0.0011,501954112.0,30,842752036.825,1.0289359092712402,-0.0025863444858259753,0.0,0.003744003
5,167.36,81920,393,-99042.16666666999,208,-8.716613725200295,0.027239990234375,0.2,0.0011,722868736.0,40,892756820.66875,1.0384587049484253,-0.0027583701668845604,1.1920928955078125e-07,0.004566743
6,177.25,98304,477,-98400.9275,205,-8.7846071254462,0.017767333984375,0.2,0.0011,941369536.0,50,739811903.75625,1.0525318384170532,-0.002022929319173272,0.0,0.0034585528
7,162.77,114688,560,-97961.26250000998,204,-8.872593564912677,0.029345703125,0.2,0.0011,522011040.0,60,699077988.80625,1.0678399801254272,-0.003155564012558898,-1.1920928955078125e-07,0.004684125
8,166.99,131072,644,-98747.92083333999,203,-8.954863652586937,0.0289306640625,0.2,0.0011,558482816.0,70,749885468.93125,1.0827773809432983,-0.002714759632544883,0.0,0.0045141377
9,185.03,147456,728,-97776.70333333,202,-9.04991142898798,0.0221923828125,0.2,0.0011,372349408.0,80,723388194.95,1.1011323928833008,-0.001836996146448655,0.0,0.0036468299
10,175.23,163840,812,-98509.775,201,-9.140315232425928,0.021038818359375,0.2,0.0011,327869568.0,90,668578801.953125,1.1170001029968262,-0.0015890164871962043,0.0,0.003444012
11,178.37,180224,896,-98644.39166667,201,-9.239066855609417,0.024005126953125,0.2,0.0011,394102720.0,100,678392022.9125,1.1365957260131836,-0.0017764274329238106,0.0,0.004613774
12,184.96,196608,980,-99016.4125,200,-9.32035775706172,0.03082275390625,0.2,0.0011,331178816.0,110,660050344.91875,1.1498043537139893,-0.00298294451986294,-1.1920928955078125e-07,0.004077486
13,189.94,212992,1064,-99587.29583333,200,-9.416651049628854,0.03238525390625,0.2,0.0011,406478208.0,120,645180107.7875,1.1726775169372559,-0.002981824424387014,-1.1920928955078125e-07,0.0048533143
14,211.92,229376,1147,-98379.925,199,-9.535403466597199,0.03682861328125,0.2,0.0011,657565696.0,130,591514037.421875,1.1952000856399536,-0.0019980478169600246,0.0,0.0047188485
15,211.68,245760,1231,-99565.39166667,199,-9.629418622329831,0.026519775390625,0.2,0.0011,465213536.0,140,589428761.134375,1.2106971740722656,-0.0022303483630821573,0.0,0.0040126443
16,206.23,262144,1315,-98869.07738095999,199,-9.723759599775075,0.0372802734375,0.2,0.0011,358155968.0,150,562207161.134375,1.2322189807891846,-0.002822703289712081,0.0,0.005090535
17,210.22,278528,1398,-98770.38154762,199,-9.836044761911035,0.0301025390625,0.2,0.0011,289394848.0,160,575573724.790625,1.256514072418213,-0.0018594127112010028,-1.1920928955078125e-07,0.0046470584
18,201.19,294912,1482,-98759.38333334,198,-9.95575901605189,0.033880615234375,0.2,0.0011,253901776.0,170,539054764.70625,1.2824456691741943,-0.0018823023237928282,-1.1920928955078125e-07,0.004888638
19,197.98,311296,1566,-99429.3,198,-10.062299903854727,0.039373779296875,0.2,0.0011,657265856.0,180,581883654.915625,1.3031189441680908,-0.0022539980001965885,0.0,0.005221362
20,217.11,327680,1649,-98990.94583334,198,-10.153180120885372,0.043341064453125,0.2,0.0011,472050496.0,190,560653312.403125,1.3212199211120605,-0.0027854321335325947,0.0,0.005323953
21,207.35,344064,1732,-98656.31000000998,198,-10.260632993280888,0.045068359375,0.2,0.0011,438912416.0,200,523273382.040625,1.3483407497406006,-0.002735001920882496,-1.1920928955078125e-07,0.0056345602
22,215.4,360448,1815,-99243.71416666999,198,-10.380225694179535,0.04481201171875,0.2,0.0011,700613824.0,210,569282116.978125,1.3759162425994873,-0.002370581405921257,0.0,0.005966253
23,215.67,376832,1899,-98669.15833333999,198,-10.51245314143598,0.042181396484375,0.2,0.0011,287048032.0,220,510546859.790625,1.4080504179000854,-0.0018162909096645307,-1.1920928955078125e-07,0.006349989
24,221.49,393216,1982,-98764.65,198,-10.633195501938463,0.0351806640625,0.2,0.0011,164808912.0,230,535005328.51875,1.4338042736053467,-0.0015253677789587527,0.0,0.004675932
25,244.73,409600,2065,-97823.10547619998,198,-10.758809361234308,0.048126220703125,0.2,0.0011,133210752.0,240,495997559.153125,1.4660444259643555,-0.0013200211466028121,0.0,0.0061659813
26,239.39,425984,2149,-98908.81380952001,198,-10.867436345294118,0.043841552734375,0.2,0.0011,316017312.0,250,455987558.475,1.489392638206482,-0.0013027070572206867,0.0,0.005375213
27,247.92,442368,2233,-99945.80833333,198,-10.990920980274677,0.056768798828125,0.2,0.0011,330863328.0,260,459038479.946875,1.5255558490753174,-0.001420310764660826,-1.1920928955078125e-07,0.0073701097
28,237.78,458752,2316,-98634.72083333001,198,-11.133543050289154,0.05068359375,0.2,0.0011,247064288.0,270,450469024.9609375,1.5614335536956787,-0.0012862564904935424,0.0,0.006699639
29,254.12,475136,2400,-98603.04166666,197,-11.258688650652767,0.055340576171875,0.2,0.0011,426125984.0,280,489439054.71875,1.5925652980804443,-0.001742370767169632,0.0,0.0075581307
30,277.06,491520,2483,-99086.45416666001,197,-11.414198780432343,0.068035888671875,0.2,0.0011,192491552.0,290,413614390.959375,1.6392916440963745,-0.0012493535376052022,0.0,0.009479843
31,232.82,507904,2566,-99771.15833333001,197,-11.557929840311408,0.060406494140625,0.2,0.0011,321871872.0,300,420569877.303125,1.6766242980957031,-0.0007916216483863537,-1.1920928955078125e-07,0.0072432715
32,216.99,524288,2651,-99771.0625,197,-11.670577766373754,0.050469970703125,0.2,0.0011,336323392.0,310,462393180.59375,1.7040150165557861,-0.00164375078111334,5.960464477539063e-08,0.0058691865
33,211.59,540672,2734,-99248.75416667,197,-11.769228927046061,0.043426513671875,0.2,0.0011,540470400.0,320,522199195.834375,1.7315762042999268,-0.001460862863859802,0.0,0.005152663
34,250.93,557056,2817,-98742.60833334,197,-11.856587992981076,0.04320068359375,0.2,0.0011,265264512.0,330,498526243.328125,1.757183313369751,-0.0013559725772211094,0.0,0.0055610337
35,185.95,573440,2901,-99917.18333333,197,-12.009251329302788,0.19305419921875,0.2,0.0011,137917152.0,340,394997841.4984375,1.8047771453857422,0.006416280251505669,0.0,0.01861417
36,226.67,589824,2985,-99418.94916666999,197,-12.103803068771958,0.03310546875,0.2,0.0011,349715808.0,350,596025084.803125,1.8307220935821533,-0.0018050730561299134,0.0,0.00534408
