time/time_elapsed,train/critic_loss,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,time/fps,train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
3,871.4281005859375,1.0019149780273438,22,60.602760314941406,-0.06839506328105927,53,0.0001,192,4,31.0,-92708.125
4,920.8912353515625,1.0046160221099854,58,73.27723693847656,-0.11907027661800385,70,0.0001,336,8,30.625,-92682.3125
7,861.9094848632812,1.0107897520065308,137,85.77690887451172,-0.28145071864128113,90,0.0001,652,12,31.916666666666668,-91876.54166666667
10,881.1168823242188,1.0205144882202148,248,100.89446258544922,-0.5233092904090881,103,0.0001,1096,16,47.9375,-92854.828125
13,393.37908935546875,1.0281234979629517,330,111.86225891113281,-0.7254126667976379,108,0.0001,1424,20,63.9,-92952.7375
24,256.9245300292969,1.067502498626709,727,160.89675903320312,-1.6562325954437256,124,0.0001,3012,24,80.0,-92991.94471154168
29,413.46502685546875,1.0775822401046753,910,142.162841796875,-0.8518242239952087,127,0.0001,3744,28,114.82142857142857,-91974.67072214288
34,238.02622985839844,1.0876961946487427,1089,154.62896728515625,-1.0003221035003662,128,0.0001,4460,32,129.0,-84983.34406306251
37,433.11370849609375,1.094584584236145,1201,159.2911376953125,-0.9430128931999207,129,0.0001,4908,36,130.1891891891892,-79531.90162540541
45,627.9465942382812,1.1052113771438599,1459,154.93893432617188,-0.5807704925537109,129,0.0001,5940,40,131.25,-80379.8840035
50,237.8651885986328,1.1125105619430542,1631,160.3851318359375,-0.6083131432533264,130,0.0001,6628,44,136.61363636363637,-81341.85477590909
51,393.91876220703125,1.113767147064209,1659,160.67288208007812,-0.707308292388916,130,0.0001,6740,48,135.91666666666666,-82105.177107625
55,900.7041625976562,1.1187597513198853,1766,161.60952758789062,-0.7515439391136169,130,0.0001,7168,52,133.69230769230768,-83138.24040703847
60,257.439453125,1.1282292604446411,1952,166.39999389648438,-0.7320190668106079,130,0.0001,7912,56,138.26785714285714,-83324.66321526786
68,198.84832763671875,1.14205801486969,2197,172.859619140625,-0.9206065535545349,130,0.0001,8892,60,142.9,-83841.33844536668
72,43.03048324584961,1.151202917098999,2346,170.47300720214844,-0.8242824077606201,130,0.0001,9488,64,144.140625,-80986.60523895313
76,413.38116455078125,1.1595145463943481,2473,174.1187744140625,-0.77386075258255,130,0.0001,9996,68,144.16176470588235,-81686.38213666176
76,238.0190887451172,1.1595816612243652,2474,172.83798217773438,-1.0388948917388916,130,0.0001,10000,68,144.16176470588235,-81686.38213666176
80,842.3909301757812,1.1669678688049316,2582,177.5708465576172,-1.0305229425430298,130,0.0001,10432,72,140.79166666666666,-82305.38521240278
82,257.4655456542969,1.1717479228973389,2649,175.82382202148438,-1.0047924518585205,130,0.0001,10700,76,135.68421052631578,-82993.02941175
87,257.54412841796875,1.1844323873519897,2819,177.70587158203125,-1.0306001901626587,130,0.0001,11380,80,138.2375,-83518.2737745
90,238.18370056152344,1.1919491291046143,2915,178.9442901611328,-1.1880180835723877,130,0.0001,11764,84,137.61904761904762,-83722.10895190477
93,23.621644973754883,1.2019604444503784,3037,184.49815368652344,-1.0897716283798218,130,0.0001,12252,88,136.0568181818182,-84134.07274954546
96,23.740245819091797,1.2083070278167725,3112,181.29624938964844,-1.2325953245162964,130,0.0001,12552,92,134.19565217391303,-84403.2924126087
102,881.5487060546875,1.226264476776123,3314,184.22581481933594,-1.2774906158447266,130,0.0001,13360,96,135.5,-84560.32970791667
103,43.368446350097656,1.2300193309783936,3355,187.11871337890625,-1.4695175886154175,130,0.0001,13524,100,134.19,-84891.05401960001
107,647.7545776367188,1.2436363697052002,3499,188.18511962890625,-1.3697354793548584,130,0.0001,14100,104,135.53,-84689.8290196
112,608.647216796875,1.2592707872390747,3657,191.79446411132812,-1.5457725524902344,131,0.0001,14732,108,141.82,-84297.80866246
116,218.71063232421875,1.2751041650772095,3812,189.84259033203125,-1.4346027374267578,131,0.0001,15352,112,146.21,-83998.72532911999
120,238.3314666748047,1.289191484451294,3943,197.66893005371094,-1.7268003225326538,131,0.0001,15876,116,149.09,-83783.91282912
124,4.291975975036621,1.2987074851989746,4080,183.064208984375,-0.46034324169158936,131,0.0001,16424,120,147.49,-83869.08782912
129,199.0742645263672,1.3016234636306763,4218,176.13792419433594,-0.17927435040473938,131,0.0001,16976,124,145.94,-83650.68109835
134,413.601318359375,1.3049994707107544,4381,174.62762451171875,-0.39040717482566833,131,0.0001,17628,128,139.17,-83827.89002692
135,277.0697021484375,1.3060319423675537,4430,171.88873291015625,-0.23072120547294617,131,0.0001,17824,132,132.6,-85994.52772894001
141,608.4019165039062,1.3103278875350952,4631,173.21385192871094,-0.23508180677890778,131,0.0001,18628,136,132.32,-88191.4271337
146,608.4429931640625,1.314433217048645,4800,170.02064514160156,-0.28108853101730347,131,0.0001,19304,140,135.14,-88163.67478327999
151,452.42852783203125,1.3189448118209839,4974,169.38372802734375,-0.1801190972328186,131,0.0001,20000,142,134.95,-88051.1438309
153,218.45553588867188,1.3165769577026367,5045,150.7839813232422,1.2013946771621704,131,0.0001,20284,144,137.67,-88052.9688309
157,627.84716796875,1.302666187286377,5159,145.55227661132812,0.9689040184020996,131,0.0001,20740,148,135.69,-88042.82492063999
161,218.0203094482422,1.2841440439224243,5308,143.51699829101562,0.9212757349014282,131,0.0001,21336,152,141.69,-87749.29992064
166,217.9911346435547,1.267128348350525,5445,136.72947692871094,1.012268304824829,131,0.0001,21884,156,137.21,-87827.54603175
171,822.595703125,1.2450196743011475,5626,131.75872802734375,0.9321083426475525,131,0.0001,22608,160,136.18,-87797.45436508
174,237.42706298828125,1.234241008758545,5714,125.50862884521484,0.9551754593849182,131,0.0001,22960,164,134.63,-89781.89257936999
177,432.39105224609375,1.2201097011566162,5831,126.17945861816406,0.8247485160827637,131,0.0001,23428,168,131.18,-89675.74257937
181,217.67942810058594,1.205307960510254,5954,121.61143493652344,0.8611266613006592,131,0.0001,23920,172,133.81,-89473.1634127
186,646.8897705078125,1.1843403577804565,6131,117.63372802734375,0.7994047403335571,131,0.0001,24628,176,137.41,-89068.17730159
192,627.1209716796875,1.16166090965271,6326,112.57066345214844,0.710604727268219,131,0.0001,25408,180,140.21,-88757.08563492
195,276.1343688964844,1.1508058309555054,6419,111.20751953125,0.6304522156715393,131,0.0001,25780,184,140.54,-88869.53174603
201,412.4948425292969,1.1274563074111938,6623,106.25567626953125,0.5228625535964966,132,0.0001,26596,188,142.24,-88779.15674603
206,237.05299377441406,1.1065446138381958,6811,101.54187774658203,0.5052393078804016,132,0.0001,27348,192,143.36,-88676.30063492
209,392.9160461425781,1.095672369003296,6910,98.97005462646484,0.39082133769989014,132,0.0001,27744,196,142.36,-88661.48492979
214,412.6395263671875,1.0783759355545044,7069,97.2833251953125,0.3399406373500824,132,0.0001,28380,200,142.65,-88458.25576312
220,490.89532470703125,1.0567597150802612,7273,91.24818420410156,0.27249985933303833,132,0.0001,29196,204,145.93,-88362.19454516997
225,451.6141357421875,1.0414254665374756,7419,89.87910461425781,0.20271402597427368,132,0.0001,29780,208,151.44,-88374.25934675001
226,197.62216186523438,1.0356744527816772,7474,90.46849060058594,0.15251979231834412,132,0.0001,30000,208,151.44,-88374.25934675001
233,61.289241790771484,1.0115082263946533,7711,90.21018981933594,0.053319573402404785,132,0.0001,30948,212,151.91,-88586.93114163
236,451.559814453125,1.0028698444366455,7797,87.38822937011719,0.012293810024857521,132,0.0001,31292,216,150.54,-88581.95614163
239,646.6242065429688,0.99468994140625,7879,88.67284393310547,-0.02324063703417778,132,0.0001,31620,220,154.96,-88177.6825702
244,315.3707580566406,0.9755043983459473,8073,81.43172454833984,-0.10821964591741562,132,0.0001,32396,224,157.82,-88180.98673686999
250,41.68739700317383,0.9587589502334595,8247,81.34396362304688,-0.20059418678283691,132,0.0001,33092,228,154.36,-88075.77173687
255,470.9486389160156,0.9410750865936279,8433,80.08373260498047,-0.23639586567878723,132,0.0001,33836,232,163.45,-87786.4075702
261,236.7023162841797,0.9228683114051819,8628,74.96208190917969,-0.32226917147636414,132,0.0001,34616,236,165.81,-87703.99923687
269,471.04229736328125,0.8974732756614685,8907,72.12826538085938,-0.44855451583862305,132,0.0001,35732,240,162.83,-87804.41034798
273,431.79803466796875,0.8873234987258911,9021,72.14154815673828,-0.5065715312957764,132,0.0001,36188,244,161.93,-87790.57546703
279,470.83978271484375,0.869513750076294,9225,67.74516296386719,-0.6068985462188721,132,0.0001,37004,248,164.08,-85390.0306166
287,431.4026794433594,0.8470807671546936,9487,69.9239730834961,-0.8088239431381226,132,0.0001,38052,252,163.05,-85377.36811659999
291,587.5992431640625,0.8335592746734619,9648,64.85913848876953,-0.7567018866539001,132,0.0001,38696,256,170.3,-83184.54204517
297,411.8457946777344,0.8177781105041504,9840,63.09247589111328,-0.867425799369812,132,0.0001,39464,260,168.3,-83181.51704517
301,275.66925048828125,0.8069316744804382,9974,66.12133026123047,-0.9841002225875854,132,0.0001,40000,262,170.83,-83184.76704517
304,431.35748291015625,0.798989474773407,10073,65.56127166748047,-0.8780159950256348,132,0.0001,40396,264,171.57,-83084.04025946
310,645.9579467773438,0.7835966348648071,10268,65.77249145507812,-1.0778677463531494,132,0.0001,41176,268,180.19,-82889.67418803001
315,275.4967346191406,0.7704703211784363,10437,58.467987060546875,-1.2381980419158936,132,0.0001,41852,272,178.16,-82786.52168803
321,21.4476318359375,0.7549054026603699,10640,63.509552001953125,-1.3102612495422363,132,0.0001,42664,276,181.37,-82693.43162392001
329,236.1184844970703,0.7344249486923218,10916,57.60143280029297,-1.4906466007232666,132,0.0001,43768,280,178.93,-82777.06079059
336,802.1976318359375,0.715413510799408,11180,56.47734069824219,-1.7855675220489502,133,0.0001,44824,284,185.72,-82367.72527472
340,275.4012756347656,0.7079825401306152,11285,56.719261169433594,-1.5505330562591553,133,0.0001,45244,288,188.47,-82258.74027472001
343,431.56817626953125,0.6995431184768677,11404,53.72355651855469,-1.5543873310089111,133,0.0001,45720,292,187.9,-82357.35138583
352,1017.0165405273438,0.6784765124320984,11713,54.32807540893555,-1.714111566543579,133,0.0001,46956,296,193.45,-82372.44320207
357,275.259033203125,0.6679049730300903,11869,58.1112060546875,-1.5953178405761719,133,0.0001,47580,300,194.08,-82471.74736873999
360,411.6112060546875,0.6605227589607239,11981,54.189064025878906,-2.166226625442505,133,0.0001,48028,304,191.97,-82467.86717255
370,40.91172790527344,0.6385361552238464,12320,52.213836669921875,-1.825047492980957,133,0.0001,49384,308,193.06,-78277.55094239
374,997.055908203125,0.6300908327102661,12454,51.897308349609375,-1.866684913635254,133,0.0001,49920,312,188.75,-78358.69998085
375,235.96826171875,0.6288383603096008,12474,49.69196319580078,-1.6864233016967773,133,0.0001,50000,313,193.83,-78262.89581418
385,1.5747613906860352,0.6067449450492859,12835,51.265872955322266,-1.8096064329147339,133,0.0001,51444,316,194.06,-75960.25916888
389,236.13919067382812,0.5987234115600586,12968,50.12628936767578,-2.594809055328369,133,0.0001,51976,320,196.67,-75961.18829587
394,40.69887161254883,0.5880866646766663,13148,51.013309478759766,-2.506588935852051,133,0.0001,52696,324,201.19,-75878.94524031
405,1.4484487771987915,0.5678072571754456,13502,46.55302810668945,-2.6518287658691406,133,0.0001,54112,328,209.05,-75687.5759546
415,216.21420288085938,0.5465990304946899,13883,45.33391571044922,-2.5314760208129883,133,0.0001,55636,332,210.78,-71384.03787768002
