time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/policy_objective,train/learning_rate,train/std,train/explained_variance,train/kl_divergence_loss,train/is_line_search_success,train/value_loss
16384,-97184.77111111,263,62,133.63,1,,,,,,,,
32768,-97250.03043651,256,127,159.02,2,1,0.018532579764723778,0.0001,1.0023796558380127,-2.7418136596679688e-06,0.004056037403643131,1.0,349079000.26875
49152,-96676.14999999001,253,193,176.09,3,2,0.0150581244379282,0.0001,0.9940798282623291,-1.9073486328125e-06,0.0031259418465197086,1.0,294207049.10625
65536,-94060.01305555999,253,258,192.87,4,3,0.012599182315170765,0.0001,0.9996970891952515,-3.5762786865234375e-07,0.002281671389937401,1.0,277595377.790625
81920,-89712.36856839,253,323,191.06,5,4,0.017079820856451988,0.0001,1.0065491199493408,-2.384185791015625e-07,0.0034358366392552853,1.0,248736565.98125
98304,-94730.21367215,253,387,185.39,6,5,0.017064768821001053,0.0001,1.0065603256225586,-3.5762786865234375e-07,0.0032347682863473892,1.0,248169002.5265625
114688,-93729.90401126,253,451,192.09,7,6,0.015360677614808083,0.0001,1.0131587982177734,0.0,0.003326789243146777,1.0,259144225.7046875
131072,-93439.82788461,253,517,204.21,8,7,0.01645214669406414,0.0001,1.0203266143798828,0.0,0.0032146607991307974,1.0,256668803.6515625
147456,-93842.62264652998,253,582,216.69,9,8,0.015503681264817715,0.0001,1.0304243564605713,-1.1920928955078125e-07,0.003435607999563217,1.0,230209330.75625
163840,-92641.05025808001,253,646,205.38,10,9,0.014174697920680046,0.0001,1.016762137413025,0.0,0.0029973441269248724,1.0,218326414.821875
180224,-91478.16606837999,253,711,230.33,11,10,0.018881890922784805,0.0001,1.0083742141723633,0.0,0.003486910369247198,1.0,234556204.2265625
196608,-91743.33491452,252,777,227.05,12,11,0.01568262279033661,0.0001,1.0101430416107178,0.0,0.003556951880455017,1.0,203162132.95546874
212992,-92711.6745116,253,841,225.97,13,12,0.017525359988212585,0.0001,1.0167020559310913,-1.1920928955078125e-07,0.0039375172927975655,1.0,212807181.259375
229376,-94688.4730006,253,905,257.26,14,13,0.014291697181761265,0.0001,1.0160038471221924,0.0,0.003945823758840561,1.0,202745304.63203126
245760,-94397.19779970002,253,970,273.13,15,14,0.02050231769680977,0.0001,1.012345552444458,0.0,0.004027676768600941,1.0,164931616.9234375
262144,-95135.76143773999,253,1035,242.03,16,15,0.01621248573064804,0.0001,1.0001827478408813,0.0,0.0043596625328063965,1.0,176666003.4234375
278528,-92415.26026807,253,1099,228.5,17,16,0.015162214636802673,0.0001,0.9967799186706543,0.0,0.0036220725160092115,1.0,212581570.609375
294912,-93374.35682789002,253,1164,249.68,18,17,0.015506602823734283,0.0001,0.9835238456726074,0.0,0.004339344333857298,1.0,216027976.76289064
311296,-94315.20492064,253,1228,263.71,19,18,0.011820200830698013,0.0001,0.9935224056243896,0.0,0.004253416322171688,1.0,176102377.51210937
327680,-93316.84226190999,253,1291,284.51,20,19,0.018427595496177673,0.0001,1.000413417816162,1.1920928955078125e-07,0.005146372132003307,1.0,177481526.9464844
344064,-92309.76346154,254,1354,320.38,21,20,0.01850086823105812,0.0001,0.9992313385009766,0.0,0.004936827812343836,1.0,171354199.921875
360448,-92201.72796702999,254,1417,338.71,22,21,0.01516687497496605,0.0001,1.0107166767120361,0.0,0.004480547737330198,1.0,133095069.63339844
376832,-92096.09900793999,254,1480,353.81,23,22,0.013286849483847618,0.0001,1.0157508850097656,0.0,0.004412204958498478,1.0,150803283.7265625
393216,-89760.0481746,255,1542,407.88,24,23,0.017361368983983994,0.0001,1.015261173248291,0.0,0.004210283048450947,1.0,112731352.60664062
409600,-88778.20931625,255,1603,425.74,25,24,0.019192399457097054,0.0001,1.015566110610962,0.0,0.004654380958527327,1.0,97722740.35341796
425984,-85738.60479853001,255,1666,437.97,26,25,0.018060673028230667,0.0001,1.0219764709472656,0.0,0.004737830720841885,1.0,112650171.7399414
442368,-82924.23309828999,255,1728,427.81,27,26,0.015201334841549397,0.0001,1.0181100368499756,0.0,0.004383585415780544,1.0,94722019.4364746
458752,-81576.31925214,256,1790,450.11,28,27,0.018964756280183792,0.0001,1.0241358280181885,0.0,0.0057113515213131905,1.0,88660387.14746094
475136,-73895.9010459,256,1852,477.32,29,28,0.016421636566519737,0.0001,1.0257258415222168,0.0,0.004995342344045639,1.0,97629481.06982422
491520,-70740.37328947999,256,1914,519.84,30,29,0.017566923052072525,0.0001,1.0321320295333862,0.0,0.0053273895755410194,1.0,66093456.84326172
507904,-67384.01310494,256,1978,560.51,31,30,0.018072064965963364,0.0001,1.0328764915466309,0.0005998611450195312,0.0057109808549284935,1.0,53629994.1930603
