train/n_updates,time/fps,train/explained_variance,rollout/ep_rew_mean,train/entropy_loss,train/std,train/policy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,time/iterations,train/value_loss
99,425,0.0,-100340.63829787234,-8.501148223876953,0.9980418086051941,-251.0313262939453,35.06382978723404,4,2000,0.0007,100,1035.87744140625
199,420,1.7881393432617188e-07,-100332.04545454546,-8.529402732849121,1.0028202533721924,-245.3571319580078,47.25974025974026,9,4000,0.0007,200,1024.910400390625
299,412,0.0,-100269.2875,-8.55594539642334,1.00751531124115,-156305.78125,59.32,14,6000,0.0007,300,1940719872.0
399,411,-4.8160552978515625e-05,-100346.6875,-8.548318862915039,1.0059607028961182,-192.9983367919922,67.06,19,8000,0.0007,400,757.1830444335938
499,412,5.960464477539063e-08,-100016.275,-8.573022842407227,1.0100716352462769,-249.702392578125,78.35,24,10000,0.0007,500,997.4701538085938
599,412,5.6803226470947266e-05,-99843.1625,-8.593550682067871,1.0138616561889648,-182.6182098388672,82.22,29,12000,0.0007,600,743.6085205078125
699,412,0.0,-99947.075,-8.611690521240234,1.017590045928955,-32791.34375,48.56,33,14000,0.0007,700,499586560.0
799,409,-9.5367431640625e-07,-99908.525,-8.632658958435059,1.0202529430389404,-243.457763671875,33.88,39,16000,0.0007,800,971.2135620117188
899,407,-1.1920928955078125e-07,-100052.875,-8.664153099060059,1.0256882905960083,-239.039794921875,36.74,44,18000,0.0007,900,961.9474487304688
999,407,1.1920928955078125e-07,-100155.1625,-8.661296844482422,1.0248029232025146,-263.8238220214844,46.89,49,20000,0.0007,1000,953.1486206054688
1099,408,1.7881393432617188e-07,-100106.2125,-8.628561973571777,1.0197515487670898,-234.07568359375,53.03,53,22000,0.0007,1100,944.6980590820312
1199,408,1.7881393432617188e-07,-100201.3125,-8.64484691619873,1.0228055715560913,-216.9125213623047,62.61,58,24000,0.0007,1200,936.4493408203125
1299,408,1.1324882507324219e-06,-99750.8125,-8.665742874145508,1.026464819908142,-221.87010192871094,68.54,63,26000,0.0007,1300,928.61767578125
1399,407,0.0,-98728.26825397,-8.664961814880371,1.026376724243164,-218.0820770263672,78.07,68,28000,0.0007,1400,920.7467041015625
1499,407,0.0,-98827.58075397,-8.657927513122559,1.0247995853424072,-225.72573852539062,88.57,73,30000,0.0007,1500,912.4639892578125
1599,408,-1.6689300537109375e-06,-98630.38075396999,-8.64754867553711,1.0226467847824097,-244.2357177734375,89.83,78,32000,0.0007,1600,903.63916015625
1699,409,1.1920928955078125e-07,-98406.95575397,-8.66379165649414,1.0257656574249268,-224.2598419189453,101.6,82,34000,0.0007,1700,895.3531494140625
1799,410,0.0,-98707.79325397,-8.686975479125977,1.0292798280715942,-241.5164337158203,101.01,87,36000,0.0007,1800,886.0310668945312
1899,410,1.1920928955078125e-07,-100090.6875,-8.698877334594727,1.0320730209350586,-212.0657196044922,96.55,92,38000,0.0007,1900,877.4179077148438
1999,410,0.0,-99960.775,-8.709360122680664,1.0329909324645996,-250.0169677734375,82.48,97,40000,0.0007,2000,869.3928833007812
2099,410,1.3113021850585938e-06,-99901.85833333,-8.732253074645996,1.0372915267944336,-228.39990234375,73.02,102,42000,0.0007,2100,861.330078125
2199,410,1.3113021850585938e-06,-99495.18333333,-8.709586143493652,1.0334408283233643,-221.35411071777344,73.17,107,44000,0.0007,2200,853.6749877929688
2299,411,-1.1920928955078125e-07,-99119.375,-8.708876609802246,1.0333938598632812,-128.05247497558594,65.35,111,46000,0.0007,2300,433.6551818847656
2399,411,1.7881393432617188e-07,-98468.64166667,-8.700531005859375,1.0318758487701416,-168794.078125,61.71,116,48000,0.0007,2400,1937208320.0
2499,410,0.0,-98357.54166666999,-8.70694637298584,1.0329298973083496,-183.0481719970703,61.12,121,50000,0.0007,2500,627.630615234375
2599,410,0.0,-98520.75,-8.690973281860352,1.0304293632507324,-215.01708984375,67.56,126,52000,0.0007,2600,822.28955078125
2699,410,1.1920928955078125e-07,-99316.4,-8.71672534942627,1.03452730178833,-228.84947204589844,65.35,131,54000,0.0007,2700,814.1062622070312
2799,410,0.0,-99581.05,-8.765588760375977,1.04353666305542,-208.291748046875,60.32,136,56000,0.0007,2800,806.5384521484375
2899,410,0.0,-99549.425,-8.801210403442383,1.0494335889816284,-171.09861755371094,56.87,141,58000,0.0007,2900,602.9064331054688
2999,410,0.0,-99529.1,-8.822473526000977,1.053288459777832,-217.63088989257812,66.21,146,60000,0.0007,3000,790.77685546875
3099,411,0.0,-99426.00833333,-8.813968658447266,1.051751732826233,-219.37744140625,76.43,150,62000,0.0007,3100,782.62548828125
3199,411,-1.1920928955078125e-07,-99861.10833333,-8.793193817138672,1.0482442378997803,-211.3943634033203,89.82,155,64000,0.0007,3200,774.2862548828125
3299,411,0.0,-100093.63333333,-8.79754638671875,1.0484051704406738,-232.1679229736328,102.93,160,66000,0.0007,3300,765.958251953125
3399,412,-2.384185791015625e-07,-100229.93333333,-8.793643951416016,1.048215627670288,-211.1024627685547,116.56,165,68000,0.0007,3400,757.6427612304688
3499,412,0.0,-99495.33333333001,-8.798059463500977,1.0490702390670776,-211.3789825439453,143.09,169,70000,0.0007,3500,749.415771484375
3599,411,1.1920928955078125e-07,-99542.73333333,-8.807992935180664,1.0512821674346924,-197.5098114013672,147.83,174,72000,0.0007,3600,741.2880859375
3699,411,0.0,-97023.25833333,-8.796207427978516,1.048661470413208,-217.5463409423828,175.65,179,74000,0.0007,3700,733.2644653320312
3799,411,0.0,-96136.35833333,-8.777262687683105,1.0460004806518555,-197.46690368652344,186.95,184,76000,0.0007,3800,725.2548217773438
3899,412,1.1920928955078125e-07,-94425.65833333001,-8.788141250610352,1.0477063655853271,-207.48233032226562,215.86,189,78000,0.0007,3900,717.2359619140625
3999,412,0.0,-94452.65833333001,-8.790000915527344,1.0480767488479614,-213.9177703857422,218.56,193,80000,0.0007,4000,709.2957153320312
4099,412,-1.1920928955078125e-07,-95013.03333333001,-8.810066223144531,1.0516109466552734,-210.6519317626953,244.21,198,82000,0.0007,4100,701.7457275390625
4199,412,0.0,-95055.65,-8.802574157714844,1.0501418113708496,-213.2399444580078,216.57,203,84000,0.0007,4200,694.0130615234375
4299,412,0.0,-99178.2,-8.829410552978516,1.0551233291625977,-86495.4140625,118.8,208,86000,0.0007,4300,986216640.0
4399,411,0.0,-100614.8,-8.84337043762207,1.057694673538208,-202.897705078125,62.48,213,88000,0.0007,4400,678.7902221679688
4499,411,5.960464477539063e-08,-100719.6,-8.843025207519531,1.0575603246688843,-202.9796905517578,72.96,218,90000,0.0007,4500,671.3194580078125
4599,412,0.0,-100780.7,-8.847516059875488,1.057938814163208,-220.1235809326172,79.07,223,92000,0.0007,4600,663.6515502929688
4699,411,0.0,-100817.7,-8.868939399719238,1.0624802112579346,-192.2164764404297,82.77,228,94000,0.0007,4700,656.0452270507812
4799,411,0.0,-100769.5,-8.877656936645508,1.064286708831787,-182.3054656982422,77.95,233,96000,0.0007,4800,648.55126953125
4899,411,0.0,-100812.8,-8.868247985839844,1.0614449977874756,-225.42478942871094,82.28,238,98000,0.0007,4900,641.0779418945312
4999,411,5.960464477539063e-08,-100905.5,-8.850615501403809,1.0590403079986572,-196.44444274902344,91.55,242,100000,0.0007,5000,633.5277709960938
5099,412,0.0,-100940.8,-8.866084098815918,1.0616945028305054,-201.4185791015625,95.08,247,102000,0.0007,5100,626.2162475585938
5199,412,-1.1920928955078125e-07,-100875.9,-8.847853660583496,1.0586107969284058,-199.23370361328125,88.59,252,104000,0.0007,5200,619.2277221679688
5299,412,1.1920928955078125e-07,-100502.925,-8.84726619720459,1.0583014488220215,-199.89463806152344,81.94,257,106000,0.0007,5300,612.3644409179688
5399,412,0.0,-100497.625,-8.842074394226074,1.0575110912322998,-187.17642211914062,81.41,262,108000,0.0007,5400,605.3311767578125
5499,412,0.0,-100561.425,-8.872611045837402,1.0625669956207275,-194.409912109375,87.79,266,110000,0.0007,5500,598.0577392578125
5599,412,0.0,-100556.725,-8.881939888000488,1.064979910850525,-112196.5625,87.32,271,112000,0.0007,5600,1463061504.0
5699,412,0.0,-100830.225,-8.905067443847656,1.0683914422988892,-131386.15625,94.33,276,114000,0.0007,5700,1462924672.0
5799,412,0.0,-100980.1,-8.868242263793945,1.0615274906158447,-239918.296875,99.01,281,116000,0.0007,5800,2390462208.0
5899,412,-3.933906555175781e-06,-99758.85,-8.89585018157959,1.066819190979004,-186.5938720703125,68.15,286,118000,0.0007,5900,570.4008178710938
5999,412,0.0,-99149.575,-8.896506309509277,1.0669522285461426,-39412.12109375,57.92,291,120000,0.0007,6000,497276736.0
6099,411,-1.1920928955078125e-07,-98801.45,-8.892992973327637,1.0664857625961304,-173.6766815185547,53.82,296,122000,0.0007,6100,557.9060668945312
6199,411,-1.3113021850585938e-06,-99847.025,-8.89725112915039,1.0668613910675049,-190.1438446044922,46.88,301,124000,0.0007,6200,551.4324340820312
6299,411,0.0,-99933.725,-8.887702941894531,1.0648962259292603,-196.1874542236328,45.34,305,126000,0.0007,6300,544.9638061523438
6399,411,-1.1920928955078125e-07,-100273.575,-8.905547142028809,1.0685063600540161,-163929.1875,48.53,310,128000,0.0007,6400,1968793216.0
6499,411,5.960464477539063e-08,-100048.725,-8.920598030090332,1.0709705352783203,-179.75941467285156,56.84,315,130000,0.0007,6500,532.5780639648438
6599,411,-1.1920928955078125e-07,-100044.775,-8.934718132019043,1.073378086090088,-181.94454956054688,66.58,321,132000,0.0007,6600,526.2444458007812
6699,411,0.0,-100146.55,-8.942697525024414,1.0746400356292725,-183.67015075683594,66.72,325,134000,0.0007,6700,519.7891845703125
6799,411,5.960464477539063e-08,-100071.0125,-8.946556091308594,1.075160026550293,-183.2610321044922,80.05,330,136000,0.0007,6800,513.0265502929688
6899,411,-1.1920928955078125e-07,-99999.375,-8.909927368164062,1.0689201354980469,-119.77896881103516,94.12,335,138000,0.0007,6900,388.9010925292969
6999,411,1.1920928955078125e-07,-100317.4875,-8.940759658813477,1.0740439891815186,-141580.78125,106.47,340,140000,0.0007,7000,1461293568.0
7099,411,0.0001748800277709961,-100272.9125,-8.9436616897583,1.0748248100280762,-121.02327728271484,115.18,345,142000,0.0007,7100,381.8746032714844
7199,411,-1.1920928955078125e-07,-100048.05138889,-8.947760581970215,1.075554609298706,-183.0136260986328,125.01,349,144000,0.0007,7200,487.20098876953125
7299,411,0.0,-99889.43888889,-8.967973709106445,1.0796852111816406,-107.54476165771484,131.52,354,146000,0.0007,7300,371.8982849121094
7399,411,-1.1920928955078125e-07,-99747.12638889,-9.028189659118652,1.0903152227401733,-173.4868621826172,141.48,359,148000,0.0007,7400,474.9595642089844
7499,411,1.1920928955078125e-07,-99609.11388889,-9.013710021972656,1.0877196788787842,-169.16477966308594,137.88,364,150000,0.0007,7500,468.7769470214844
7599,412,0.0,-99083.60972222,-9.011275291442871,1.0869317054748535,13671.3173828125,135.13,368,152000,0.0007,7600,14678293.0
7699,412,-1.0728836059570312e-06,-98423.52182539001,-9.02010726928711,1.0885683298110962,-110.42036437988281,142.59,373,154000,0.0007,7700,356.27520751953125
7799,412,0.0001423954963684082,-98438.32182539001,-9.026267051696777,1.0894694328308105,-57.272438049316406,144.07,378,156000,0.0007,7800,252.9512176513672
7899,412,0.3945814371109009,-98502.62182538999,-9.035133361816406,1.090551495552063,-127.2806625366211,153.79,383,158000,0.0007,7900,348.5080871582031
7999,412,-1.1920928955078125e-07,-96431.48432538999,-9.04849910736084,1.0939157009124756,-108.1515121459961,186.92,388,160000,0.0007,8000,345.1358947753906
8099,412,1.1920928955078125e-07,-96557.12599206,-9.086395263671875,1.1009012460708618,-50.39228057861328,188.89,393,162000,0.0007,8100,249.2024383544922
8199,412,-1.1920928955078125e-07,-95740.63154761,-9.086607933044434,1.100643277168274,-116.5505599975586,202.87,397,164000,0.0007,8200,338.04541015625
8299,412,0.0,-95735.68154761,-9.084471702575684,1.1010780334472656,20065.984375,213.11,402,166000,0.0007,8300,19359412.0
8399,412,6.079673767089844e-06,-95548.4079365,-9.094186782836914,1.102382779121399,-49.69556427001953,228.89,407,168000,0.0007,8400,244.15896606445312
8499,412,0.0,-94895.66488094,-9.116972923278809,1.1066330671310425,-166.67393493652344,235.05,412,170000,0.0007,8500,413.0895080566406
8599,412,0.0,-94874.13988094,-9.116199493408203,1.105902910232544,-119.68033599853516,243.3,417,172000,0.0007,8600,323.1744079589844
8699,412,1.1920928955078125e-07,-95400.61071428,-9.125085830688477,1.107762336730957,-172.472900390625,231.46,422,174000,0.0007,8700,401.9596862792969
8799,411,-1.1920928955078125e-07,-98048.57361111,-9.150439262390137,1.1133283376693726,-199101.1875,179.84,427,176000,0.0007,8800,2384332032.0
8899,411,-1.1920928955078125e-07,-99228.05,-9.17619800567627,1.1176140308380127,-157.16123962402344,127.45,432,178000,0.0007,8900,390.4931640625
8999,411,0.0,-100156.17916667,-9.17669677734375,1.1176484823226929,-152.61773681640625,101.95,437,180000,0.0007,9000,384.4975280761719
9099,411,2.384185791015625e-07,-100336.84166666999,-9.16226577758789,1.1142048835754395,-103242.5546875,88.31,442,182000,0.0007,9100,982123968.0
9199,411,1.1920928955078125e-07,-100391.18472222,-9.148860931396484,1.1117463111877441,-169.5707244873047,94.26,446,184000,0.0007,9200,373.3654479980469
9299,411,0.0,-100464.15972222,-9.166808128356934,1.115897297859192,-145.4252166748047,99.25,451,186000,0.0007,9300,367.8897399902344
9399,411,0.0,-100323.08472222001,-9.195673942565918,1.1215537786483765,-87.38103485107422,95.15,456,188000,0.0007,9400,294.525634765625
