train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean
40582416.0,-0.09544563293457031,41.25,0.9889830350875854,0.001,35,4,-161.68006896972656,1,244,203,-95376.25
272934912.0,-0.17220455408096313,35.5,0.9819931387901306,0.001,57,8,-345.92401123046875,1,332,176,-96565.46875
427023616.0,-0.19903752207756042,31.833333333333332,0.9741472601890564,0.001,79,12,-369.961669921875,2,420,160,-97788.64583333333
153569312.0,-0.18765828013420105,29.0,0.9686087965965271,0.001,97,16,-282.62725830078125,3,492,152,-98390.234375
425318336.0,-0.11069393157958984,26.6,0.9644947648048401,0.001,113,20,-409.345947265625,3,556,148,-98744.1875
425108096.0,0.02280617319047451,24.791666666666668,0.9613327383995056,0.001,128,24,-547.162353515625,4,616,145,-98978.07291666667
307754944.0,0.044278018176555634,23.785714285714285,0.9591388702392578,0.001,148,28,-603.5867919921875,4,696,143,-99147.99107142857
536839872.0,0.10606373101472855,23.0,0.9585501551628113,0.001,167,32,-672.9024658203125,5,772,142,-99275.1171875
536157184.0,0.08659610152244568,22.52777777777778,0.9587494134902954,0.001,184,36,-764.65478515625,5,840,140,-99375.38194444444
528881984.0,0.14306238293647766,23.025,0.9602624177932739,0.001,218,40,-769.413330078125,6,976,139,-99464.34375
295238592.0,0.2092951536178589,24.09090909090909,0.9646115899085999,0.001,252,44,-660.7091064453125,8,1112,138,-99543.72159090909
292915104.0,0.18493254482746124,24.625,0.9711713790893555,0.001,281,48,-464.5372314453125,9,1228,135,-99606.328125
364370176.0,0.1254105567932129,24.76923076923077,0.9774227142333984,0.001,304,52,-444.2737731933594,9,1320,133,-99656.22596153847
212701344.0,0.09128785133361816,25.017857142857142,0.9839861392974854,0.001,328,56,-590.9988403320312,10,1416,133,-99700.24553571429
283399552.0,0.021835315972566605,25.2,0.9971213936805725,0.001,375,60,-535.022705078125,12,1604,133,-99738.0625
466538432.0,-0.09148856997489929,25.8125,1.0073407888412476,0.001,402,64,-368.57421875,12,1712,133,-99617.3828125
314542528.0,-0.1413198709487915,25.808823529411764,1.0187183618545532,0.001,426,68,-399.55780029296875,13,1808,133,-99654.44852941176
462497216.0,-0.3408496081829071,25.945205479452056,1.0335842370986938,0.001,456,72,-251.7953338623047,14,1928,133,-99696.47260273973
272313952.0,-0.6123067736625671,25.776315789473685,1.0442121028900146,0.001,475,76,-201.56593322753906,15,2004,132,-99716.61184210527
198905408.0,-0.7781702876091003,25.8,1.057342767715454,0.001,499,80,-168.2897491455078,15,2100,132,-99743.40625
207296448.0,-1.1268173456192017,26.011904761904763,1.0701463222503662,0.001,521,84,-58.18352508544922,16,2188,132,-99769.55357142857
221573424.0,-1.4534480571746826,25.829545454545453,1.08335542678833,0.001,543,88,151.52264404296875,17,2276,132,-99789.57386363637
299201472.0,-1.4819949865341187,25.52173913043478,1.0963984727859497,0.001,562,92,26.0849666595459,17,2352,132,-99806.44021739131
238060400.0,-1.7042179107666016,25.260416666666668,1.1076295375823975,0.001,581,96,48.04674530029297,18,2428,132,-99822.109375
194793904.0,-1.5609265565872192,25.01,1.1187341213226318,0.001,600,100,-268.63238525390625,18,2504,132,-99836.425
500313184.0,-1.6641778945922852,24.04,1.129465103149414,0.001,617,104,-196.54354858398438,19,2572,132,-100027.775
464020864.0,-2.1665258407592773,23.54,1.1400631666183472,0.001,635,108,11.988304138183594,19,2644,132,-100124.0875
