time/episodes,train/n_updates,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef_loss,time/fps,train/ent_coef
4,54,198.03253173828125,320,1,-100432.5,44.25,97.9910888671875,0.0003,-0.4333801865577698,208,1.0143169164657593
8,112,783.2672729492188,552,2,-100552.5,56.25,107.48560333251953,0.0003,-0.8470614552497864,187,1.029121994972229
12,173,392.90234375,796,4,-100599.16666666667,60.916666666666664,120.3349838256836,0.0003,-1.3137071132659912,177,1.0457942485809326
16,343,784.177978515625,1476,8,-99449.236111125,71.8125,108.46046447753906,0.0003,-0.5199593901634216,169,1.095228910446167
20,434,198.15133666992188,1840,11,-98816.83333335,84.15,100.04047393798828,0.0003,-0.04415176436305046,166,1.0978171825408936
24,572,393.3133239746094,2392,14,-98700.85069445835,81.625,113.52449798583984,0.0003,-0.19255965948104858,167,1.0999454259872437
28,734,802.7816772460938,3040,18,-98041.60416667859,97.92857142857143,110.71429443359375,0.0003,0.37049123644828796,167,1.0918924808502197
32,852,393.23724365234375,3512,21,-97861.1953125,106.625,118.18669128417969,0.0003,0.31880927085876465,166,1.0826510190963745
36,1026,393.1734924316406,4208,25,-97343.21527777778,107.05555555555556,126.55522918701172,0.0003,0.2995302081108093,165,1.0677951574325562
40,1177,3.201610803604126,4812,29,-97788.39375,114.4,137.67947387695312,0.0003,0.22373387217521667,165,1.0533126592636108
44,1271,198.19418334960938,5188,31,-98080.8125,113.22727272727273,142.06561279296875,0.0003,0.1878339648246765,164,1.0435916185379028
48,1400,588.2156372070312,5704,34,-98359.703125,115.77083333333333,148.85232543945312,0.0003,0.11676691472530365,164,1.0293949842453003
52,1547,997.7776489257812,6292,38,-98395.44711538461,118.09615384615384,158.61093139648438,0.0003,0.05114372819662094,164,1.0123019218444824
56,1667,412.82989501953125,6772,40,-98242.82589285714,119.71428571428571,165.54263305664062,0.0003,-0.010806897655129433,166,0.9973605871200562
60,1851,412.8748779296875,7508,45,-98429.80416666667,118.78333333333333,174.03050231933594,0.0003,-0.11444198340177536,166,0.9732357263565063
64,1944,432.2130432128906,7880,47,-98132.5985243125,121.484375,180.38653564453125,0.0003,-0.1600387692451477,166,0.9605244994163513
68,2068,237.3458709716797,8376,50,-98149.17361111764,120.77941176470588,183.27085876464844,0.0003,-0.25317537784576416,165,0.9431269764900208
72,2246,607.7557983398438,9088,54,-98027.72646605555,120.90277777777777,191.54660034179688,0.0003,-0.3831554055213928,165,0.9166396856307983
76,2386,627.4939575195312,9648,58,-98053.2737573158,121.4342105263158,200.90692138671875,0.0003,-0.40397199988365173,165,0.89510577917099
80,2482,607.8387451171875,10032,60,-97826.43506945,123.65,205.17913818359375,0.0003,-0.5822613835334778,166,0.8802017569541931
84,2589,1172.73681640625,10460,62,-97853.47982804762,122.8452380952381,212.13819885253906,0.0003,-0.6876082420349121,166,0.8630795478820801
88,2686,218.2584991455078,10848,65,-97993.09438131818,121.51136363636364,216.04049682617188,0.0003,-0.6952298879623413,166,0.8474289774894714
92,2777,412.88006591796875,11212,67,-98005.13375604348,119.71739130434783,222.32827758789062,0.0003,-0.6818721294403076,165,0.8324621915817261
96,2897,218.36509704589844,11692,70,-97919.58130787499,119.01041666666667,228.94049072265625,0.0003,-0.793046772480011,165,0.8129593133926392
100,3012,588.4824829101562,12152,73,-97733.48972222999,119.45,231.1224365234375,0.0003,-1.0541808605194092,165,0.7940171957015991
104,3078,1172.690185546875,12416,75,-97449.81472222999,122.05,235.37030029296875,0.0003,-1.0707322359085083,165,0.7833627462387085
108,3177,607.9781494140625,12812,77,-97350.38972222999,122.46,239.12823486328125,0.0003,-1.1745147705078125,165,0.7667456865310669
112,3280,394.0165710449219,13224,80,-97057.03972223,123.64,244.28244018554688,0.0003,-1.1102733612060547,165,0.7497619986534119
116,3409,802.9893798828125,13740,83,-97042.49527777999,122.93,256.4101257324219,0.0003,-1.26291823387146,165,0.7283198833465576
120,3530,803.2495727539062,14224,86,-96946.92138889,123.38,255.10452270507812,0.0003,-1.3704853057861328,165,0.7082937359809875
124,3654,199.95706176757812,14720,89,-96755.32388889,125.04,264.9300537109375,0.0003,-1.3331981897354126,164,0.6882148385047913
128,3720,784.2877197265625,14984,91,-96619.16273504001,121.34,265.763427734375,0.0003,-1.4640533924102783,164,0.6775920391082764
132,3833,220.1123809814453,15436,93,-96573.56392552,117.27,272.1481628417969,0.0003,-1.712578296661377,164,0.6598617434501648
136,3912,609.0301513671875,15752,95,-96470.37161783001,116.56,277.59698486328125,0.0003,-1.7887680530548096,164,0.6474431753158569
140,4024,240.1112060546875,16200,98,-96031.29661783,114.19,282.9751281738281,0.0003,-1.8739955425262451,164,0.6301461458206177
144,4227,590.7974853515625,17012,103,-95827.57161783,115.58,291.2202453613281,0.0003,-1.8595821857452393,165,0.5996719598770142
148,4354,415.97491455078125,17520,106,-95429.99661782998,117.51,295.35955810546875,0.0003,-2.2945733070373535,165,0.5812262892723083
152,4564,845.815673828125,18360,111,-95321.87161782998,118.7,310.7225341796875,0.0003,-1.927903175354004,165,0.5519427061080933
156,4844,400.51861572265625,19480,117,-95420.22161782999,117.98,329.90484619140625,0.0003,-2.3975605964660645,165,0.5159726142883301
160,4987,224.39263916015625,20052,121,-95236.42161782998,122.57,334.3804016113281,0.0003,-1.8101013898849487,165,0.4992806613445282
164,5246,631.8187255859375,21088,127,-95050.69554945,129.19,339.3131103515625,0.0003,-2.5654540061950684,165,0.47208768129348755
168,5378,205.63856506347656,21616,130,-95035.67054944999,127.44,348.66839599609375,0.0003,-1.8798006772994995,165,0.4595847427845001
172,5569,400.82293701171875,22380,135,-94744.77554945,132.73,349.38653564453125,0.0003,-2.098928928375244,165,0.442731648683548
