rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/is_line_search_success,train/policy_objective,train/kl_divergence_loss,train/n_updates,train/explained_variance,train/std,train/value_loss,train/learning_rate
-97825.54644808198,1,8192,553,14,130.7377049180328,,,,,,,,
-98134.48472222,2,16384,520,31,126.98,1.0,0.026519151404500008,0.004223487339913845,1,-5.0067901611328125e-06,1.0019447803497314,639599584.15,0.001
-98051.07222222,3,24576,513,47,157.6,1.0,0.023306235671043396,0.003361298469826579,2,-4.76837158203125e-07,1.0028071403503418,631846451.1,0.001
-97737.55138889,4,32768,509,64,172.79,1.0,0.022877296432852745,0.0027569597586989403,3,-1.1920928955078125e-07,0.9979914426803589,464374844.25,0.001
-97927.69444445,5,40960,507,80,172.96,1.0,0.03013714775443077,0.003788925241678953,4,-1.1920928955078125e-07,0.9923280477523804,503042713.825,0.001
-97393.85245726998,6,49152,505,97,185.95,1.0,0.028884438797831535,0.0034027318470180035,5,-1.1920928955078125e-07,1.0026319026947021,456143673.475,0.001
-97089.02829061,7,57344,504,113,206.05,1.0,0.0262372437864542,0.0036358358338475227,6,5.960464477539063e-08,1.002387285232544,446957896.75,0.001
-96922.48138585001,8,65536,502,130,228.64,1.0,0.02484063059091568,0.0032756230793893337,7,0.0,1.0070428848266602,366182551.675,0.001
-97632.75670636,9,73728,502,146,239.5,1.0,0.02482842281460762,0.002947279717773199,8,0.0,1.0066496133804321,355156478.975,0.001
-98271.00362943001,10,81920,501,163,247.4,1.0,0.025248348712921143,0.003826957894489169,9,1.1920928955078125e-07,1.022935390472412,336282345.60625,0.001
-98450.48664530001,11,90112,500,180,246.5,1.0,0.02793719992041588,0.003451254917308688,10,1.1920928955078125e-07,1.014618992805481,344102155.6125,0.001
-98212.83525641,12,98304,499,196,259.32,1.0,0.03269757330417633,0.003968879114836454,11,0.0,1.0077052116394043,347986825.7125,0.001
-98016.12200854,13,106496,499,213,266.04,1.0,0.03632255643606186,0.00428780447691679,12,0.0,1.0181162357330322,303827376.1125,0.001
-98608.89978631001,14,114688,498,229,284.26,1.0,0.029352009296417236,0.0037147286348044872,13,0.0,1.023207426071167,294167353.96875,0.001
-97786.58867520001,15,122880,498,246,289.71,1.0,0.027777530252933502,0.004389542154967785,14,0.0,1.0163202285766602,281356690.85625,0.001
-97827.77200853999,16,131072,499,262,317.28,1.0,0.026569128036499023,0.0037644822150468826,15,0.0,1.0185867547988892,261878824.175,0.001
-97871.19305555001,17,139264,498,279,331.65,1.0,0.031235499307513237,0.005004210863262415,16,-1.1920928955078125e-07,1.0148919820785522,240345600.0,0.001
-96642.5,18,147456,498,295,337.27,1.0,0.02558719366788864,0.00411171605810523,17,0.0,1.0123943090438843,239797337.234375,0.001
-96522.98888889,19,155648,498,312,354.1,1.0,0.0304191242903471,0.0043696193024516106,18,0.0,1.0215768814086914,257503649.475,0.001
-95884.07015874,20,163840,498,328,371.72,1.0,0.027785489335656166,0.0037660859525203705,19,0.0,1.002570629119873,166904494.5421875,0.001
-95013.64238096001,21,172032,498,344,390.73,1.0,0.02826598286628723,0.004030867479741573,20,0.0,1.0004992485046387,229155827.190625,0.001
-95089.36738096,22,180224,498,361,408.35,1.0,0.031153718009591103,0.004171036183834076,21,0.0,1.0032979249954224,198611982.78125,0.001
-95610.35404763,23,188416,498,377,425.91,1.0,0.02216455340385437,0.00395467272028327,22,0.0,1.0057594776153564,187533467.5234375,0.001
-96044.13043652,24,196608,498,394,448.75,1.0,0.0319843590259552,0.004074967000633478,23,0.0,0.9998672008514404,144881081.00625,0.001
-96417.42793652,25,204800,498,410,457.48,1.0,0.027024036273360252,0.0045042564161121845,24,0.0,0.9989425539970398,187263764.175,0.001
-96470.71444445002,26,212992,498,427,468.13,1.0,0.026243101805448532,0.003810480237007141,25,-1.1920928955078125e-07,1.0021504163742065,173552036.746875,0.001
-93940.52694444999,27,221184,498,443,475.56,1.0,0.02567906863987446,0.0042508370243012905,26,0.0,1.008215308189392,214277653.378125,0.001
-91561.51444444999,28,229376,498,460,482.57,1.0,0.02432674542069435,0.004720252938568592,27,0.0,1.0056140422821045,113437452.76054688,0.001
-89870.97638889,29,237568,498,476,467.32,1.0,0.026030322536826134,0.005417688749730587,28,0.0,1.013995885848999,134839745.95234376,0.001
-89000.78888889,30,245760,499,492,484.67,1.0,0.02715243026614189,0.003929846920073032,29,0.0,1.0193915367126465,163664967.93203124,0.001
-89047.01111111,31,253952,498,509,499.79,1.0,0.02424824982881546,0.004148758016526699,30,0.0,1.0360811948776245,156090624.2980469,0.001
-87172.12361111,32,262144,499,525,536.64,1.0,0.02958313748240471,0.0045466795563697815,31,0.0,1.0371923446655273,134537784.0265625,0.001
-83762.13611111,33,270336,499,541,574.04,1.0,0.02834022045135498,0.004926635883748531,32,0.0,1.034403681755066,114183760.79833984,0.001
-85173.67361111,34,278528,499,557,580.73,1.0,0.026626788079738617,0.0035068346187472343,33,0.0,1.0310635566711426,52285006.70634766,0.001
-86476.80416667,35,286720,499,573,568.01,1.0,0.02353803627192974,0.004286892246454954,34,0.0,1.036873698234558,142991926.603125,0.001
-87505.79166666999,36,294912,499,589,578.38,1.0,0.027075422927737236,0.004517733119428158,35,0.0,1.0397189855575562,153259675.315625,0.001
-87746.94861111,37,303104,500,606,579.24,1.0,0.028957094997167587,0.0057448442094028,36,-1.1920928955078125e-07,1.0289915800094604,163816448.3890625,0.001
-85666.90833333001,38,311296,500,621,591.42,1.0,0.020765872672200203,0.004172366578131914,37,0.0,1.034104585647583,123161686.82734375,0.001
-85272.00972222,39,319488,500,637,587.96,1.0,0.02919609472155571,0.003989310935139656,38,-1.1920928955078125e-07,1.0365242958068848,123987566.403125,0.001
-85083.99972222,40,327680,501,653,572.82,1.0,0.029027627781033516,0.004515818320214748,39,0.0,1.0379446744918823,112841729.18476562,0.001
-87035.70944445,41,335872,501,669,576.97,1.0,0.022015122696757317,0.0029217645060271025,40,0.0,1.0346556901931763,91554162.61503907,0.001
-85608.65805556,42,344064,501,685,594.0,1.0,0.023117758333683014,0.005358993541449308,41,5.960464477539063e-08,1.0529348850250244,133834706.215625,0.001
-80657.14555555,43,352256,502,701,605.18,1.0,0.025840777903795242,0.004017784260213375,42,-1.1920928955078125e-07,1.0507138967514038,102912898.67109375,0.001
-79962.09053418999,44,360448,502,717,597.95,1.0,0.026258140802383423,0.004468717612326145,43,0.0,1.0411698818206787,120449459.421875,0.001
-78664.65442307,45,368640,502,732,607.72,1.0,0.02670004963874817,0.004609463736414909,44,0.0,1.0377731323242188,143841061.590625,0.001
