time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/step_size,train/iterations,train/delta_std,rollout/return_std,train/learning_rate
324,16653.909091,1000.0,30,10000,,,,,
310,-24349.321969666664,719.1666666666666,64,20000,,,,,
310,-24784.7931818,737.1,96,30000,,,,,
322,-21593.894022615386,727.0,124,40000,,,,,
328,-14642.085768375,778.1875,151,49804,1.2627968715150928e-07,0,0.05,48503.44140625,0.049
328,,,152,50000,,,,,
332,18539.0,1000.0,180,60000,,,,,
332,-25240.65,848.2,210,70000,,,,,
336,-10463.96875,905.125,237,80000,,,,,
340,-18868.092803,774.5833333333334,264,90000,,,,,
342,-11335.3242424,819.6666666666666,291,100000,,,,,
343,-9453.616477249998,830.9375,299,102984,1.2221845224758e-07,1,0.05,50115.1796875,0.049
342,4915.0,1000.0,320,110000,,,,,
344,-9803.75,996.0,348,120000,,,,,
343,-15487.714285714286,935.5714285714286,378,130000,,,,,
342,-16612.725,878.0,408,140000,,,,,
343,-11551.229166666666,898.3333333333334,436,150000,,,,,
343,-17141.96875,861.5625,460,158124,1.2704272478458734e-07,2,0.05,48212.12890625,0.049
343,,,466,160000,,,,,
343,-19855.333333333332,900.0,495,170000,,,,,
343,-4398.2,940.0,524,180000,,,,,
343,-17724.833333333332,845.4444444444445,552,190000,,,,,
344,-31743.80769230769,741.3846153846154,580,200000,,,,,
344,-22263.9464285625,789.875,605,208676,1.2182012198991288e-07,3,0.05,50279.046875,0.049
344,,,609,210000,,,,,
344,-24271.0,671.0,638,220000,,,,,
345,-30871.0,648.0,665,230000,,,,,
345,-16978.475,753.6,694,240000,,,,,
346,-11017.1875,794.6666666666666,721,250000,,,,,
345,-10867.734375,784.5625,749,258888,1.2459240394946391e-07,4,0.05,49160.296875,0.049
345,,,752,260000,,,,,
344,8592.5,1000.0,784,270000,,,,,
344,-27230.3,900.2,813,280000,,,,,
344,-31859.479338818182,704.2727272727273,841,290000,,,,,
343,-37479.23376621429,712.1428571428571,873,300000,,,,,
343,-37914.642045437504,698.4375,884,303588,1.1661686727393317e-07,5,0.05,52522.41796875,0.049
342,8478.75,1000.0,904,310000,,,,,
342,-5129.4666666,812.8,933,320000,,,,,
342,-16216.047619,800.4285714285714,963,330000,,,,,
342,-6713.5583333,860.3,993,340000,,,,,
343,-2452.2916666666665,883.5833333333334,1019,350000,,,,,
343,1813.3166666666666,906.8666666666667,1048,360000,,,,,
343,2244.125,912.6875,1054,362000,1.6481210707297578e-07,6,0.05,37163.53125,0.049
341,8540.0,1000.0,1082,370000,,,,,
341,3905.0,1000.0,1113,380000,,,,,
341,8920.75,1000.0,1141,390000,,,,,
341,10689.166666666666,1000.0,1170,400000,,,,,
341,-4728.25,952.25,1201,410000,,,,,
341,-6957.3638393125,906.0625,1231,419988,1.4356130861870042e-07,7,0.05,42664.6953125,0.049
341,,,1231,420000,,,,,
340,-35844.6160715,607.5,1262,430000,,,,,
339,-20010.577381,738.3333333333334,1295,440000,,,,,
339,-19179.884920666667,723.0,1324,450000,,,,,
339,-19737.158163285716,691.6428571428571,1354,460000,,,,,
339,-15563.044642875,730.1875,1375,466720,1.2336315080574423e-07,8,0.05,49650.15625,0.049
338,,,1388,470000,,,,,
337,-460.9166666666667,1000.0,1423,480000,,,,,
336,5216.65,1000.0,1454,490000,,,,,
337,1428.1468254444444,892.6666666666666,1482,500000,,,,,
336,3656.1201299090912,912.1818181818181,1514,510000,,,,,
336,-1152.1119047333332,870.8,1544,520000,,,,,
336,-6774.7924106875,870.0,1552,522400,1.4850024854240473e-07,9,0.05,41245.72265625,0.049
336,-25936.765151499996,770.5,1573,530000,,,,,
337,-21046.0060606,868.6,1602,540000,,,,,
337,-23930.397186142858,867.1428571428571,1631,550000,,,,,
337,-13160.8780303,907.0,1660,560000,,,,,
337,-8689.398358583334,922.5,1689,570000,,,,,
337,-4546.835353533334,938.0,1720,580000,,,,,
337,-9316.5175189375,930.3125,1725,581940,1.4763718070298637e-07,10,0.05,41486.8359375,0.049
336,6683.75,1000.0,1751,590000,,,,,
336,-13675.2,857.4,1783,600000,,,,,
335,-23891.39285714286,863.5714285714286,1815,610000,,,,,
335,-14161.975,904.5,1847,620000,,,,,
335,-14238.057692307691,889.5384615384615,1876,630000,,,,,
336,-9833.216666666667,904.2666666666667,1903,640000,,,,,
336,-8042.140625,910.25,1903,640196,1.420769280002787e-07,11,0.05,43110.44921875,0.049
336,23931.0357145,1000.0,1929,650000,,,,,
337,21403.01785725,1000.0,1956,660000,,,,,
337,20297.724489857144,1000.0,1983,670000,,,,,
338,1381.1753247272732,858.6363636363636,2011,680000,,,,,
338,4381.477040857143,888.9285714285714,2040,690000,,,,,
338,5544.04241075,902.8125,2063,697976,1.794155934931041e-07,12,0.05,34138.61328125,0.049
338,,,2069,700000,,,,,
338,-17533.583333333332,677.3333333333334,2098,710000,,,,,
338,-17667.75,792.5,2125,720000,,,,,
338,-5525.805555555556,861.6666666666666,2154,730000,,,,,
338,-2033.4772727272727,886.8181818181819,2182,740000,,,,,
339,2435.9821428571427,911.0714285714286,2210,750000,,,,,
338,2972.734375,922.1875,2233,756996,1.753284664118837e-07,13,0.05,34934.4296875,0.049
338,,,2242,760000,,,,,
339,-8508.5,761.75,2270,770000,,,,,
339,-13845.535714285714,725.5714285714286,2299,780000,,,,,
339,-4031.85,807.9,2326,790000,,,,,
339,-1079.5416666666667,839.9166666666666,2355,800000,,,,,
339,-4435.6,859.6,2383,810000,,,,,
339,-2981.875,868.375,2390,812572,1.456472062955072e-07,14,0.05,42053.671875,0.049
340,18824.0,1000.0,2410,820000,,,,,
340,-22966.8,727.4,2439,830000,,,,,
340,-7295.75,829.625,2466,840000,,,,,
340,-10985.272727272728,786.3636363636364,2493,850000,,,,,
341,-4597.857142857143,832.1428571428571,2520,860000,,,,,
341,-7883.5625,816.625,2534,864836,1.3168180146294617e-07,15,0.05,46513.640625,0.049
341,18824.0,1000.0,2549,870000,,,,,
341,18740.333333333332,1000.0,2578,880000,,,,,
341,-14876.214285666667,928.3333333333334,2609,890000,,,,,
341,-14742.92063488889,938.2222222222222,2638,900000,,,,,
341,-19690.945054923075,849.0769230769231,2667,910000,,,,,
341,-14555.6190476,869.2,2694,920000,,,,,
341,-12469.392857125,877.375,2697,920988,1.238033320305476e-07,16,0.05,49473.625,0.049
341,13682.0,1000.0,2723,930000,,,,,
341,16253.0,1000.0,2749,940000,,,,,
341,17318.025974,1000.0,2777,950000,,,,,
342,4998.909090888887,999.6666666666666,2806,960000,,,,,
342,7296.515151499999,999.75,2836,970000,,,,,
342,8808.44155842857,999.7857142857143,2863,980000,,,,,
342,10068.401988624999,999.8125,2876,984976,2.143057429293549e-07,17,0.05,28580.66015625,0.049
342,18824.0,1000.0,2890,990000,,,,,
342,-6009.75,834.0,2917,1000000,,,,,
342,2268.1666666666665,889.3333333333334,2945,1010000,,,,,
343,7785.0,926.2222222222222,2972,1020000,,,,,
