time/fps,train/step_size,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/iterations,train/delta_std,rollout/return_std,train/learning_rate,time/total_timesteps
273,1.2595769760537223e-07,-49317.34375,670.3125,156,0,0.05,48627.43359375,0.049,42900
273,1.3185740499466192e-07,-54808.75,620.8125,301,1,0.05,46451.6953125,0.049,82632
273,1.293394120693847e-07,-61871.484375,626.25,449,2,0.05,47356.01953125,0.049,122712
273,1.312453719037876e-07,-49833.75,608.8125,591,3,0.05,46668.3125,0.049,161676
272,1.3232704532128992e-07,-44674.6875,781.0,775,4,0.05,46286.8359375,0.049,211660
270,1.4856523478101735e-07,-33035.625,803.8125,971,5,0.05,41227.6796875,0.049,263104
267,1.2642364310977428e-07,-60123.828125,630.1875,1136,6,0.05,48448.21484375,0.049,303436
264,1.2825094586332852e-07,-66674.21875,521.125,1272,7,0.05,47757.9296875,0.049,336788
262,1.2514891523096594e-07,-49529.0625,694.0,1453,8,0.05,48941.69140625,0.049,381204
260,1.3278092581003875e-07,-39032.65625,847.75,1672,9,0.05,46128.61328125,0.049,435460
261,1.3611794713597192e-07,-41636.28472225,713.25,1840,10,0.05,44997.73828125,0.049,481108
262,1.4874014198085206e-07,-32931.484375,868.3125,2043,11,0.05,41179.19921875,0.049,536680
263,2.430833490052464e-07,-13824.0625,973.25,2270,12,0.05,25197.1171875,0.049,598968
264,1.508656453097501e-07,-32695.0,769.75,2454,13,0.05,40599.03515625,0.049,648232
263,2.188591707863452e-07,-20241.640625,917.5,2685,14,0.05,27986.03125,0.049,706952
262,1.816212602534506e-07,-21545.234375,970.8125,2931,15,0.05,33724.0234375,0.049,769084
261,1.3340770976810745e-07,-44405.625,760.0,3123,16,0.05,45911.890625,0.049,817724
261,1.4884717813856696e-07,-32966.25,860.0,3340,17,0.05,41149.5859375,0.049,872764
261,1.737872565854559e-07,-25275.15625,927.75,3559,18,0.05,35244.2421875,0.049,932140
262,2.665941281065898e-07,-15743.75,949.4375,3782,19,0.05,22975.0,0.049,992904
262,1.873431756393984e-07,-21955.0,945.625,4009,20,0.05,32694.01171875,0.049,1053424
263,2.627064077387331e-07,-15828.75,957.9375,4234,21,0.05,23315.0,0.049,1114732
263,1.886276805862508e-07,-21868.75,937.0,4454,22,0.05,32471.373046875,0.049,1174700
264,1.9431261932822963e-07,-20276.09375,879.5625,4659,23,0.05,31521.369140625,0.049,1230992
264,2.673505150596611e-07,-15727.5,947.8125,4882,24,0.05,22910.0,0.049,1291652
264,2.6331940716772806e-07,-14663.4375,941.3125,5102,25,0.05,23260.72265625,0.049,1351896
265,1.9644183169020835e-07,-21410.0,891.125,5312,26,0.05,31179.7109375,0.049,1408928
265,49000.0,-10000.0,1000.0,5546,27,0.05,0.0,0.049,1472928
265,49000.0,-10000.0,1000.0,5782,28,0.05,0.0,0.049,1536928
265,2.498724995803059e-07,-16128.125,987.875,6031,29,0.05,24512.5,0.049,1600152
264,49000.0,-10000.0,1000.0,6284,30,0.05,0.0,0.049,1664152
264,2.4857513380993623e-07,-14342.890625,970.5,6528,31,0.05,24640.435546875,0.049,1726264
264,49000.0,-10000.0,1000.0,6781,32,0.05,0.0,0.049,1790264
264,49000.0,-10000.0,1000.0,7015,33,0.05,0.0,0.049,1854264
264,49000.0,-10000.0,1000.0,7251,34,0.05,0.0,0.049,1918264
264,49000.0,-10000.0,1000.0,7486,35,0.05,0.0,0.049,1982264
265,49000.0,-10000.0,1000.0,7720,36,0.05,0.0,0.049,2046264
