time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/approx_kl
1,79.82,16384,62,-100069.6125,262,,,,,,,,,,,
2,98.39,32768,150,-99238.6875,218,-8.542498407140375,0.0126220703125,0.2,0.0011,901029696.0,10,1508925308.2,1.0086402893066406,-0.002110906939378765,0.0,0.0033399928
3,105.3,49152,237,-99605.20583333001,206,-8.597918155789376,0.016497802734375,0.2,0.0011,749863488.0,20,1296981580.2125,1.0187478065490723,-0.0025476978706137745,0.0,0.003541546
4,123.24,65536,326,-99597.9875,201,-8.665751625224948,0.02568359375,0.2,0.0011,639607936.0,30,1124937675.0875,1.0313022136688232,-0.0034193812020021142,-2.384185791015625e-07,0.003952265
5,113.57,81920,414,-100013.7875,197,-8.736552646756172,0.02410888671875,0.2,0.0011,946067008.0,40,1022619630.675,1.0432844161987305,-0.00278645331509324,0.0,0.0036149048
6,126.09,98304,502,-100042.1875,195,-8.805420660972596,0.025836181640625,0.2,0.0011,495731200.0,50,1069288234.05,1.0554555654525757,-0.003403373472065141,0.0,0.0045262277
7,146.73,114688,590,-100152.3625,194,-8.866392844542862,0.0269287109375,0.2,0.0011,608476864.0,60,955441555.5375,1.0645631551742554,-0.0032774332312328625,0.0,0.004114961
8,142.88,131072,678,-100997.3,193,-8.934451257809997,0.02547607421875,0.2,0.0011,996535872.0,70,822614456.13125,1.0792394876480103,-0.0025253577345210943,1.1920928955078125e-07,0.0040063867
9,151.48,147456,767,-100687.4525,192,-9.013994121924043,0.0184814453125,0.2,0.0011,474375648.0,80,818835537.31875,1.0932440757751465,-0.002101386994945642,0.0,0.0035040474
10,145.44,163840,855,-100094.4375,191,-9.097289977222681,0.02069091796875,0.2,0.0011,487601728.0,90,813428438.8625,1.1099302768707275,-0.0017377448833940435,0.0,0.003372746
11,155.9,180224,943,-100112.075,191,-9.185225949436425,0.02596435546875,0.2,0.0011,386532768.0,100,829036994.2625,1.1262558698654175,-0.0021965957994325436,2.384185791015625e-07,0.0038396432
12,160.65,196608,1031,-99614.83583334,190,-9.271035363897681,0.020361328125,0.2,0.0011,331151008.0,110,769637452.30625,1.1415060758590698,-0.001648771349573508,0.0,0.0040236646
13,162.41,212992,1120,-100093.35,190,-9.36468742787838,0.027044677734375,0.2,0.0011,334611360.0,120,736007967.80625,1.1615914106369019,-0.0018700803822866874,0.0,0.0040716287
14,172.7,229376,1208,-100264.03472222,189,-9.451430066674948,0.046990966796875,0.2,0.0011,644282560.0,130,736038836.475,1.1766862869262695,-0.002654625743525685,0.0,0.0053660404
15,157.89,245760,1295,-100325.79583333,189,-9.543957504257559,0.037158203125,0.2,0.0011,111841768.0,140,663928627.159375,1.197176218032837,-0.001979092893816414,0.0,0.0047873687
16,197.82,262144,1384,-99910.0425,189,-9.629370984062552,0.031219482421875,0.2,0.0011,132628760.0,150,758492822.98125,1.2129243612289429,-0.001653165697643999,0.0,0.004599099
17,199.01,278528,1472,-100755.06111111,189,-9.707852513715626,0.042730712890625,0.2,0.0011,465985760.0,160,538927784.80625,1.2285783290863037,-0.0019305695257571642,0.0,0.0050953426
18,186.47,294912,1559,-99826.13027778,189,-9.790019332617522,0.04171142578125,0.2,0.0011,643469376.0,170,616303677.921875,1.2458566427230835,-0.002660955492319772,5.960464477539063e-08,0.0048539196
19,219.1,311296,1647,-100762.47916666999,188,-9.870524483546614,0.03721923828125,0.2,0.0011,552922240.0,180,604560725.715625,1.2630510330200195,-0.001789239469144377,0.0,0.004797303
20,243.26,327680,1736,-101313.3125,188,-9.945323723554612,0.05472412109375,0.2,0.0011,225820640.0,190,510964693.621875,1.2777683734893799,-0.0019563225672754926,0.0,0.0060401466
21,235.77,344064,1824,-101117.0875,188,-10.055021046102047,0.0808837890625,0.2,0.0011,126782760.0,200,464861146.14375,1.3072402477264404,-0.0012421213690686273,0.0,0.008249527
22,218.98,360448,1912,-100843.44583333,188,-10.163072130084037,0.054327392578125,0.2,0.0011,371514432.0,210,498647502.18125,1.3278119564056396,-0.0008553466775993001,-1.1920928955078125e-07,0.0052849934
23,233.81,376832,2000,-100960.59583333001,188,-10.258549353480339,0.056683349609375,0.2,0.0011,261105440.0,220,532044704.371875,1.3486618995666504,-0.0006676678247458767,0.0,0.005971044
24,215.57,393216,2088,-99995.30833333,188,-10.375160874426365,0.067669677734375,0.2,0.0011,463937536.0,230,501867707.471875,1.378281593322754,-0.0017046864993972121,0.0,0.0067414995
25,213.16,409600,2175,-99684.47916666,188,-10.493329442292453,0.059832763671875,0.2,0.0011,341007904.0,240,516626409.4875,1.4044078588485718,-0.0009680153836598038,0.0,0.007542072
26,220.23,425984,2264,-100738.275,188,-10.579813652485608,0.073663330078125,0.2,0.0011,299544608.0,250,538632538.5484375,1.423043966293335,-0.0011756336838516291,0.0,0.005700935
27,232.32,442368,2353,-100216.7825,187,-10.667858400940895,0.08367919921875,0.2,0.0011,367755232.0,260,501183791.0109375,1.4446771144866943,-0.0008645585145131918,0.0,0.0074039884
