time/time_elapsed,train/critic_loss,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,time/fps,train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
1,785.538818359375,1.0030485391616821,42,40.78055191040039,-0.037285447120666504,161,0.0001,272,4,63.25,-98118.125
4,392.9239501953125,1.0089116096496582,136,55.332923889160156,-0.10299442708492279,141,0.0001,648,8,60.5,-99342.8125
9,22.159643173217773,1.021967887878418,303,64.48875427246094,-0.1590876579284668,131,0.0001,1316,12,83.66666666666667,-98291.45833333333
11,802.7686767578125,1.0252935886383057,359,64.05793762207031,-0.15691524744033813,128,0.0001,1540,16,92.4375,-98361.71875
17,198.00869750976562,1.0331140756607056,505,75.44982147216797,-0.23554939031600952,123,0.0001,2124,20,88.85,-98836.375
22,627.4027099609375,1.0422605276107788,654,84.56206512451172,-0.24096928536891937,122,0.0001,2720,24,102.45833333333333,-97929.01041666667
24,198.0864715576172,1.0465644598007202,718,88.14370727539062,-0.2793915867805481,123,0.0001,2976,28,102.67857142857143,-98014.86607142857
27,451.8017883300781,1.0541850328445435,827,96.91914367675781,-0.3507792353630066,123,0.0001,3412,32,101.40625,-98038.359375
31,217.870849609375,1.0613168478012085,924,103.15988159179688,-0.37492549419403076,121,0.0001,3800,36,99.41666666666667,-98063.33333333333
34,3.1750237941741943,1.0677093267440796,1008,106.71891784667969,-0.37777435779571533,120,0.0001,4136,40,97.325,-98072.6875
41,3.429586887359619,1.0834755897521973,1201,118.28492736816406,-0.49296101927757263,119,0.0001,4908,44,104.5,-97943.72159090909
43,413.0898742675781,1.0899208784103394,1276,123.59286499023438,-0.5797063112258911,118,0.0001,5208,48,105.14583333333333,-97980.3125
46,218.00799560546875,1.0976247787475586,1365,126.44480895996094,-0.5986291170120239,118,0.0001,5564,52,101.90384615384616,-98183.36538461539
50,608.09521484375,1.1061955690383911,1461,135.83731079101562,-0.6385201811790466,118,0.0001,5948,56,103.0,-98021.98660714286
53,783.670166015625,1.1146568059921265,1553,141.14431762695312,-0.6873028874397278,118,0.0001,6316,60,104.16666666666667,-98065.25
57,393.7700500488281,1.1250194311141968,1663,146.06744384765625,-0.693131148815155,118,0.0001,6756,64,101.390625,-98222.890625
60,822.7672119140625,1.1344317197799683,1760,151.26129150390625,-0.8480125665664673,118,0.0001,7144,68,101.72058823529412,-98240.01838235294
63,218.34869384765625,1.143757700920105,1854,155.75137329101562,-0.7441932559013367,119,0.0001,7520,72,102.22222222222223,-98398.76736111111
67,198.842529296875,1.1579333543777466,1992,164.56529235839844,-1.0400002002716064,119,0.0001,8072,76,102.09210526315789,-98535.01644736843
70,198.9042510986328,1.16798996925354,2087,169.1336669921875,-0.9721845984458923,120,0.0001,8452,80,103.5,-98672.890625
72,432.7417907714844,1.1773179769515991,2174,173.37899780273438,-0.9820274114608765,120,0.0001,8800,84,102.73809523809524,-98777.27678571429
75,608.38330078125,1.1867096424102783,2260,178.8544158935547,-1.1171698570251465,121,0.0001,9144,88,101.22727272727273,-98863.99147727272
78,413.4799499511719,1.197865605354309,2361,182.90652465820312,-1.2228384017944336,121,0.0001,9548,92,101.45652173913044,-98848.36956521739
81,199.18565368652344,1.2096388339996338,2465,188.15142822265625,-1.2922425270080566,121,0.0001,9964,96,102.1875,-98945.52083333333
83,4.2109055519104,1.2166802883148193,2526,189.7822265625,-1.4056874513626099,121,0.0001,10208,100,100.93,-98914.725
86,218.71240234375,1.2263211011886597,2610,192.26699829101562,-1.2288824319839478,122,0.0001,10544,104,101.4,-98919.5125
89,23.798236846923828,1.2379034757614136,2711,195.30868530273438,-1.431340217590332,122,0.0001,10948,108,102.57,-98931.2125
91,589.1790771484375,1.2472996711730957,2792,201.62001037597656,-1.2733442783355713,122,0.0001,11272,112,102.04,-99129.9625
95,998.6177368164062,1.2618889808654785,2914,206.28012084960938,-1.4289538860321045,122,0.0001,11760,116,99.86,-99212.3625
99,394.2958984375,1.2773816585540771,3042,211.52088928222656,-1.6670892238616943,123,0.0001,12272,120,101.51,-99128.7875
101,413.9279479980469,1.2858216762542725,3111,212.4567108154297,-1.524181604385376,123,0.0001,12548,124,100.11,-99245.325
104,433.5302734375,1.2975419759750366,3205,217.71151733398438,-1.7475146055221558,123,0.0001,12924,128,99.72,-99341.425
108,589.41162109375,1.3133447170257568,3331,223.35610961914062,-1.657188892364502,123,0.0001,13428,132,99.31,-99345.725
111,5.073577880859375,1.3262887001037598,3431,225.1138458251953,-1.8262012004852295,123,0.0001,13828,136,100.71,-99259.0
114,219.4054412841797,1.3375061750411987,3517,228.9865264892578,-2.0216429233551025,123,0.0001,14172,140,101.11,-99367.725
118,1368.960205078125,1.3535648584365845,3640,231.43597412109375,-2.1623523235321045,124,0.0001,14664,144,98.33,-99440.975
