time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/policy_objective,train/learning_rate,train/std,train/explained_variance,train/kl_divergence_loss,train/is_line_search_success,train/value_loss
16384,-97821.86769841,259,63,122.34,1,,,,,,,,
32768,-97865.31290404999,251,130,147.88,2,1,0.016412127763032913,0.0001,0.9992779493331909,-2.5033950805664062e-06,0.00356285716407001,1.0,383782900.725
49152,-97552.24838771,250,196,166.88,3,2,0.01705542951822281,0.0001,0.9984269142150879,-8.344650268554688e-07,0.0031919260509312153,1.0,323710631.459375
65536,-96359.61638888,248,263,171.52,4,3,0.015127078630030155,0.0001,1.0030118227005005,-4.76837158203125e-07,0.0034289746545255184,1.0,288856560.575
81920,-97235.54264957,247,330,182.43,5,4,0.017897967249155045,0.0001,1.0060538053512573,-2.384185791015625e-07,0.0030027669854462147,1.0,279913327.68125
98304,-97195.55416665999,247,397,188.08,6,5,0.013382811099290848,0.0001,1.000746726989746,-1.1920928955078125e-07,0.0028566166292876005,1.0,266202072.640625
114688,-95043.22615385,247,463,219.81,7,6,0.016548477113246918,0.0001,1.0038440227508545,-1.1920928955078125e-07,0.003061693161725998,1.0,253851293.615625
131072,-95097.54542540999,247,529,251.81,8,7,0.018992064520716667,0.0001,1.0010327100753784,1.7881393432617188e-07,0.004264947026968002,1.0,221888315.1140625
147456,-93417.15220807001,247,596,275.23,9,8,0.016409829258918762,0.0001,0.9989674091339111,-2.384185791015625e-07,0.00333915906958282,1.0,180143299.8214844
163840,-96321.88404761002,246,663,260.72,10,9,0.01629243791103363,0.0001,1.0031259059906006,-1.1920928955078125e-07,0.003743669018149376,1.0,183903467.75
180224,-95116.45217171003,247,729,255.4,11,10,0.018342679366469383,0.0001,1.0043895244598389,-1.1920928955078125e-07,0.0036536611150950193,1.0,189833173.55820313
196608,-95372.03022726999,247,795,251.05,12,11,0.014803200028836727,0.0001,1.0030614137649536,0.0,0.003970286808907986,1.0,184987876.88203126
212992,-96309.12075757999,247,861,262.11,13,12,0.02056313306093216,0.0001,1.000958800315857,0.0,0.0038476325571537018,1.0,194410619.22890624
229376,-91861.54942170001,247,926,267.94,14,13,0.02109021693468094,0.0001,0.9964975714683533,0.0,0.004831518977880478,1.0,182773021.60429686
245760,-91433.69352426,247,992,294.95,15,14,0.020303238183259964,0.0001,0.9934532046318054,0.0,0.0037891697138547897,1.0,169145579.4015625
262144,-94443.87730158,247,1057,273.44,16,15,0.014611909165978432,0.0001,0.9885852336883545,-1.1920928955078125e-07,0.003988945856690407,1.0,165259737.29257813
278528,-96110.45293650002,247,1124,270.33,17,16,0.018360715359449387,0.0001,0.9844936728477478,1.1920928955078125e-07,0.004702175501734018,1.0,185652855.95703125
294912,-92591.40238012001,247,1189,301.38,18,17,0.021054405719041824,0.0001,0.9785455465316772,0.0,0.004403926432132721,1.0,171175031.3703125
311296,-90463.62278777,248,1254,326.25,19,18,0.014105279929935932,0.0001,0.9759839773178101,0.0,0.00272196508012712,1.0,146907007.40546876
327680,-91800.54886002999,248,1319,347.92,20,19,0.01380716823041439,0.0001,0.9799808263778687,5.960464477539063e-08,0.004210833925753832,1.0,138326156.253125
344064,-89952.54558912,248,1382,351.98,21,20,0.019826751202344894,0.0001,0.9693474769592285,0.0,0.004601058550179005,1.0,136202071.82304686
360448,-91036.16427960001,248,1448,343.33,22,21,0.01743754744529724,0.0001,0.9708072543144226,0.0,0.004408241715282202,1.0,132698139.77558593
376832,-93380.24130953001,249,1512,359.75,23,22,0.01551489345729351,0.0001,0.9677080512046814,0.0,0.003941051661968231,1.0,134067958.10117188
393216,-91624.8466453,249,1577,368.23,24,23,0.017668375745415688,0.0001,0.9614124298095703,0.0,0.004749388433992863,1.0,129827014.80322266
409600,-90041.99243895,249,1640,371.34,25,24,0.018094312399625778,0.0001,0.9527589082717896,0.0,0.004200702998787165,1.0,130846410.70253906
425984,-90938.38250305,249,1704,393.14,26,25,0.01676465943455696,0.0001,0.9441026449203491,-1.1920928955078125e-07,0.004756661131978035,1.0,129221679.35859375
442368,-92530.30666971,250,1769,410.61,27,26,0.017025504261255264,0.0001,0.9348601698875427,0.0,0.004836888052523136,1.0,109234725.40449218
458752,-92839.73833332,250,1833,407.93,28,27,0.02131814695894718,0.0001,0.9295217394828796,-1.1920928955078125e-07,0.004885152447968721,1.0,114555715.61796875
475136,-92708.91456348001,250,1898,366.09,29,28,0.015928443521261215,0.0001,0.9363645315170288,1.1920928955078125e-07,0.004829540848731995,1.0,129710277.92304687
491520,-93618.1011569,250,1961,385.02,30,29,0.02236650325357914,0.0001,0.9387648105621338,0.0,0.005147713236510754,1.0,134927138.44277343
507904,-92949.9729823,250,2025,395.22,31,30,0.017389509826898575,0.0001,0.9302759170532227,5.960464477539063e-08,0.004714789800345898,1.0,106261984.00859375
524288,-92039.79055555999,251,2088,408.75,32,31,0.021295752376317978,0.0001,0.9278631210327148,1.1920928955078125e-07,0.004684484098106623,1.0,138834422.34345704
540672,-90372.54884615999,251,2151,403.52,33,32,0.012637102045118809,0.0001,0.9236084818840027,0.0,0.005152021534740925,1.0,97625807.76943359
557056,-88737.86229855,251,2215,436.02,34,33,0.01318803895264864,0.0001,0.9211248755455017,0.0,0.005102588329464197,1.0,112398848.2625
573440,-91234.95211539998,251,2279,438.71,35,34,0.017135145142674446,0.0001,0.9200932383537292,0.0,0.003807337488979101,1.0,106163979.98291016
589824,-91706.42435898,251,2342,445.04,36,35,0.014939069747924805,0.0001,0.9183574914932251,0.0,0.005040791817009449,1.0,118181233.26953125
606208,-92414.38316849999,251,2406,435.0,37,36,0.016271550208330154,0.0001,0.9168340563774109,-1.1920928955078125e-07,0.005026521161198616,1.0,106239192.86953124
622592,-92080.85688645,252,2470,451.4,38,37,0.017671460285782814,0.0001,0.9138973951339722,-1.1920928955078125e-07,0.0048070186749100685,1.0,112127212.45253906
638976,-89889.74603480998,252,2533,449.48,39,38,0.01727313920855522,0.0001,0.9158086776733398,5.960464477539063e-08,0.004671976435929537,1.0,103222071.37524414
655360,-89535.11853480998,252,2596,466.05,40,39,0.016435975208878517,0.0001,0.9192653894424438,0.0,0.004750424064695835,1.0,100474529.49194336
671744,-86665.3175,252,2660,461.8,41,40,0.014882715418934822,0.0001,0.9294769167900085,-1.1920928955078125e-07,0.005719970911741257,1.0,88602108.2569336
688128,-86409.74046896999,252,2723,474.24,42,41,0.01361900381743908,0.0001,0.9268859624862671,-9.5367431640625e-07,0.0051575168035924435,1.0,102568585.54726562
704512,-87618.28665945001,252,2789,479.28,43,42,0.016805632039904594,0.0001,0.9189313650131226,-1.1920928955078125e-07,0.0055261580273509026,1.0,94622325.74013671
720896,-89018.92320707001,252,2853,506.31,44,43,0.01380450651049614,0.0001,0.9147580862045288,0.0,0.004933320917189121,1.0,82133936.0704956
737280,-89940.22984127,252,2918,495.24,45,44,0.017748314887285233,0.0001,0.9094857573509216,5.960464477539063e-08,0.004921814426779747,1.0,97198356.89016113
753664,-86470.87481962,252,2981,506.83,46,45,0.014398045837879181,0.0001,0.9141291975975037,5.960464477539063e-08,0.005179132800549269,1.0,91459760.50383301
770048,-83267.74764928,252,3046,515.07,47,46,0.019112903624773026,0.0001,0.9133414030075073,-2.384185791015625e-07,0.005404229275882244,1.0,83360524.6034668
786432,-81455.86883975001,252,3110,550.14,48,47,0.015817422419786453,0.0001,0.9086647033691406,0.0,0.0048678419552743435,1.0,75612522.71618652
802816,-85966.78485347,252,3175,549.34,49,48,0.021138962358236313,0.0001,0.9140030741691589,0.0,0.0061590163968503475,1.0,70605374.16895752
819200,-83745.33751526,252,3240,550.93,50,49,0.014849195256829262,0.0001,0.9139031171798706,0.0,0.005011655390262604,1.0,82454682.65146485
835584,-83458.01563797999,252,3303,518.17,51,50,0.015588540583848953,0.0001,0.9175812602043152,0.0,0.005581552162766457,1.0,90797919.26501465
851968,-87853.89778084001,252,3368,499.38,52,51,0.017368050292134285,0.0001,0.9187237620353699,-1.1920928955078125e-07,0.005402781069278717,1.0,89210109.24023438
868352,-84559.11716451001,252,3434,548.57,53,52,0.02289397455751896,0.0001,0.9176106452941895,0.0,0.005843021906912327,1.0,88114387.56679687
884736,-86454.49327562,252,3501,557.48,54,53,0.02061164751648903,0.0001,0.9221454858779907,-1.1920928955078125e-07,0.00606938824057579,1.0,67456357.78389892
901120,-82352.39303753,252,3567,579.23,55,54,0.015803566202521324,0.0001,0.9226956367492676,1.1920928955078125e-07,0.005618373863399029,1.0,76372854.43383789
917504,-76976.00498196999,252,3631,613.06,56,55,0.016382714733481407,0.0001,0.9207077026367188,5.960464477539063e-08,0.006469519343227148,1.0,49597250.41990967
933888,-74102.59444444,252,3695,607.46,57,56,0.016111167147755623,0.0001,0.9171152114868164,0.0,0.005079004447907209,1.0,58937860.95570984
950272,-71829.3690873,252,3760,622.58,58,57,0.017293859273195267,0.0001,0.9181226491928101,0.0,0.005815810523927212,1.0,59181298.71375732
966656,-71890.70047619,252,3824,624.4,59,58,0.02036578767001629,0.0001,0.9125797152519226,0.0,0.005926040466874838,1.0,58909185.82537842
983040,-73509.97604091001,252,3888,601.51,60,59,0.017415964975953102,0.0001,0.9129012823104858,-1.1920928955078125e-07,0.0054427217692136765,1.0,56698856.47805176
999424,-68847.67354091,252,3950,626.2,61,60,0.020251460373401642,0.0001,0.9041171073913574,0.0,0.006867478601634502,1.0,80155573.93803711
1015808,-68107.33868437,253,4012,611.29,62,61,0.016891807317733765,0.0001,0.9053587913513184,0.0,0.005702105816453695,1.0,48202857.44296875
1032192,-67746.93950855001,253,4073,591.63,63,62,0.00928550399839878,0.0001,0.9047762155532837,0.0,0.0042972322553396225,1.0,65189214.222753905
1048576,-64312.48196886,253,4136,606.74,64,63,0.014816073700785637,0.0001,0.9064643383026123,0.0,0.005847543478012085,1.0,71238167.44765624
1064960,-63850.36506409999,253,4199,632.53,65,64,0.01773415133357048,0.0001,0.9044015407562256,-1.1920928955078125e-07,0.005361452698707581,1.0,50202145.13183594
1081344,-63812.779841259995,253,4262,603.63,66,65,0.00944717600941658,0.0001,0.9083864092826843,0.0,0.005680188070982695,1.0,44258280.62617187
1097728,-68458.19586079,253,4323,582.53,67,66,0.020854026079177856,0.0001,0.906354546546936,0.0,0.006648140959441662,1.0,70625056.20195313
1114112,-71837.82492673,254,4386,573.81,68,67,0.015835803002119064,0.0001,0.9042789936065674,-2.384185791015625e-07,0.0077490732073783875,1.0,79133055.1753418
1130496,-75091.06885529999,254,4448,547.9,69,68,0.02175796963274479,0.0001,0.8984560370445251,1.1920928955078125e-07,0.006538196466863155,1.0,56004954.24931641
1146880,-77030.35239177,254,4510,545.18,70,69,0.01505091693252325,0.0001,0.8938854932785034,-1.1920928955078125e-07,0.005600406788289547,1.0,79429413.20605469
1163264,-78565.88536793999,254,4571,491.68,71,70,0.020291395485401154,0.0001,0.8909076452255249,5.960464477539063e-08,0.006549318321049213,1.0,93892668.65634766
1179648,-78698.70826477,254,4633,482.73,72,71,0.0183115191757679,0.0001,0.896018922328949,0.0,0.004520179703831673,1.0,97175976.29763183
1196032,-78527.74265870999,254,4694,491.0,73,72,0.01866857334971428,0.0001,0.8914410471916199,0.0,0.0058175548911094666,1.0,84911451.9859375
1212416,-80464.88252136,254,4757,513.86,74,73,0.017428556457161903,0.0001,0.8930635452270508,-1.1920928955078125e-07,0.004342629574239254,1.0,82600433.02602538
1228800,-79544.35442614001,254,4820,539.0,75,74,0.017764676362276077,0.0001,0.8954434394836426,-1.1920928955078125e-07,0.005243651568889618,1.0,90655717.52329102
1245184,-81841.5421029,255,4882,519.45,76,75,0.017341896891593933,0.0001,0.8956941962242126,-1.1920928955078125e-07,0.00558967050164938,1.0,64827716.430896
1261568,-82586.70610779,255,4944,499.17,77,76,0.016584917902946472,0.0001,0.9021932482719421,1.7881393432617188e-07,0.00568056758493185,1.0,96278226.6953125
1277952,-85817.24602120002,255,5007,434.37,78,77,0.020813707262277603,0.0001,0.8966028690338135,-1.1920928955078125e-07,0.006119582336395979,1.0,102910427.33154297
1294336,-82992.20180403,255,5067,463.87,79,78,0.01922651380300522,0.0001,0.8927766680717468,0.0,0.005951044615358114,1.0,111627602.36171874
1310720,-82950.66524726,255,5130,467.46,80,79,0.015211250633001328,0.0001,0.8934850692749023,0.0,0.005129294004291296,1.0,85165281.13784179
1327104,-79850.97778389,255,5192,506.3,81,80,0.01766541786491871,0.0001,0.8929696083068848,0.0,0.005649337079375982,1.0,85034052.30849609
1343488,-78616.16897434999,255,5256,473.01,82,81,0.01954079419374466,0.0001,0.8932468891143799,0.0,0.004920606967061758,1.0,88939013.10097656
1359872,-77432.64467948,255,5319,482.81,83,82,0.01971317082643509,0.0001,0.8899850249290466,0.0,0.006396870128810406,1.0,94617203.36791992
1376256,-83185.57238095,255,5381,470.36,84,83,0.018562104552984238,0.0001,0.8865193724632263,1.1920928955078125e-07,0.005892888642847538,1.0,85107459.75844726
1392640,-84109.38404763,255,5444,497.08,85,84,0.022828904911875725,0.0001,0.8885114192962646,0.0,0.006467100232839584,1.0,95939804.41210938
1409024,-80269.24678571,255,5506,471.88,86,85,0.01754356361925602,0.0001,0.8906151652336121,1.1920928955078125e-07,0.005654856096953154,1.0,85062319.08193359
1425408,-77692.59261904,255,5569,509.31,87,86,0.017149504274129868,0.0001,0.8940465450286865,0.0,0.00667934026569128,1.0,88764848.65119629
1441792,-73662.16726188999,255,5632,535.86,88,87,0.02085050754249096,0.0001,0.8960339426994324,0.0,0.006233280058950186,1.0,75881739.84128419
1458176,-75986.69476189,255,5696,554.94,89,88,0.012979920953512192,0.0001,0.8967994451522827,5.960464477539063e-08,0.005256476812064648,1.0,58902772.746435545
1474560,-77501.87107503,255,5761,585.55,90,89,0.015107335522770882,0.0001,0.8982557654380798,-1.1920928955078125e-07,0.006660505197942257,1.0,70553681.28886719
