train/entropy_loss,rollout/ep_len_mean,train/policy_loss,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/std,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/explained_variance,train/n_updates
-12.822888374328613,79.61904761904762,-119147.3515625,100,418,2000,4,1.0060378313064575,189806544.0,0.0007,-383482.3701334762,7.748603820800781e-07,99
-12.857892036437988,78.63265306122449,-38422.3125,200,423,4000,9,1.0106486082077026,82266064.0,0.0007,-359370.8041206939,-1.1920928955078125e-07,199
-12.897058486938477,70.64634146341463,-50660.33984375,300,417,6000,14,1.0145319700241089,50753068.0,0.0007,-311481.07504167076,-1.1920928955078125e-07,299
-12.899321556091309,72.11,-114233.3125,400,417,8000,19,1.0149565935134888,183888496.0,0.0007,-295647.46225248004,0.0,399
-12.902505874633789,59.73,-80124.453125,500,418,10000,23,1.0153398513793945,105819344.0,0.0007,-224433.72976381995,0.0,499
-12.940790176391602,60.02,-198183.859375,600,418,12000,28,1.0193835496902466,787825088.0,0.0007,-209182.92155291003,0.0,599
-12.969347953796387,54.35,-284544.84375,700,415,14000,33,1.0228689908981323,2076432768.0,0.0007,-191545.39910190995,0.0,699
-12.993765830993652,55.84,-301080.46875,800,417,16000,38,1.0256214141845703,2164766208.0,0.0007,-191453.70733931998,-1.1920928955078125e-07,799
-13.010733604431152,53.18,-198416.625,900,418,18000,43,1.0275459289550781,1077678592.0,0.0007,-177357.24429616,0.0,899
-12.980786323547363,50.06,-27933.62890625,1000,417,20000,47,1.0240131616592407,20561912.0,0.0007,-159587.95129027,-2.384185791015625e-07,999
-13.022224426269531,56.31,-78922.375,1100,417,22000,52,1.0290101766586304,279127392.0,0.0007,-162420.21134785996,0.0,1099
-13.072394371032715,51.42,-113220.140625,1200,417,24000,57,1.0346535444259644,233360208.0,0.0007,-166932.0311404,0.0,1199
-13.077484130859375,39.62,-32345.748046875,1300,418,26000,62,1.035225749015808,37096084.0,0.0007,-152915.20968423,-1.1920928955078125e-07,1299
-13.073892593383789,43.21,-69565.390625,1400,417,28000,67,1.035097599029541,75923728.0,0.0007,-143905.19455666,5.960464477539063e-08,1399
-13.094490051269531,48.45,-240383.984375,1500,416,30000,72,1.0373255014419556,1708211712.0,0.0007,-145708.3308322,0.0,1499
-13.112887382507324,46.61,-428709.59375,1600,416,32000,76,1.039685845375061,3405679104.0,0.0007,-151724.16102249,-1.1920928955078125e-07,1599
-13.087869644165039,41.32,-58848.76953125,1700,417,34000,81,1.0366140604019165,88526136.0,0.0007,-144755.25213326,0.0,1699
-13.089629173278809,43.18,-16210.556640625,1800,416,36000,86,1.0373278856277466,31380014.0,0.0007,-149495.19743427003,0.0,1799
-13.08258056640625,48.25,-30012.39453125,1900,416,38000,91,1.0360914468765259,40533552.0,0.0007,-152029.62127411,-1.1920928955078125e-07,1899
-13.066946983337402,50.84,-91975.953125,2000,415,40000,96,1.0344319343566895,120538680.0,0.0007,-160794.13646925,0.0,1999
-13.075553894042969,52.47,-51168.55859375,2100,416,42000,100,1.0353448390960693,123182520.0,0.0007,-164703.71044714,0.0,2099
