rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/return_std
1000.0,1902,5,-30034946.593333997,10000,,,,,
1000.0,1913,10,-29987176.276097998,20000,,,,,
1000.0,1923,15,-29920282.46187743,30000,,,,,
900.8,1882,21,-26917973.307633698,40000,,,,,
923.6923076923077,1848,27,-27601453.52394177,50000,,,,,
933.8666666666667,1841,32,-27935006.5260584,60000,,,,,
938.0,1840,32,-28048995.578039125,60032,3.3559968692919995e-10,0,0.02,0.05,7449351.0
1000.0,1827,38,-30005273.5949945,70000,,,,,
802.2,1812,44,-24028301.7522816,80000,,,,,
779.6666666666666,1783,50,-23306262.107010666,90000,,,,,
819.7272727272727,1782,56,-24439222.57596518,100000,,,,,
858.3571428571429,1769,62,-25606252.928763647,110000,,,,,
813.875,1767,63,-24282140.89586219,112120,2.0837212511004566e-10,1,0.02,0.05,11997766.0
1000.0,1767,67,-29888872.368526,120000,,,,,
575.4285714285714,1767,73,-17129338.710293,130000,,,,,
669.7777777777778,1758,79,-19979292.742491554,140000,,,,,
646.0714285714286,1749,85,-19283135.901091285,150000,,,,,
628.6875,1751,87,-18698662.726973187,152356,1.685416944896545e-10,2,0.02,0.05,14833125.0
1000.0,1761,90,-29723280.630104,160000,,,,,
574.2857142857143,1760,96,-17171216.25408114,170000,,,,,
548.4545454545455,1766,101,-16415691.268653726,180000,,,,,
565.4375,1765,106,-16877947.459857687,188544,1.6380581613351097e-10,3,0.02,0.05,15261972.0
,1765,107,,190000,,,,,
1000.0,1765,113,-30033648.746900998,200000,,,,,
834.5,1760,119,-24914746.439809,210000,,,,,
703.4,1756,125,-20905744.2012564,220000,,,,,
771.8461538461538,1755,131,-22990604.596160464,230000,,,,,
753.1875,1755,134,-22437734.311465934,236748,1.8846452176646267e-10,4,0.02,0.05,13265095.0
8.0,1754,136,-120224.598052,240000,,,,,
604.2,1755,142,-17936635.256434,250000,,,,,
717.2857142857143,1753,148,-21389753.47036357,260000,,,,,
730.1818181818181,1752,154,-21714905.597079545,270000,,,,,
670.4666666666667,1751,159,-19918124.153449334,280000,,,,,
691.0625,1751,160,-20544549.140931502,280976,1.760543100193246e-10,5,0.02,0.05,14200163.0
408.0,1749,165,-12170717.686077,290000,,,,,
451.55555555555554,1744,171,-13475289.254258,300000,,,,,
588.6666666666666,1743,177,-17609370.9747935,310000,,,,,
604.8666666666667,1738,184,-18078210.202463333,320000,,,,,
629.5625,1733,185,-18823429.48262475,321268,1.675450472804485e-10,6,0.02,0.05,14921359.0
668.6666666666666,1723,191,-20024491.172926668,330000,,,,,
801.2,1716,198,-24022376.086571597,340000,,,,,
702.2,1714,204,-21010415.186143097,350000,,,,,
751.8333333333334,1713,210,-22518693.985348165,360000,,,,,
752.3125,1713,215,-22547185.864525378,369416,1.874558841485907e-10,7,0.02,0.05,13336471.0
,1713,215,,370000,,,,,
669.6666666666666,1712,221,-19867085.145,380000,,,,,
560.8888888888889,1709,228,-16659892.881745113,390000,,,,,
587.6666666666666,1706,234,-17526146.856193334,400000,,,,,
629.1875,1701,240,-18760309.450642813,409684,1.680384026370163e-10,8,0.02,0.05,14877551.0
,1701,241,,410000,,,,,
404.4,1697,247,-12053889.895292599,420000,,,,,
627.75,1694,253,-18764215.446991876,430000,,,,,
702.2,1691,260,-20951585.1127613,440000,,,,,
770.9230769230769,1690,266,-23032670.41350269,450000,,,,,
801.4666666666667,1687,272,-23964458.70278933,460000,,,,,
813.875,1686,273,-24336394.660056375,461772,2.0813985257550627e-10,9,0.02,0.05,12011155.0
672.0,1686,278,-20145400.684003334,470000,,,,,
670.0,1687,284,-20121905.782812502,480000,,,,,
702.5,1686,290,-21089091.4365107,490000,,,,,
694.7692307692307,1686,296,-20837278.411857076,500000,,,,,
689.75,1686,300,-20673117.62296194,505916,1.7481663339147246e-10,10,0.02,0.05,14300698.0
254.75,1686,302,-7583804.82507975,510000,,,,,
503.1666666666667,1686,308,-15017204.943655333,520000,,,,,
558.3333333333334,1684,314,-16707297.711674336,530000,,,,,
617.9230769230769,1683,320,-18487297.371291384,540000,,,,,
627.3125,1683,324,-18788496.930022687,546064,1.6758734677768672e-10,11,0.02,0.05,14917594.0
4.0,1682,326,-99432.225968,550000,,,,,
502.3333333333333,1681,333,-15074065.096048832,560000,,,,,
559.0,1681,339,-16776023.915454885,570000,,,,,
669.25,1679,345,-20038446.893991496,580000,,,,,
628.0,1679,349,-18811645.331923686,586256,1.6757711884807236e-10,12,0.02,0.05,14918504.0
4.0,1678,351,-99886.233264,590000,,,,,
601.8,1677,357,-17924335.6566356,600000,,,,,
715.5714285714286,1676,363,-21384867.227592286,610000,,,,,
669.9166666666666,1673,370,-20027209.42008658,620000,,,,,
628.0,1671,374,-18769525.360358812,626448,1.6787349288449605e-10,13,0.02,0.05,14892165.0
,1670,377,,630000,,,,,
752.75,1669,383,-22591252.05718,640000,,,,,
628.0,1668,389,-18842274.90847725,650000,,,,,
503.0,1666,395,-15061446.490062062,658640,1.621526662942685e-10,14,0.02,0.05,15417568.0
,1666,396,,660000,,,,,
1000.0,1666,402,-30023440.923674002,670000,,,,,
834.1666666666666,1666,408,-25081755.162156504,680000,,,,,
875.625,1665,414,-26284122.202813625,690000,,,,,
909.5454545454545,1665,420,-27243568.57997191,700000,,,,,
923.4615384615385,1664,426,-27690486.952558998,710000,,,,,
875.5625,1663,429,-26251208.022624,714676,2.449014324668042e-10,15,0.02,0.05,10208188.0
502.5,1663,432,-15119105.912986001,720000,,,,,
380.25,1662,439,-11394329.226310749,730000,,,,,
549.2727272727273,1661,445,-16486217.848150365,740000,,,,,
536.8666666666667,1660,451,-16101003.936128465,750000,,,,,
565.8125,1660,452,-16964521.27051519,750888,1.632325941081092e-10,16,0.02,0.05,15315569.0
1000.0,1659,458,-30021436.203013003,760000,,,,,
668.1666666666666,1656,464,-20061596.979438167,770000,,,,,
638.0,1652,471,-19135574.784391,780000,,,,,
693.6923076923077,1650,478,-20816570.014245614,790000,,,,,
751.125,1648,484,-22538713.457640752,798960,1.869062127290988e-10,17,0.02,0.05,13375691.0
,1648,485,,800000,,,,,
1000.0,1646,491,-29953309.4322355,810000,,,,,
1000.0,1643,499,-29955760.261189003,820000,,,,,
875.5,1639,506,-26259202.7964025,830000,,,,,
715.6428571428571,1634,513,-21421298.202544715,840000,,,,,
688.9375,1628,517,-20611936.309263,843052,1.7509739491661236e-10,18,0.02,0.05,14277768.0
253.25,1625,522,-7622053.75618425,850000,,,,,
573.2857142857143,1621,530,-17157267.057924286,860000,,,,,
668.1111111111111,1619,537,-20013647.513876893,870000,,,,,
565.0,1617,543,-16938397.13067875,879212,1.6317298900947463e-10,19,0.02,0.05,15321162.0
,1616,544,,880000,,,,,
337.0,1612,551,-10057415.359474834,890000,,,,,
457.27272727272725,1611,558,-12788943.95174518,900000,,,,,
502.64285714285717,1611,564,-14355902.175080786,910000,,,,,
