time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1795,504.6875,17,1.6165317695548964e-10,0,0.02,0.05,-15066668.815072563,32300,15465208.0
1772,319.25,29,1.746818939496464e-10,1,0.02,0.05,-9454832.59687775,52732,14311728.0
1746,565.625,50,1.6322165841131664e-10,2,0.02,0.05,-16932781.73309531,88932,15316594.0
1742,255.1875,60,1.870303634188275e-10,3,0.02,0.05,-7581946.9331261255,105264,13366813.0
1755,317.375,71,1.744995398178517e-10,4,0.02,0.05,-9458613.584722,125576,14326685.0
1760,326.8125,83,1.7642198812950483e-10,5,0.02,0.05,-9627613.716010127,146492,14170569.0
1764,504.8125,101,1.6201232022616807e-10,6,0.02,0.05,-15096092.191608375,178800,15430925.0
1763,503.3125,119,1.616776018620314e-10,7,0.02,0.05,-15091840.844063874,211012,15462871.0
1763,503.0,137,1.6176458783601078e-10,8,0.02,0.05,-15072903.688054938,243204,15454556.0
1764,254.0,147,1.8630637310668163e-10,9,0.02,0.05,-7602875.732061688,259460,13418756.0
1765,378.5,160,1.674766575421316e-10,10,0.02,0.05,-11276186.393159186,283684,14927453.0
1768,503.0625,178,1.6169504624130582e-10,11,0.02,0.05,-15081039.629665,315880,15461204.0
1766,130.375,183,2.4499421935608723e-10,12,0.02,0.05,-3847192.286003875,324224,10204322.0
1764,259.0625,193,1.8736780182937451e-10,13,0.02,0.05,-7685178.58715175,340804,13342740.0
1766,439.5625,208,1.626968004764251e-10,14,0.02,0.05,-13219859.419220937,368936,15366005.0
1765,502.9375,227,1.6172177486062367e-10,15,0.02,0.05,-15069377.605792813,401124,15458647.0
1761,255.4375,237,1.8691388714575652e-10,16,0.02,0.05,-7625004.361557812,417472,13375143.0
1760,252.9375,246,1.8636821252915325e-10,17,0.02,0.05,-7596384.459768375,433660,13414304.0
1760,316.625,257,1.7410799191264204e-10,18,0.02,0.05,-9466788.546752501,453924,14358904.0
1760,377.875,271,1.6665439861451858e-10,19,0.02,0.05,-11345514.6488655,478108,15001103.0
1762,253.4375,280,1.8612190955114016e-10,20,0.02,0.05,-7606768.433723187,494328,13432057.0
1762,65.8125,282,3.3370234353569117e-10,21,0.02,0.05,-1963500.04934875,498540,7491706.5
