time/episodes,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
4,100,824,0,-116798.25566550001,13.0,,,,,,
8,160,275,0,-160864.09229825,15.125,-0.04130067676305771,0.9959986805915833,0.001,393890496.0,14,0.5812143087387085
12,340,174,1,-293807.4371824167,20.25,-0.24966837465763092,0.9810141324996948,0.001,492373568.0,59,10.658051490783691
16,440,161,2,-338375.39212949993,22.3125,-0.35885685682296753,0.9731625914573669,0.001,413524480.0,84,14.480902671813965
20,1052,148,7,-620304.7675923,34.35,0.31132930517196655,0.9791675806045532,0.001,512644224.0,237,-541.885986328125
24,1144,148,7,-874768.4696039999,44.75,0.24471169710159302,0.9880709648132324,0.001,560635200.0,260,-741.3291015625
28,1332,146,9,-874184.8742901428,43.57142857142857,-0.11958776414394379,1.0080838203430176,0.001,550147328.0,307,-875.0780639648438
32,1368,146,9,-865597.1611773437,42.53125,-0.165159672498703,1.0119696855545044,0.001,712540160.0,316,-955.2039184570312
36,1944,143,13,-975741.6366125556,47.27777777777778,-1.8236029148101807,1.0820797681808472,0.001,586935936.0,460,-905.563720703125
40,2048,143,14,-1024170.4427945999,49.25,-1.8244202136993408,1.0939621925354004,0.001,609553792.0,486,-976.4282836914062
44,2164,143,15,-998144.2754223999,47.91111111111111,-2.354546546936035,1.108319640159607,0.001,618758592.0,515,-1001.41845703125
48,2188,142,15,-941766.2670918334,45.270833333333336,-2.4934425354003906,1.111230731010437,0.001,526661600.0,521,-960.28466796875
52,2232,141,15,-878354.8361007693,42.73076923076923,-2.6715989112854004,1.117124080657959,0.001,641165120.0,532,-942.8397216796875
56,2280,141,16,-823278.5118774641,40.464285714285715,-3.012678623199463,1.1231273412704468,0.001,533547808.0,544,-924.2501220703125
60,2344,139,16,-776618.0923246666,38.81666666666667,-3.2373595237731934,1.1308789253234863,0.001,561211520.0,560,-1050.4326171875
64,2432,139,17,-738719.0228877969,37.5,-3.389720916748047,1.141899585723877,0.001,648400960.0,582,-947.5872802734375
68,2540,139,18,-704799.6537100147,36.544117647058826,-3.2545223236083984,1.155769944190979,0.001,496088736.0,609,-900.986083984375
72,2608,138,18,-676399.3913511111,35.44444444444444,-3.8663153648376465,1.164720058441162,0.001,533042496.0,626,-892.5714111328125
76,2688,137,19,-650294.3716377501,34.578947368421055,-3.714169979095459,1.1751827001571655,0.001,608235008.0,646,-842.0955810546875
80,3580,133,26,-701338.5819313125,36.6125,-7.161214828491211,1.2917934656143188,0.001,434239552.0,869,-499.3679504394531
84,3764,133,28,-751213.344183,38.095238095238095,-7.76983642578125,1.31656014919281,0.001,420247616.0,915,-522.18798828125
88,5388,136,39,-959723.5950330681,47.18181818181818,-14.849311828613281,1.574533462524414,0.001,379801376.0,1321,-597.9031372070312
92,6796,139,48,-1238434.454355739,56.72826086956522,-21.976377487182617,1.8183590173721313,0.001,301552128.0,1673,631.348388671875
96,6880,139,49,-1190952.5766355626,54.583333333333336,-22.545757293701172,1.834765076637268,0.001,289741568.0,1694,-560.4786987304688
100,8964,136,65,-1888900.5996435496,79.11,-36.795188903808594,2.302100419998169,0.001,103634320.0,2215,-147.47622680664062
104,9340,136,68,-1893101.1703071701,79.53,-36.96300506591797,2.3976473808288574,0.001,131961296.0,2309,2823.381103515625
108,10372,134,77,-2034535.90209332,86.36,-40.977291107177734,2.6738405227661133,0.001,85325992.0,2567,-883.13720703125
112,10636,134,79,-2224434.41909036,94.28,-41.562232971191406,2.746856451034546,0.001,76762256.0,2633,-1049.383056640625
116,10880,133,81,-2505941.6076896302,103.71,-43.95137405395508,2.813863515853882,0.001,47005192.0,2694,330.5090637207031
120,10936,133,81,-2443393.09603667,101.16,-42.55607604980469,2.830655336380005,0.001,109282912.0,2708,2802.38671875
124,10996,133,82,-2361074.3978715,97.62,-42.25751495361328,2.8472836017608643,0.001,87931024.0,2723,1034.5723876953125
128,11104,133,83,-2330501.86751564,96.71,-42.52897644042969,2.876945734024048,0.001,64736856.0,2750,268.9317932128906
132,11172,133,83,-2303040.1222478203,95.64,-42.26197052001953,2.8966524600982666,0.001,67416752.0,2767,-398.8584289550781
136,11348,133,85,-2232734.34890765,92.68,-43.623252868652344,2.9429054260253906,0.001,69611504.0,2811,1504.331787109375
140,11520,132,86,-2195104.24505139,92.74,-45.3701171875,2.9929158687591553,0.001,25996332.0,2854,1532.6119384765625
144,11604,132,87,-2160688.2674079197,91.33,-44.26316833496094,3.0166587829589844,0.001,137916624.0,2875,1628.196533203125
148,11736,132,88,-2160768.9002770097,91.47,-44.57270050048828,3.0538442134857178,0.001,91286560.0,2908,2670.981689453125
152,12040,132,90,-2161304.1213491797,91.74,-43.10511779785156,3.137974739074707,0.001,119509792.0,2984,3284.94384765625
156,12352,132,93,-2185921.06372807,93.78,-44.56812286376953,3.2242467403411865,0.001,88898928.0,3062,5083.8671875
160,12592,131,95,-2189189.73833171,94.45,-44.12321472167969,3.291262149810791,0.001,87225568.0,3122,3225.3447265625
164,12716,131,96,-2187389.9105478902,94.27,-45.428993225097656,3.3255457878112793,0.001,86227552.0,3153,5498.81982421875
168,12872,131,97,-2260454.42134166,97.84,-46.39216995239258,3.3713018894195557,0.001,77905488.0,3192,5528.359375
172,13232,131,100,-2253959.6933544804,98.07,-47.961238861083984,3.4789230823516846,0.001,85631688.0,3282,4335.767578125
176,13440,131,102,-2285916.16912944,100.09,-46.95234680175781,3.5444862842559814,0.001,124650944.0,3334,6582.296875
180,14152,132,107,-2267802.33171496,100.96,-48.86476135253906,3.771725654602051,0.001,55779496.0,3512,3782.923583984375
184,14296,132,108,-2258974.7817431903,101.02,-46.33868408203125,3.81788969039917,0.001,53992104.0,3548,4148.54638671875
188,14504,132,109,-2050626.6980586902,92.02,-48.040283203125,3.8830044269561768,0.001,73309968.0,3600,6668.9296875
192,14588,132,110,-1780549.5408985699,82.72,-47.46943283081055,3.9099884033203125,0.001,48072696.0,3621,5045.0693359375
196,14636,132,110,-2035031.8456854299,92.84,-48.009063720703125,3.925429344177246,0.001,64082112.0,3633,4721.9931640625
200,14700,132,111,-1293345.64280068,66.46,-47.84455490112305,3.9485599994659424,0.001,151824832.0,3649,6329.13720703125
204,14784,132,111,-1314199.7656057298,67.5,-47.84150695800781,3.9754786491394043,0.001,60950904.0,3670,5695.97900390625
208,14896,132,112,-1168358.76868783,60.82,-46.3630256652832,4.009809970855713,0.001,46144184.0,3698,3291.02880859375
212,15072,132,114,-960264.1633709301,53.22,-46.96376037597656,4.066929340362549,0.001,48595400.0,3742,6625.33154296875
216,15136,132,114,-662262.9044133201,43.68,-48.538475036621094,4.085954189300537,0.001,74231560.0,3758,4029.208984375
220,15228,131,115,-661265.5325119001,43.96,-51.021392822265625,4.116998195648193,0.001,39366428.0,3781,2283.627685546875
224,15268,131,115,-661498.2256154001,44.08,-52.62224578857422,4.128900527954102,0.001,93703424.0,3791,1678.9552001953125
228,15300,131,116,-660951.2877502601,43.79,-49.84349060058594,4.140937328338623,0.001,54056548.0,3799,2781.987060546875
232,15336,131,116,-659739.0278255701,43.77,-51.508934020996094,4.153047561645508,0.001,22481700.0,3808,2136.33740234375
236,15580,131,118,-671302.3324717002,44.83,-48.638946533203125,4.233861446380615,0.001,21870806.0,3869,3808.764892578125
240,15704,131,119,-660597.48012256,43.56,-48.936710357666016,4.27439546585083,0.001,56847628.0,3900,4272.673828125
244,15832,131,120,-676625.14023276,45.07,-49.962135314941406,4.319516181945801,0.001,35800436.0,3932,6705.14453125
248,15884,131,120,-677071.3743609202,45.4,-48.54094314575195,4.336030006408691,0.001,56582296.0,3945,7237.1806640625
252,15940,131,121,-675682.9720287301,45.12,-48.84894561767578,4.356551170349121,0.001,40697904.0,3959,6296.45654296875
256,16076,131,122,-650435.4790693001,43.34,-47.047813415527344,4.401075839996338,0.001,71445184.0,3993,6184.48681640625
260,16276,131,123,-662930.8016811501,43.99,-46.87299728393555,4.468937397003174,0.001,49544852.0,4043,7878.591796875
264,16356,131,124,-667655.05329017,44.53,-47.60565185546875,4.496671199798584,0.001,91411776.0,4063,8541.681640625
268,16468,131,125,-599310.5964377901,41.71,-46.16960144042969,4.53246545791626,0.001,79216992.0,4091,6191.05419921875
272,16592,131,126,-601624.3691562901,41.47,-48.083251953125,4.572001934051514,0.001,53976464.0,4122,8321.330078125
276,16756,131,127,-566237.53806501,39.78,-49.01301574707031,4.6280341148376465,0.001,59096504.0,4163,7226.876953125
280,16948,131,128,-540891.28199262,37.76,-47.96992492675781,4.69395112991333,0.001,84060112.0,4211,5928.6279296875
284,17008,131,129,-487123.87220403,36.83,-48.00719451904297,4.71457052230835,0.001,35049936.0,4226,5642.34912109375
288,17084,131,129,-486624.9058160901,36.92,-48.37885665893555,4.739230632781982,0.001,86742976.0,4245,7401.74609375
292,17256,131,131,-466877.7573608902,36.22,-47.144500732421875,4.80116605758667,0.001,35616844.0,4288,6372.501953125
296,17492,131,132,-211564.08708849002,27.46,-48.168479919433594,4.879546642303467,0.001,45499396.0,4347,9577.93359375
300,17556,131,133,-232142.90044596003,29.78,-47.35857391357422,4.904428958892822,0.001,54057396.0,4363,8563.1015625
304,17636,131,134,-205760.50071521,28.25,-46.95219421386719,4.929440975189209,0.001,73977072.0,4383,8425.9306640625
308,17688,131,134,-206051.06903324998,28.25,-48.4382209777832,4.950404167175293,0.001,70867744.0,4396,10343.4755859375
312,17732,131,134,-205022.19129246,27.2,-47.67285919189453,4.963048458099365,0.001,167759360.0,4407,9508.6259765625
316,17776,131,135,-205942.36111348003,26.66,-45.81139373779297,4.979926109313965,0.001,64151492.0,4418,5915.66796875
