time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/policy_gradient_loss
8192,723,30.42,11,-212806.24053016002,1,,,,,,,,,,,
16384,418,25.36,39,-196962.99472936,2,7697957927.6,0.00078125,0.9999870657920837,0.2,10,0.0024997734,3721409024.0,-2.384185791015625e-07,-12.770404059439898,0.0003,-0.003485291948527447
24576,365,29.19,67,-204389.31098963,3,7550833786.0,1.220703125e-05,0.999762237071991,0.2,20,0.001136164,3776832256.0,0.0,-12.769308523833752,0.0003,-0.0016684221551258815
32768,345,27.29,94,-198819.91422791,4,7291927144.8,0.0,0.9995641708374023,0.2,30,0.0009614173,4205014528.0,1.1920928955078125e-07,-12.767424783110618,0.0003,-0.0014030325539351907
40960,332,25.58,123,-185618.82243692002,5,7377364175.2,0.0,0.9997100830078125,0.2,40,0.00053335034,3511860736.0,0.0,-12.767174477875233,0.0003,-0.0008037030253035482
49152,325,23.74,150,-178326.32425580002,6,7120456351.2,0.0,0.9998829364776611,0.2,50,0.00032144156,3252867328.0,1.1920928955078125e-07,-12.76865763142705,0.0003,-0.0004794323231180897
57344,322,25.88,177,-191944.21927814998,7,7076105605.2,0.0,0.9999991655349731,0.2,60,0.00030684107,3640778240.0,0.0,-12.769930465519428,0.0003,-0.0005241681927145691
65536,319,22.37,205,-167369.40180797,8,7106026340.4,0.0,1.0000377893447876,0.2,70,0.00027280833,3227118592.0,0.0,-12.770605067908765,0.0003,-0.00047607961496396454
73728,317,27.39,232,-189182.96744015004,9,7161366708.8,0.0,0.9996671676635742,0.2,80,0.00023348228,3776390144.0,1.7881393432617188e-07,-12.769170626997948,0.0003,-0.0005126382493472192
81920,315,23.23,259,-181599.30073224998,10,6919989940.0,0.0,0.9994233250617981,0.2,90,0.00037936098,3483696896.0,0.0,-12.766351982206107,0.0003,-0.0006024839909514413
90112,314,25.61,286,-196009.92618718997,11,7521634812.0,0.0,0.9994905591011047,0.2,100,0.00016625709,3300790784.0,-1.1920928955078125e-07,-12.765513941645622,0.0003,-0.0003452177596045658
98304,312,24.39,314,-178571.72279606,12,7648570082.8,0.0,0.9997342228889465,0.2,110,0.0004185557,4103232000.0,-1.1920928955078125e-07,-12.766912042349578,0.0003,-0.0007706423810304841
106496,310,24.98,342,-181237.08747725002,13,7065772730.8,0.0,0.9994765520095825,0.2,120,6.240909e-05,3404632576.0,5.960464477539063e-08,-12.766921661049128,0.0003,-0.00024227043068094644
114688,308,25.22,371,-174645.73005553,14,7085848394.4,0.0,0.9993058443069458,0.2,130,0.0005438194,3513736192.0,5.960464477539063e-08,-12.764967293292283,0.0003,-0.0007670824314118363
122880,307,27.95,399,-190663.42217501,15,6932146912.4,0.0,0.9992740750312805,0.2,140,0.0009614647,3456755200.0,0.0,-12.764008569717408,0.0003,-0.001338170427334262
131072,306,23.34,428,-179619.66417609996,16,7096040458.0,0.0,0.9990991950035095,0.2,150,0.0006724068,3872066560.0,0.0,-12.763082598894835,0.0003,-0.0009844504347711336
139264,306,25.44,455,-172128.62346154999,17,7216694699.6,0.0,0.9987468719482422,0.2,160,0.0006335747,3530509312.0,0.0,-12.760750278830528,0.0003,-0.0010402828818769194
147456,305,27.66,482,-197538.34653926,18,6722437250.4,0.0,0.9985479712486267,0.2,170,0.000899378,3181094656.0,0.0,-12.75819698125124,0.0003,-0.0012036265236019972
155648,304,23.64,511,-178903.42465095007,19,7331788324.0,0.0,0.9981507062911987,0.2,180,0.0007370642,3603116544.0,0.0,-12.75551579967141,0.0003,-0.0011230769458052236
163840,303,24.67,539,-180997.39817085996,20,7054382940.4,0.0,0.9981235861778259,0.2,190,0.00065053627,3772329984.0,0.0,-12.753548611700534,0.0003,-0.000950644839394954
172032,303,21.56,566,-166930.99760357,21,7000451764.4,0.0,0.9979851841926575,0.2,200,0.00026218558,3820461312.0,0.0,-12.752867351472378,0.0003,-0.0005230134622252081
180224,303,25.92,594,-177726.87671632002,22,7096504994.0,0.0,0.998142659664154,0.2,210,0.00036994583,3272993792.0,0.0,-12.75296733826399,0.0003,-0.0006380472099408507
188416,302,24.61,622,-173384.8149671,23,6536593447.6,0.0,0.9978662133216858,0.2,220,0.0007667047,3072209408.0,0.0,-12.752474303543568,0.0003,-0.0011435115800850326
196608,302,22.8,650,-164029.15813052998,24,6709001416.4,0.0,0.9976032972335815,0.2,230,0.0009012128,3820414208.0,0.0,-12.749956979602576,0.0003,-0.001176742648385698
204800,301,26.2,678,-181741.23639671996,25,6730948954.4,1.220703125e-05,0.997344970703125,0.2,240,0.0011710094,2762236416.0,0.0,-12.747617772966624,0.0003,-0.0015285557998140574
212992,301,25.47,705,-178259.29728285002,26,7181015402.0,0.0,0.9974431991577148,0.2,250,0.0004052085,3902963712.0,-1.1920928955078125e-07,-12.74687418267131,0.0003,-0.0006993855491600698
221184,301,24.87,732,-179398.50226412006,27,6754870639.2,0.0,0.9974760413169861,0.2,260,0.0002998997,3594042880.0,5.960464477539063e-08,-12.74748134240508,0.0003,-0.00045616447532665917
229376,301,24.01,760,-170050.12059956,28,7080626792.8,0.0,0.997344434261322,0.2,270,0.00022730055,3579763968.0,-1.1920928955078125e-07,-12.74703154489398,0.0003,-0.000442502857731597
237568,301,29.54,788,-190036.71722658994,29,6633736416.8,0.0,0.997308075428009,0.2,280,0.0006887481,3051840256.0,0.0,-12.746309908479452,0.0003,-0.0009289178226026707
245760,301,26.46,816,-174082.09337142002,30,6698912178.4,0.0,0.9970957636833191,0.2,290,0.0003881407,3611770880.0,-1.1920928955078125e-07,-12.745132400095462,0.0003,-0.0006492326287116157
253952,301,24.41,843,-175771.01402438,31,6374057732.4,0.0,0.996857225894928,0.2,300,0.00051057327,3295613952.0,1.1920928955078125e-07,-12.743130535632371,0.0003,-0.0007791133255523163
262144,301,24.65,869,-162278.70674390998,32,6961274896.0,0.0,0.9967430830001831,0.2,310,0.0005032179,3640138752.0,0.0,-12.74149888753891,0.0003,-0.0007840401336579817
270336,300,27.2,898,-175222.74385344,33,6496480953.6,0.0,0.9967265725135803,0.2,320,0.00017631185,3646069248.0,0.0,-12.740992765128613,0.0003,-0.0003559079243132146
278528,300,27.58,927,-191913.08060718997,34,6493972019.6,0.0,0.9965272545814514,0.2,330,0.00039827928,3121152256.0,0.0,-12.739938785880804,0.0003,-0.00068222238587623
286720,300,22.72,955,-160432.76413634,35,7056787124.0,0.0,0.9963557124137878,0.2,340,0.0005404892,3674207232.0,-1.1920928955078125e-07,-12.738310725241899,0.0003,-0.0008163816979504191
