time/episodes,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/n_updates,rollout/ep_len_mean,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef
4,-4.17751407623291,2932.867431640625,-101305.8674835,0.0003,0,7,18.75,380,132,-0.01024463027715683,0.9992627501487732
8,-2.7192294597625732,3777.356201171875,-121179.40632055554,0.0003,1,24,19.77777777777778,193,200,-0.08593884110450745,0.9941591024398804
12,0.7403728365898132,5288.52783203125,-130671.03247974999,0.0003,1,42,19.916666666666668,165,272,-0.1733912080526352,0.9885106086730957
16,3.713319778442383,4912.9267578125,-121902.79086725,0.0003,2,57,18.8125,153,332,-0.24619579315185547,0.9838347434997559
20,4.912030220031738,4505.7314453125,-110258.76140505001,0.0003,2,76,18.55,141,408,-0.3348691463470459,0.9779934883117676
24,3.717216730117798,4812.91162109375,-104233.35201612001,0.0003,3,89,17.08,133,460,-0.3947383165359497,0.9740472435951233
28,1.439558744430542,4133.14208984375,-110669.60253428573,0.0003,3,100,17.178571428571427,131,504,-0.4497646689414978,0.9707375764846802
32,2.229097366333008,5457.419921875,-114354.38843851516,0.0003,4,115,16.78787878787879,128,564,-0.5177373886108398,0.966255784034729
36,14.77967357635498,5958.88818359375,-115492.73336441668,0.0003,4,129,16.38888888888889,126,620,-0.5863494277000427,0.9621033072471619
40,59.38832092285156,7277.63818359375,-114139.05372910001,0.0003,5,154,17.05,124,720,-0.6971274614334106,0.9547539949417114
44,126.58401489257812,4797.3203125,-113983.95777252274,0.0003,6,169,17.113636363636363,123,780,-0.762141227722168,0.9503933787345886
48,198.07362365722656,3582.50390625,-115117.23241939583,0.0003,6,182,16.645833333333332,123,832,-0.8239260911941528,0.9466566443443298
52,331.28271484375,5018.0947265625,-114846.60842569232,0.0003,7,197,16.01923076923077,121,892,-0.8660343885421753,0.9424086809158325
56,540.8145751953125,4784.48193359375,-117173.03720528573,0.0003,7,211,16.303571428571427,121,948,-0.8635827302932739,0.9385590553283691
60,716.2088623046875,5808.947265625,-119768.65480146669,0.0003,8,220,16.0,120,984,-0.8609415292739868,0.9361912608146667
64,1149.5372314453125,4597.62939453125,-120774.8947698125,0.0003,8,236,15.515625,121,1048,-0.7780400514602661,0.9322273135185242
68,1577.8106689453125,4188.25732421875,-120499.05764482352,0.0003,9,249,15.102941176470589,121,1100,-0.8480366468429565,0.9292564392089844
72,2456.6181640625,6902.287109375,-118722.3531716111,0.0003,9,273,14.73611111111111,120,1196,-0.9143574237823486,0.9239245057106018
76,3113.10888671875,5049.2001953125,-135698.06429972724,0.0003,10,288,15.402597402597403,120,1256,-1.0495880842208862,0.9204890131950378
80,3450.9501953125,5256.20556640625,-134046.8690910875,0.0003,10,296,15.0875,119,1288,-0.9750717282295227,0.9186176657676697
84,4700.7880859375,5658.2470703125,-149463.84188238092,0.0003,12,339,15.595238095238095,121,1460,-0.9429149627685547,0.9087821841239929
88,7069.52294921875,5227.13427734375,-201371.33726881817,0.0003,13,385,17.875,121,1644,-0.8183596134185791,0.8995413780212402
92,7409.068359375,5731.2060546875,-209418.7394231739,0.0003,13,390,17.83695652173913,120,1664,-0.7167081832885742,0.8986343145370483
96,7740.9755859375,4764.18896484375,-204757.1995813021,0.0003,14,396,17.239583333333332,119,1688,-0.5765265822410583,0.8976439833641052
100,8240.89453125,5400.16357421875,-200233.45241404002,0.0003,14,402,16.67,119,1712,-0.5764379501342773,0.8967728614807129
104,8741.9453125,5362.7646484375,-199913.17622641,0.0003,14,409,16.05,119,1740,-0.4873623847961426,0.8958809971809387
108,9031.296875,4480.626953125,-198058.46101032,0.0003,14,416,15.24,118,1768,-0.46021825075149536,0.8951190114021301
112,9431.99609375,6799.50732421875,-203837.85701116998,0.0003,15,421,14.97,118,1788,-0.4342133700847626,0.894629180431366
116,14479.5537109375,5132.8857421875,-251398.29154503002,0.0003,17,492,16.29,117,2072,-0.7541043162345886,0.8872630596160889
120,14904.373046875,5258.33251953125,-289197.13997156,0.0003,17,496,17.05,117,2088,-0.7447249889373779,0.8867126107215881
124,15068.630859375,5734.6123046875,-290345.95131337,0.0003,17,499,16.74,117,2100,-0.8309306502342224,0.8862922191619873
128,15405.517578125,5616.36181640625,-288977.82963732,0.0003,18,505,16.24,116,2124,-0.6615704894065857,0.8854559063911438
132,19289.828125,5634.47412109375,-329565.03107009997,0.0003,20,560,17.16,116,2344,0.19520926475524902,0.8830994963645935
136,19482.294921875,5588.49755859375,-329145.36892699,0.0003,20,563,16.99,116,2356,0.12522387504577637,0.8831707835197449
140,20133.51171875,6014.015625,-329170.36220693,0.0003,20,569,16.24,116,2380,0.10295528918504715,0.8833317756652832
144,20559.60546875,5376.17236328125,-346704.1475449101,0.0003,20,574,16.4,115,2400,0.2584022879600525,0.883480966091156
148,20756.083984375,5469.9140625,-346119.1549561501,0.0003,20,579,16.14,115,2420,0.3226076364517212,0.8836842775344849
152,20992.94140625,7921.81591796875,-346165.8492805201,0.0003,21,584,16.0,115,2440,0.4385516047477722,0.8839475512504578
156,21167.31640625,6045.5029296875,-344781.10031579994,0.0003,21,589,15.4,115,2460,0.46474599838256836,0.8842716217041016
160,21409.1796875,5984.67578125,-343034.60057137,0.0003,21,594,15.13,114,2480,0.37164855003356934,0.8846554756164551
164,21555.77734375,5481.14599609375,-342457.94349999004,0.0003,21,600,15.02,114,2504,0.4920947253704071,0.8851597905158997
168,21901.552734375,7145.02001953125,-342231.9758635699,0.0003,22,605,14.88,114,2524,0.5006364583969116,0.8856300711631775
172,22014.86328125,6471.81201171875,-343180.57883585006,0.0003,22,610,14.74,113,2544,0.5981602072715759,0.886124312877655
176,22309.609375,5854.4091796875,-332033.4577491,0.0003,22,615,14.01,113,2564,0.46811020374298096,0.8866516947746277
180,22750.12109375,5510.02783203125,-330747.79881745996,0.0003,22,620,13.7,113,2584,0.500429630279541,0.8871791958808899
184,22949.888671875,5895.75732421875,-316803.49960862997,0.0003,23,625,12.87,113,2604,0.3958999514579773,0.8876973390579224
188,23370.814453125,6049.595703125,-269487.46287052997,0.0003,23,630,10.44,112,2624,0.4817952513694763,0.8881956934928894
192,23696.49609375,7548.56689453125,-258286.98533280005,0.0003,23,635,9.96,112,2644,0.4500752091407776,0.8886870741844177
196,24152.0703125,6914.84326171875,-258565.55061733,0.0003,23,644,10.02,112,2680,0.46565157175064087,0.8895823359489441
200,24800.427734375,7045.88916015625,-258970.57997499,0.0003,24,654,10.1,112,2720,0.5823008418083191,0.8906649351119995
204,24952.31640625,6812.19970703125,-259132.32954339005,0.0003,24,664,10.17,112,2760,0.5376499891281128,0.8919483423233032
208,26000.802734375,6293.240234375,-259296.48207335,0.0003,24,674,10.24,112,2800,0.7133573889732361,0.8934512734413147
212,26708.314453125,6843.38525390625,-251334.61818463,0.0003,25,684,10.01,112,2840,0.7914258241653442,0.8951438665390015
216,27304.826171875,6570.81591796875,-203796.71260756004,0.0003,25,694,8.27,111,2880,0.6586267352104187,0.8969332575798035
220,28106.80859375,6831.9462890625,-186574.91891583003,0.0003,26,704,7.7,111,2920,0.6698172688484192,0.8987225294113159
224,28809.46875,7143.39453125,-166905.23963693,0.0003,26,714,7.04,111,2960,0.49333828687667847,0.9004582762718201
228,30630.158203125,7784.62548828125,-166264.84080822,0.0003,27,733,7.12,112,3036,0.24127249419689178,0.9032557606697083
232,33277.64453125,6664.81591796875,-138537.18096494,0.0003,28,766,6.25,112,3168,-0.14001959562301636,0.9042838215827942
236,48634.5390625,7079.8330078125,-284790.77707339,0.0003,33,925,11.52,114,3804,-0.03812471032142639,0.9236694574356079
240,49560.1171875,6691.498046875,-395012.37773025,0.0003,33,934,15.25,114,3840,-0.13007217645645142,0.9238250851631165
244,50008.12890625,6904.1591796875,-381879.66643085005,0.0003,33,940,14.69,114,3864,-0.09810496866703033,0.9237406253814697
248,64641.59375,6587.498046875,-427515.45143108995,0.0003,38,1095,16.16,115,4484,0.29301661252975464,0.9658498167991638
252,66422.59375,6904.92431640625,-573101.1743137899,0.0003,39,1110,21.01,115,4544,0.1627081334590912,0.9703050851821899
256,66665.8515625,6602.91162109375,-572704.4945922801,0.0003,39,1114,20.99,115,4560,0.1821593940258026,0.9712623357772827
260,67025.296875,7005.521484375,-572002.8761633099,0.0003,39,1117,20.95,115,4572,0.14134161174297333,0.9719600081443787
264,66630.3828125,6647.04345703125,-570622.58808978,0.0003,39,1120,20.85,114,4584,0.16512149572372437,0.9726310968399048
268,67265.5,7333.3896484375,-569663.9569031099,0.0003,40,1123,20.77,114,4596,0.17384593188762665,0.9733035564422607
272,67456.0234375,6759.56982421875,-568662.0701820799,0.0003,40,1126,20.69,114,4608,0.12580139935016632,0.9739784598350525
276,67433.53125,6655.65673828125,-567295.468643,0.0003,40,1129,20.59,114,4620,0.09447024017572403,0.9746120572090149
280,67974.7109375,7122.13818359375,-566305.44316838,0.0003,40,1132,20.51,114,4632,0.09106449782848358,0.975186288356781
284,68371.9765625,6951.50830078125,-565473.41824302,0.0003,40,1135,20.43,114,4644,0.08582153916358948,0.9757127165794373
288,68350.203125,6945.52978515625,-564693.41652697,0.0003,40,1138,20.35,114,4656,0.056058503687381744,0.9761940836906433
292,68684.4453125,6947.01513671875,-563988.8634043899,0.0003,40,1142,20.28,114,4672,0.07324497401714325,0.9767498970031738
296,68644.375,7359.3896484375,-563177.35475546,0.0003,41,1146,20.19,114,4688,0.08716382086277008,0.9772720336914062
300,69120.984375,6556.92578125,-562879.96928651,0.0003,41,1150,20.17,114,4704,0.09420399367809296,0.977823793888092
304,69970.0,7303.12353515625,-562701.8591859201,0.0003,41,1155,20.15,113,4724,0.10135518014431,0.9785379767417908
308,70658.046875,7013.5947265625,-563146.6940074299,0.0003,41,1161,20.19,113,4748,0.0841812938451767,0.9794475436210632
312,71562.171875,7350.56005859375,-563080.3295090301,0.0003,42,1174,20.18,113,4800,0.10638792812824249,0.9816288352012634
316,76384.921875,6701.0888671875,-607366.2599742099,0.0003,43,1224,21.77,113,5000,0.04335203021764755,0.994289755821228
320,76763.328125,6796.07861328125,-624249.1548886101,0.0003,44,1227,22.31,113,5012,0.03422039747238159,0.9951679706573486
324,76693.25,7510.904296875,-624128.63168742,0.0003,44,1230,22.23,113,5024,0.030229277908802032,0.9960291385650635
328,77104.84375,7247.98291015625,-624011.4022587598,0.0003,44,1233,22.15,113,5036,0.022579878568649292,0.9968830943107605
332,77021.0,6704.8388671875,-622333.8531371399,0.0003,44,1236,21.94,113,5048,0.018503980711102486,0.9977238178253174
336,77261.0625,7019.93359375,-462170.32443688007,0.0003,44,1239,16.15,113,5060,0.011570721864700317,0.9985690712928772
340,77269.9375,6756.8974609375,-351568.82739201,0.0003,44,1242,12.37,113,5072,0.004081358201801777,0.9994221925735474
344,77849.4609375,7613.541015625,-346391.8836193,0.0003,44,1245,12.18,113,5084,-0.002005890477448702,1.0002628564834595
348,78027.3046875,6666.345703125,-299958.15230814996,0.0003,45,1248,10.63,112,5096,-0.00893748365342617,1.001104712486267
352,77810.71875,6626.595703125,-156320.71252076,0.0003,45,1251,5.8,112,5108,-0.013918437063694,1.0019564628601074
356,78047.9375,6800.82470703125,-153199.92520020998,0.0003,45,1254,5.64,112,5120,-0.019274156540632248,1.00279700756073
360,78656.109375,6661.4443359375,-153126.35802888,0.0003,45,1257,5.6,112,5132,-0.0264027900993824,1.0036321878433228
364,78676.03125,6948.33251953125,-153370.12265725998,0.0003,45,1260,5.6,112,5144,-0.02816283330321312,1.0044610500335693
368,79486.953125,7591.142578125,-153634.74924507,0.0003,45,1263,5.6,112,5156,-0.0383487343788147,1.0052661895751953
372,79129.390625,6649.47021484375,-153868.11062908,0.0003,45,1266,5.6,112,5168,-0.03901670128107071,1.0060713291168213
376,79740.0390625,6716.2861328125,-154178.73698318,0.0003,46,1269,5.61,112,5180,-0.03773093968629837,1.0068607330322266
380,80385.203125,6989.916015625,-154420.60298945,0.0003,46,1273,5.61,112,5196,-0.04987994581460953,1.007850170135498
384,80523.015625,6744.5849609375,-154737.74829783998,0.0003,46,1279,5.63,112,5220,-0.05186016485095024,1.00925612449646
388,80962.5,6981.732421875,-155744.27557161,0.0003,46,1287,5.7,112,5252,-0.07431486248970032,1.0110981464385986
392,82750.1640625,7122.80322265625,-157321.92213113,0.0003,47,1299,5.78,112,5300,-0.12034846842288971,1.0142498016357422
396,104748.796875,6618.32861328125,-227547.07220803,0.0003,54,1517,8.13,114,6172,-1.084368348121643,1.1047656536102295
400,104664.25,6729.83837890625,-363581.47216083994,0.0003,54,1524,12.73,114,6200,-1.116660714149475,1.1076953411102295
404,105182.859375,6805.47314453125,-432027.64364174,0.0003,54,1529,14.96,114,6220,-1.0161675214767456,1.1097289323806763
408,105582.9765625,7132.26904296875,-431341.69097069994,0.0003,54,1532,14.86,114,6232,-0.925109326839447,1.1109057664871216
412,106376.921875,6460.74365234375,-431305.98222732,0.0003,54,1538,14.81,114,6256,-0.8284281492233276,1.113134503364563
416,112183.4765625,6843.21337890625,-419106.64367873996,0.0003,57,1602,14.44,113,6512,-1.0680904388427734,1.1316322088241577
420,113407.5625,7529.73828125,-401905.56680782005,0.0003,57,1608,13.82,113,6536,-1.1346114873886108,1.1335505247116089
424,112949.96875,7249.67724609375,-401743.65303723,0.0003,57,1614,13.82,113,6560,-1.284454345703125,1.135603904724121
428,114775.5703125,6851.486328125,-401691.64193499,0.0003,57,1620,13.82,113,6584,-1.3885983228683472,1.1378042697906494
432,113618.203125,6950.90234375,-401647.62363293,0.0003,58,1626,13.82,113,6608,-1.622051477432251,1.140168309211731
436,113939.390625,6968.2373046875,-401669.46090326994,0.0003,58,1632,13.82,113,6632,-1.7436264753341675,1.1427645683288574
