rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/kl_divergence_loss,train/std,train/is_line_search_success,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/policy_objective
-195026.64923720996,27.29,12,8192,676,1,,,,,,,,
-186159.13255126998,27.23,26,16384,612,2,0.005652229767292738,0.9995140433311462,1.0,4.172325134277344e-07,6875412691.2,1,0.001,0.05659277364611626
-172261.67155381,24.95,42,24576,580,3,0.006470625754445791,0.996271550655365,1.0,0.0,7180317320.0,2,0.001,0.035807542502880096
-156015.51576491998,20.88,57,32768,569,4,0.004690953530371189,1.0009962320327759,1.0,0.0,6376702148.8,3,0.001,0.031264808028936386
-145990.64110727,21.33,72,40960,562,5,0.006894097663462162,0.9852218627929688,1.0,0.0,5978411114.4,4,0.001,0.042747143656015396
-147286.71433976002,22.86,88,49152,556,6,0.004984861705452204,0.9741929173469543,1.0,5.960464477539063e-08,5522738368.0,5,0.001,0.034705545753240585
-144139.46290089,23.8,103,57344,552,7,0.0059357392601668835,0.9764599204063416,1.0,0.0,5271911346.4,6,0.001,0.04069367051124573
-130953.63959782,21.04,119,65536,548,8,0.005899456795305014,0.9665024280548096,1.0,-1.1920928955078125e-07,5329353204.0,7,0.001,0.03748884052038193
-128620.09514346001,23.18,134,73728,546,9,0.006220708601176739,0.9523718953132629,1.0,0.0,5132948780.8,8,0.001,0.043412819504737854
-135551.78805356,23.89,150,81920,544,10,0.0061327083967626095,0.9498424530029297,1.0,0.0,4813368625.6,9,0.001,0.04093598574399948
-133931.65586399,23.26,166,90112,542,11,0.005918683018535376,0.9508481621742249,1.0,5.960464477539063e-08,4669899173.6,10,0.001,0.03905440494418144
-136145.93907542003,24.94,181,98304,540,12,0.006716778967529535,0.9456668496131897,1.0,0.0,4814286671.6,11,0.001,0.0413031131029129
-138488.47662224,29.77,197,106496,537,13,0.006977051496505737,0.9352973103523254,1.0,0.0,4506380691.6,12,0.001,0.04898896813392639
-138431.25273612005,30.68,215,114688,532,14,0.007289499044418335,0.9231303334236145,1.0,0.0,4410108736.4,13,0.001,0.04873054474592209
-127987.80240963999,32.02,231,122880,530,15,0.006327735260128975,0.9206458330154419,1.0,0.0,4144474286.0,14,0.001,0.046226032078266144
-109203.88350308,29.9,248,131072,527,16,0.005885919090360403,0.9179047346115112,1.0,0.0,3862043336.8,15,0.001,0.04525334760546684
-120561.65400236,27.03,265,139264,524,17,0.00642098393291235,0.9257605671882629,1.0,0.0,3894617870.8,16,0.001,0.03892267122864723
-126067.04805268001,30.0,283,147456,520,18,0.006799096241593361,0.9203368425369263,1.0,0.0,3788668852.8,17,0.001,0.04487213119864464
-112917.58788355,28.98,299,155648,519,19,0.006573450285941362,0.9036182761192322,1.0,0.0,3841550298.0,18,0.001,0.0458332896232605
-113722.39645616,32.05,316,163840,518,20,0.006781844422221184,0.8904460072517395,1.0,1.7881393432617188e-07,3684201091.2,19,0.001,0.04770943522453308
-101290.84844561,33.81,333,172032,515,21,0.007804407738149166,0.8874543309211731,1.0,0.0,3630408104.8,20,0.001,0.046897754073143005
-110700.94276350003,33.81,350,180224,514,22,0.006787160411477089,0.8820425868034363,1.0,0.0,3132895020.4,21,0.001,0.0386853963136673
-70453.52727652,37.29,367,188416,513,23,0.009315822273492813,0.8651412129402161,1.0,0.0,3126382206.4,22,0.001,0.04929419979453087
-66028.84421377,39.67,383,196608,512,24,0.0076716989278793335,0.8600417971611023,1.0,0.0,2778388563.2,23,0.001,0.05244555324316025
-63474.09392318,43.76,400,204800,510,25,0.007842647843062878,0.8558207750320435,1.0,0.0,2768553811.2,24,0.001,0.04830547422170639
-40019.07381504,41.87,417,212992,509,26,0.007572098635137081,0.8509592413902283,1.0,0.0,2360928517.8,25,0.001,0.04617913067340851
-20015.98929048,39.57,434,221184,508,27,0.007741326466202736,0.8446387648582458,1.0,0.0,2291999432.2,26,0.001,0.04834926128387451
-2315.2077602099976,40.53,452,229376,507,28,0.008020611479878426,0.8461663722991943,1.0,0.0,2310451055.2,27,0.001,0.04756183922290802
-6568.890296270003,37.28,469,237568,506,29,0.007607334293425083,0.8441299796104431,1.0,0.0,2164043396.4,28,0.001,0.04106039181351662
7903.828616710002,40.57,486,245760,505,30,0.008299125358462334,0.8344972133636475,1.0,0.008600175380706787,2188070634.0,29,0.001,0.0495590940117836
24608.426931179998,36.53,502,253952,504,31,0.008488225750625134,0.8259588479995728,1.0,0.003319859504699707,2313476930.0,30,0.001,0.04681123048067093
35561.60469025,33.73,519,262144,504,32,0.007128874305635691,0.8140747547149658,1.0,0.008829712867736816,2187589871.6,31,0.001,0.03919606655836105
55430.31977377,32.43,535,270336,505,33,0.008372955955564976,0.8049976229667664,1.0,0.007933259010314941,2250394247.6,32,0.001,0.051946837455034256
63034.6708729,31.12,551,278528,505,34,0.007809236645698547,0.7953951954841614,1.0,0.0007038116455078125,2122772398.2,33,0.001,0.040098562836647034
83482.95258697,30.56,566,286720,506,35,0.00844329223036766,0.7801877856254578,1.0,7.331371307373047e-06,2266151524.2,34,0.001,0.046678729355335236
73510.44659995,27.26,583,294912,505,36,0.00888123456388712,0.775917112827301,1.0,2.5033950805664062e-06,2208590899.6,35,0.001,0.050958290696144104
81922.47239165,27.82,600,303104,504,37,0.008097987622022629,0.7713708877563477,1.0,1.7881393432617188e-06,2622229431.2,36,0.001,0.044674403965473175
93667.05391463998,24.99,615,311296,505,38,0.00943689327687025,0.7680900692939758,1.0,6.556510925292969e-07,2665078057.0,37,0.001,0.04957147315144539
87901.43750244999,28.23,630,319488,506,39,0.009868978522717953,0.7641019225120544,1.0,1.7881393432617188e-07,3223644962.8,38,0.001,0.04572048783302307
98529.85571518,24.85,647,327680,506,40,0.007961106486618519,0.7588792443275452,1.0,3.5762786865234375e-07,2727834048.4,39,0.001,0.04885147139430046
101226.59698073,23.43,663,335872,506,41,0.008314098231494427,0.7487694621086121,1.0,1.1920928955078125e-07,3245525466.4,40,0.001,0.041907019913196564
107872.29759962,22.46,678,344064,507,42,0.008074173703789711,0.7414045333862305,1.0,5.960464477539063e-08,3633167628.4,41,0.001,0.04798465222120285
113348.05059664,20.71,694,352256,507,43,0.00876370258629322,0.7393498420715332,1.0,5.960464477539063e-08,3504399502.8,42,0.001,0.04585345834493637
115077.87862994001,21.06,709,360448,508,44,0.0087282694876194,0.7366830110549927,1.0,0.0,3975966737.6,43,0.001,0.03701285272836685
118105.3,20.76,725,368640,507,45,0.008275973610579967,0.7337890863418579,1.0,0.0,3924887134.8,44,0.001,0.04893715679645538
106804.3859129,20.13,742,376832,507,46,0.008937259204685688,0.7314838767051697,1.0,0.0,4272784613.2,45,0.001,0.0391562394797802
113935.7,21.58,758,385024,507,47,0.009021539241075516,0.7235767841339111,1.0,0.0,4752468994.0,46,0.001,0.046830810606479645
112257.97450349001,20.64,774,393216,507,48,0.007855498231947422,0.722097635269165,1.0,5.960464477539063e-08,4386370434.0,47,0.001,0.04251129925251007
114402.16133521,20.27,791,401408,507,49,0.008319641463458538,0.7177765369415283,1.0,5.960464477539063e-08,4450540677.2,48,0.001,0.03445100039243698
121816.58993132999,18.44,810,409600,505,50,0.009121432900428772,0.7153010964393616,1.0,-1.1920928955078125e-07,4589094510.0,49,0.001,0.04448024556040764
122690.40237117,19.29,827,417792,504,51,0.008571428246796131,0.712291955947876,1.0,-1.1920928955078125e-07,4627098221.2,50,0.001,0.039638206362724304
121506.78842604998,17.55,844,425984,504,52,0.00875342357903719,0.7077943086624146,1.0,0.0,4471495472.4,51,0.001,0.03383756801486015
125698.64970067,17.04,862,434176,503,53,0.0085045350715518,0.7064790725708008,1.0,0.0,4827713585.2,52,0.001,0.045660510659217834
124217.88405496001,17.63,880,442368,502,54,0.008226278237998486,0.7034881711006165,1.0,0.0,5054207339.2,53,0.001,0.034445635974407196
126572.36563631,17.61,899,450560,501,55,0.008497606962919235,0.6978949904441833,1.0,0.0,5192278925.6,54,0.001,0.03824654966592789
127725.17477330999,16.64,914,458752,501,56,0.00909047294408083,0.6946642994880676,1.0,-1.1920928955078125e-07,5123956656.0,55,0.001,0.039691075682640076
127106.46461365,16.68,930,466944,501,57,0.009423253126442432,0.6918423771858215,1.0,1.1920928955078125e-07,5225471861.6,56,0.001,0.04090996831655502
129073.83109469,15.4,947,475136,501,58,0.008588013239204884,0.6879404187202454,1.0,0.0,5441799337.6,57,0.001,0.03865010291337967
128626.67986230999,16.25,963,483328,501,59,0.009786142036318779,0.6863636374473572,1.0,0.0,6217168998.4,58,0.001,0.038759373128414154
128146.09873169001,15.79,979,491520,501,60,0.009524461813271046,0.6839058995246887,1.0,0.0,5551440464.0,59,0.001,0.045860208570957184
130885.42598804999,15.62,995,499712,501,61,0.009553821757435799,0.6826139092445374,1.0,-2.384185791015625e-07,5650591699.2,60,0.001,0.03982166945934296
127569.45534149,15.19,1012,507904,501,62,0.008253605104982853,0.6819572448730469,1.0,-1.1920928955078125e-07,5832500010.4,61,0.001,0.04540015757083893
131102.62308749,15.13,1028,516096,501,63,0.009923172183334827,0.6795712113380432,1.0,0.0,5616083309.6,62,0.001,0.045899756252765656
131197.01803561,14.9,1045,524288,501,64,0.009083370678126812,0.6774780750274658,1.0,-1.1920928955078125e-07,5970147618.4,63,0.001,0.04612588882446289
