,algorithm,set,step,reward
0,A2C,env10,2000,-604140.0
1,A2C,env10,4000,-819565.0
2,A2C,env10,6000,-762570.0
3,A2C,env10,8000,-766682.5
4,A2C,env10,10000,-703106.0
5,A2C,env10,12000,-610256.9375
6,A2C,env10,14000,-586847.125
7,A2C,env10,16000,-565187.625
8,A2C,env10,18000,-558252.75
9,A2C,env10,20000,-511736.1875
10,A2C,env10,22000,-520584.09375
11,A2C,env10,24000,-498498.46875
12,A2C,env10,26000,-490329.625
13,A2C,env10,28000,-437663.125
14,A2C,env10,30000,-413900.5625
15,A2C,env10,32000,-405073.34375
16,A2C,env10,34000,-391219.53125
17,A2C,env10,36000,-372312.96875
18,A2C,env10,38000,-353554.3125
19,A2C,env10,40000,-339294.5625
20,A2C,env10,42000,-340537.75
21,A2C,env10,44000,-348726.0
22,A2C,env10,46000,-345141.65625
23,A2C,env10,48000,-342294.5
24,A2C,env10,50000,-332629.03125
25,A2C,env10,52000,-334627.1875
26,A2C,env10,54000,-331763.75
27,A2C,env10,56000,-330870.9375
28,A2C,env10,58000,-327043.46875
29,A2C,env10,60000,-323410.875
30,A2C,env10,62000,-328937.375
31,A2C,env10,64000,-334229.90625
32,A2C,env10,66000,-341200.40625
33,A2C,env10,68000,-337783.3125
34,A2C,env10,70000,-323956.40625
35,A2C,env10,72000,-306103.5
36,A2C,env10,74000,-309684.09375
37,A2C,env10,76000,-303984.0
38,A2C,env10,78000,-309415.1875
39,A2C,env10,80000,-295002.40625
40,A2C,env10,82000,-293827.6875
41,A2C,env10,84000,-294302.8125
42,A2C,env10,86000,-294302.8125
43,A2C,env10,88000,-303720.3125
44,A2C,env10,90000,-308053.6875
45,A2C,env10,92000,-312042.8125
46,A2C,env10,94000,-317024.90625
47,A2C,env10,96000,-329865.40625
48,A2C,env10,98000,-323924.1875
49,A2C,env10,100000,-313063.59375
50,A2C,env10,102000,-316514.5
51,A2C,env10,104000,-320783.09375
52,A2C,env10,106000,-317709.09375
53,A2C,env10,108000,-323682.1875
54,A2C,env10,110000,-321557.3125
55,A2C,env10,112000,-321557.3125
56,A2C,env10,114000,-312564.40625
57,A2C,env10,116000,-313414.0
58,A2C,env10,118000,-311687.5
59,A2C,env10,120000,-313401.3125
60,A2C,env10,122000,-310070.6875
61,A2C,env10,124000,-291554.40625
62,A2C,env10,126000,-290336.40625
63,A2C,env10,128000,-277473.1875
64,A2C,env10,130000,-285542.5
65,A2C,env10,132000,-286272.5
66,A2C,env10,134000,-286272.5
67,A2C,env10,136000,-284949.40625
68,A2C,env10,138000,-276290.6875
69,A2C,env10,140000,-263217.8125
70,A2C,env10,142000,-263193.0
71,A2C,env10,144000,-262037.703125
72,A2C,env10,146000,-256693.90625
73,A2C,env10,148000,-259416.40625
74,A2C,env10,150000,-259780.09375
75,A2C,env10,152000,-259139.703125
76,A2C,env10,154000,-264891.1875
77,A2C,env10,156000,-262267.8125
78,A2C,env10,158000,-268266.90625
79,A2C,env10,160000,-267246.8125
80,A2C,env10,162000,-257413.5
81,A2C,env10,164000,-254504.203125
82,A2C,env10,166000,-241946.40625
83,A2C,env10,168000,-241273.296875
84,A2C,env10,170000,-243723.203125
85,A2C,env10,172000,-245438.59375
86,A2C,env10,174000,-234076.203125
87,A2C,env10,176000,-235227.5
88,A2C,env10,178000,-237010.203125
89,A2C,env10,180000,-235970.796875
90,A2C,env10,182000,-239618.59375
91,A2C,env10,184000,-225741.90625
92,A2C,env10,186000,-218272.796875
93,A2C,env10,188000,-219801.296875
94,A2C,env10,190000,-221671.5
95,A2C,env10,192000,-225023.5
96,A2C,env10,194000,-226481.296875
97,A2C,env10,196000,-227449.5
98,A2C,env10,198000,-223010.796875
99,A2C,env10,200000,-213726.90625
100,A2C,env10,202000,-212482.5
101,A2C,env10,204000,-204246.5
102,A2C,env10,206000,-203035.703125
103,A2C,env10,208000,-196972.5
104,A2C,env10,210000,-197811.203125
105,A2C,env10,212000,-195019.796875
106,A2C,env10,214000,-200838.296875
107,A2C,env10,216000,-216045.296875
108,A2C,env10,218000,-207428.0
109,A2C,env10,220000,-203613.5
110,A2C,env10,222000,-201708.09375
111,A2C,env10,224000,-201379.203125
112,A2C,env10,226000,-209555.296875
113,A2C,env10,228000,-210014.59375
114,A2C,env10,230000,-209268.40625
115,A2C,env10,232000,-215003.703125
116,A2C,env10,234000,-215733.09375
117,A2C,env10,236000,-224447.40625
118,A2C,env10,238000,-226495.703125
119,A2C,env10,240000,-235690.296875
120,A2C,env10,242000,-235690.296875
121,A2C,env10,244000,-239814.59375
122,A2C,env10,246000,-239814.59375
123,A2C,env10,248000,-253636.59375
124,A2C,env10,250000,-250017.59375
125,A2C,env10,252000,-249816.703125
126,A2C,env10,254000,-246659.296875
127,A2C,env10,256000,-254279.90625
128,A2C,env10,258000,-246917.796875
129,A2C,env10,260000,-252361.0
130,A2C,env10,262000,-255486.5
131,A2C,env10,264000,-243226.40625
132,A2C,env10,266000,-249789.59375
133,A2C,env10,268000,-255208.296875
134,A2C,env10,270000,-256927.90625
135,A2C,env10,272000,-267178.1875
136,A2C,env10,274000,-274130.09375
137,A2C,env10,276000,-275741.1875
138,A2C,env10,278000,-281378.90625
139,A2C,env10,280000,-285310.90625
140,A2C,env10,282000,-289145.6875
141,A2C,env10,284000,-293369.8125
142,A2C,env10,286000,-300496.90625
143,A2C,env10,288000,-301705.59375
144,A2C,env10,290000,-297506.90625
145,A2C,env10,292000,-288789.1875
146,A2C,env10,294000,-292428.3125
147,A2C,env10,296000,-287646.59375
148,A2C,env10,298000,-286779.8125
149,A2C,env10,300000,-293256.8125
150,A2C,env10,302000,-278637.5
151,A2C,env10,304000,-274512.40625
152,A2C,env10,306000,-274120.6875
153,A2C,env10,308000,-268336.90625
154,A2C,env10,310000,-268431.3125
155,A2C,env10,312000,-267525.0
156,A2C,env10,314000,-255257.296875
157,A2C,env10,316000,-255257.296875
158,A2C,env10,318000,-276896.90625
159,A2C,env10,320000,-278053.40625
160,A2C,env10,322000,-278560.1875
161,A2C,env10,324000,-282734.40625
162,A2C,env10,326000,-278191.3125
163,A2C,env10,328000,-284423.90625
164,A2C,env10,330000,-286391.40625
165,A2C,env10,332000,-283474.5
166,A2C,env10,334000,-284320.6875
167,A2C,env10,336000,-282708.90625
168,A2C,env10,338000,-280849.59375
169,A2C,env10,340000,-280849.59375
170,A2C,env10,342000,-267275.3125
171,A2C,env10,344000,-265471.5
172,A2C,env10,346000,-264274.90625
173,A2C,env10,348000,-262153.6875
174,A2C,env10,350000,-255079.296875
175,A2C,env10,352000,-244201.40625
176,A2C,env10,354000,-241115.5
177,A2C,env10,356000,-241115.5
178,A2C,env10,358000,-242356.203125
179,A2C,env10,360000,-242356.203125
180,A2C,env10,362000,-244473.203125
181,A2C,env10,364000,-243117.90625
182,A2C,env10,366000,-242939.09375
183,A2C,env10,368000,-233675.5
184,A2C,env10,370000,-229568.59375
185,A2C,env10,372000,-225643.796875
186,A2C,env10,374000,-224966.703125
187,A2C,env10,376000,-225342.09375
188,A2C,env10,378000,-216936.703125
189,A2C,env10,380000,-216936.703125
190,A2C,env10,382000,-211771.296875
191,A2C,env10,384000,-212499.59375
192,A2C,env10,386000,-206116.59375
193,A2C,env10,388000,-200969.5
194,A2C,env10,390000,-194097.59375
195,A2C,env10,392000,-196548.296875
196,A2C,env10,394000,-189687.296875
197,A2C,env10,396000,-189687.296875
198,A2C,env10,398000,-194048.59375
199,A2C,env10,400000,-191986.09375
200,A2C,env10,402000,-186621.796875
201,A2C,env10,404000,-185731.0
202,A2C,env10,406000,-188536.90625
203,A2C,env10,408000,-189195.59375
204,A2C,env10,410000,-189907.59375
205,A2C,env10,412000,-195003.90625
206,A2C,env10,414000,-191874.59375
207,A2C,env10,416000,-192231.40625
208,A2C,env10,418000,-201231.0
209,A2C,env10,420000,-212336.09375
210,A2C,env10,422000,-211750.296875
211,A2C,env10,424000,-214872.90625
212,A2C,env10,426000,-202146.203125
213,A2C,env10,428000,-198991.296875
214,A2C,env10,430000,-208161.296875
215,A2C,env10,432000,-213519.703125
216,A2C,env10,434000,-232107.40625
217,A2C,env10,436000,-227900.796875
218,A2C,env10,438000,-228855.296875
219,A2C,env10,440000,-222259.0
220,A2C,env10,442000,-224420.5
221,A2C,env10,444000,-227879.5
222,A2C,env10,446000,-236091.203125
223,A2C,env10,448000,-232002.09375
224,A2C,env10,450000,-230342.90625
225,A2C,env10,452000,-229192.90625
226,A2C,env10,454000,-232146.09375
227,A2C,env10,456000,-229435.203125
228,A2C,env10,458000,-213311.296875
229,A2C,env10,460000,-206944.0
230,A2C,env10,462000,-207227.40625
231,A2C,env10,464000,-200787.703125
232,A2C,env10,466000,-193571.703125
233,A2C,env10,468000,-209247.796875
234,A2C,env10,470000,-216394.296875
235,A2C,env10,472000,-218656.796875
236,A2C,env10,474000,-218656.796875
237,A2C,env10,476000,-215778.90625
238,A2C,env10,478000,-214917.703125
239,A2C,env10,480000,-196028.796875
240,A2C,env10,482000,-195584.59375
241,A2C,env10,484000,-192328.203125
242,A2C,env10,486000,-194333.796875
243,A2C,env10,488000,-187209.5
244,A2C,env10,490000,-181484.703125
245,A2C,env10,492000,-184709.90625
