,algorithm,set,step,reward
0,A2C,env1,2000,-98377.3203125
1,A2C,env1,4000,-88210.2890625
2,A2C,env1,6000,-89601.7890625
3,A2C,env1,8000,-89147.1640625
4,A2C,env1,10000,-89733.875
5,A2C,env1,10000,-89733.875
6,A2C,env1,12000,-89127.453125
7,A2C,env1,14000,-89138.859375
8,A2C,env1,16000,-89050.5234375
9,A2C,env1,18000,-88968.65625
10,A2C,env1,20000,-88683.4765625
11,A2C,env1,20000,-88683.4765625
12,A2C,env1,22000,-88297.578125
13,A2C,env1,24000,-87916.84375
14,A2C,env1,26000,-88234.0625
15,A2C,env1,28000,-87825.1875
16,A2C,env1,30000,-87827.1953125
17,A2C,env1,30000,-87827.1953125
18,A2C,env1,32000,-87433.09375
19,A2C,env1,34000,-87235.640625
20,A2C,env1,36000,-87317.640625
21,A2C,env1,38000,-87309.2578125
22,A2C,env1,40000,-86213.71875
23,A2C,env1,40000,-86213.71875
24,A2C,env1,42000,-84028.8515625
25,A2C,env1,44000,-82840.3984375
26,A2C,env1,46000,-81754.2734375
27,A2C,env1,48000,-79584.4609375
28,A2C,env1,50000,-79489.5625
29,A2C,env1,50000,-79489.5625
30,A2C,env1,52000,-76322.3125
31,A2C,env1,54000,-76431.3125
32,A2C,env1,56000,-75438.5625
33,A2C,env1,58000,-75438.5625
34,A2C,env1,60000,-72075.359375
35,A2C,env1,60000,-72075.359375
36,A2C,env1,62000,-72075.359375
37,A2C,env1,64000,-67915.625
38,A2C,env1,66000,-67915.625
39,A2C,env1,68000,-64649.890625
40,A2C,env1,70000,-64551.31640625
41,A2C,env1,70000,-64551.31640625
42,A2C,env1,72000,-64552.09375
43,A2C,env1,74000,-64567.4375
44,A2C,env1,76000,-63280.44921875
45,A2C,env1,78000,-61803.49609375
46,A2C,env1,80000,-61617.3203125
47,A2C,env1,80000,-61617.3203125
48,A2C,env1,82000,-60234.5546875
49,A2C,env1,84000,-58952.60546875
50,A2C,env1,86000,-56674.5078125
51,A2C,env1,88000,-55282.5078125
52,A2C,env1,90000,-58461.4609375
53,A2C,env1,90000,-58461.4609375
54,A2C,env1,92000,-59468.0234375
55,A2C,env1,94000,-62333.14453125
56,A2C,env1,96000,-65011.5234375
57,A2C,env1,98000,-65601.6875
58,A2C,env1,100000,-73047.2890625
59,A2C,env1,100000,-73047.2890625
60,A2C,env1,102000,-75911.1796875
61,A2C,env1,104000,-73603.78125
62,A2C,env1,106000,-75862.078125
63,A2C,env1,108000,-75960.953125
64,A2C,env1,110000,-74777.78125
65,A2C,env1,110000,-74777.78125
66,A2C,env1,112000,-80632.7578125
67,A2C,env1,114000,-80926.8515625
68,A2C,env1,116000,-80811.21875
69,A2C,env1,118000,-80913.65625
70,A2C,env1,120000,-80919.359375
71,A2C,env1,120000,-80919.359375
72,A2C,env1,122000,-81310.859375
73,A2C,env1,124000,-79913.5234375
74,A2C,env1,126000,-79907.7421875
75,A2C,env1,128000,-76719.2890625
76,A2C,env1,130000,-76724.2578125
77,A2C,env1,130000,-76724.2578125
78,A2C,env1,132000,-75643.7890625
79,A2C,env1,134000,-76758.1640625
80,A2C,env1,136000,-74775.859375
81,A2C,env1,138000,-74082.1796875
82,A2C,env1,140000,-72894.9453125
83,A2C,env1,140000,-72894.9453125
84,A2C,env1,142000,-71013.9140625
85,A2C,env1,144000,-71010.8359375
86,A2C,env1,146000,-71110.1640625
87,A2C,env1,148000,-69026.53125
88,A2C,env1,150000,-68051.2734375
89,A2C,env1,150000,-68051.2734375
90,A2C,env1,152000,-65878.9609375
91,A2C,env1,154000,-63909.47265625
92,A2C,env1,156000,-61746.828125
93,A2C,env1,158000,-60569.37109375
94,A2C,env1,160000,-59383.40234375
95,A2C,env1,160000,-58394.18359375
96,A2C,env1,162000,-58390.01171875
97,A2C,env1,164000,-58089.83984375
98,A2C,env1,166000,-56188.65234375
99,A2C,env1,168000,-54993.2265625
100,A2C,env1,170000,-54801.33203125
101,A2C,env1,170000,-54801.33203125
102,A2C,env1,172000,-54909.82421875
103,A2C,env1,174000,-58009.79296875
104,A2C,env1,176000,-57913.0546875
105,A2C,env1,178000,-58807.6796875
106,A2C,env1,180000,-63261.6484375
107,A2C,env1,180000,-63261.6484375
108,A2C,env1,182000,-64156.94921875
109,A2C,env1,184000,-66731.953125
110,A2C,env1,186000,-67522.609375
111,A2C,env1,188000,-70962.1953125
112,A2C,env1,190000,-73823.9375
113,A2C,env1,190000,-73823.9375
114,A2C,env1,192000,-75707.6953125
115,A2C,env1,194000,-74522.265625
116,A2C,env1,196000,-72239.28125
117,A2C,env1,198000,-70253.9296875
118,A2C,env1,200000,-74061.9609375
119,A2C,env1,200000,-74061.9609375
120,A2C,env1,202000,-73886.9609375
121,A2C,env1,204000,-74994.734375
122,A2C,env1,206000,-73634.6875
123,A2C,env1,208000,-73735.6328125
124,A2C,env1,210000,-70566.140625
125,A2C,env1,210000,-70566.140625
126,A2C,env1,212000,-69284.765625
127,A2C,env1,214000,-67396.375
128,A2C,env1,216000,-65316.1171875
129,A2C,env1,218000,-63327.859375
130,A2C,env1,220000,-61341.45703125
131,A2C,env1,220000,-61341.45703125
132,A2C,env1,222000,-59355.078125
133,A2C,env1,224000,-57371.109375
134,A2C,env1,226000,-56393.64453125
135,A2C,env1,228000,-56207.578125
