,algorithm,set,step,reward
0,A2C,set1,500,-97745.7109375
1,A2C,set1,1000,-96471.5859375
2,A2C,set1,1500,-95711.515625
3,A2C,set1,2000,-93824.8203125
4,A2C,set1,2500,-94478.6484375
5,A2C,set1,3000,-93654.71875
6,A2C,set1,3500,-93672.6484375
7,A2C,set1,4000,-93452.9296875
8,A2C,set1,4500,-94105.9765625
9,A2C,set1,5000,-95378.46875
10,A2C,set1,5500,-95550.4921875
11,A2C,set1,6000,-95558.7578125
12,A2C,set1,6500,-95193.8984375
13,A2C,set1,7000,-95193.8984375
14,A2C,set1,7500,-95071.5078125
15,A2C,set1,8000,-94828.3359375
16,A2C,set1,8500,-94828.3359375
17,A2C,set1,9000,-94540.234375
18,A2C,set1,9500,-93938.734375
19,A2C,set1,10000,-93653.6796875
20,A2C,set1,10500,-93555.609375
21,A2C,set1,11000,-93563.5703125
22,A2C,set1,11500,-93557.984375
23,A2C,set1,12000,-94379.453125
24,A2C,set1,12500,-94191.296875
25,A2C,set1,13000,-94196.6484375
26,A2C,set1,13500,-94198.7578125
27,A2C,set1,14000,-94103.5078125
28,A2C,set1,14500,-93818.4609375
29,A2C,set1,15000,-93818.4609375
30,A2C,set1,15500,-93630.3046875
31,A2C,set1,16000,-93631.5625
32,A2C,set1,16500,-93436.25
33,A2C,set1,17000,-93020.8203125
34,A2C,set1,17500,-93020.8203125
35,A2C,set1,18000,-93025.8359375
36,A2C,set1,18500,-93025.8359375
37,A2C,set1,19000,-91834.1640625
38,A2C,set1,19500,-91413.171875
39,A2C,set1,20000,-91218.8984375
40,A2C,set1,20500,-91218.8984375
41,A2C,set1,21000,-90723.7890625
42,A2C,set1,21500,-90525.0546875
43,A2C,set1,22000,-90230.7265625
44,A2C,set1,22500,-90230.7265625
45,A2C,set1,23000,-88938.1171875
46,A2C,set1,23500,-88739.46875
47,A2C,set1,24000,-88739.46875
48,A2C,set1,24500,-87248.609375
49,A2C,set1,25000,-86243.5390625
50,A2C,set1,25500,-85646.6796875
51,A2C,set1,26000,-84951.0
52,A2C,set1,26500,-84951.0
53,A2C,set1,27000,-83255.1328125
54,A2C,set1,27500,-82353.7578125
55,A2C,set1,28000,-81549.890625
56,A2C,set1,28500,-80616.0703125
57,A2C,set1,29000,-80670.890625
58,A2C,set1,29500,-80564.15625
59,A2C,set1,30000,-79578.6015625
60,A2C,set1,30500,-78962.296875
61,A2C,set1,31000,-78040.765625
62,A2C,set1,31500,-77632.0703125
63,A2C,set1,32000,-77423.9296875
64,A2C,set1,32500,-77423.9296875
65,A2C,set1,33000,-76028.796875
66,A2C,set1,33500,-76028.796875
67,A2C,set1,34000,-75833.7265625
68,A2C,set1,34500,-75631.40625
69,A2C,set1,35000,-75629.53125
70,A2C,set1,35500,-75519.1953125
71,A2C,set1,36000,-75409.4765625
72,A2C,set1,36500,-75410.796875
73,A2C,set1,37000,-75605.6484375
74,A2C,set1,37500,-76989.3125
75,A2C,set1,38000,-77184.203125
76,A2C,set1,38500,-77180.921875
77,A2C,set1,39000,-77180.921875
78,A2C,set1,39500,-77088.4296875
79,A2C,set1,40000,-77088.4296875
80,A2C,set1,40500,-76101.3984375
81,A2C,set1,41000,-76101.3984375
82,A2C,set1,41500,-76007.5625
83,A2C,set1,42000,-77395.328125
84,A2C,set1,42500,-78688.7734375
85,A2C,set1,43000,-76693.96875
86,A2C,set1,43500,-76996.5078125
87,A2C,set1,44000,-77296.6484375
88,A2C,set1,44500,-78293.390625
89,A2C,set1,45000,-76098.2421875
90,A2C,set1,45500,-76303.359375
91,A2C,set1,46000,-76906.6953125
92,A2C,set1,46500,-76911.765625
93,A2C,set1,47000,-76821.1640625
94,A2C,set1,47500,-76821.1640625
95,A2C,set1,48000,-76729.1171875
96,A2C,set1,48500,-76733.2578125
97,A2C,set1,49000,-76733.2578125
98,A2C,set1,49500,-75745.1171875
99,A2C,set1,50000,-75745.1171875
100,A2C,set1,50500,-74753.1484375
101,A2C,set1,51000,-74658.6953125
102,A2C,set1,51500,-74660.0
103,A2C,set1,52000,-74662.375
104,A2C,set1,52500,-74662.375
105,A2C,set1,53000,-74567.8671875
106,A2C,set1,53500,-74473.53125
107,A2C,set1,54000,-74380.203125
108,A2C,set1,54500,-74589.625
109,A2C,set1,55000,-74511.6796875
110,A2C,set1,55500,-74415.8046875
111,A2C,set1,56000,-74415.8046875
112,A2C,set1,56500,-73223.390625
