train/critic_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,time/episodes,time/time_elapsed,train/actor_loss,eval/mean_ep_length,eval/mean_reward
75112.953125,65.0,728,0.001,78,0.9754506349563599,-8991.52957925,-0.17953552305698395,289,4,2,19.955537796020508,,
12736.140625,107.5,2656,0.001,319,0.9774256944656372,-13527.639722875001,0.1218968853354454,309,8,8,-248.34500122070312,,
86509.734375,122.41666666666667,3304,0.001,400,0.998594343662262,-13873.104109583335,0.008909055963158607,310,12,10,-137.42758178710938,,
26324.287109375,168.5,5040,0.001,617,1.059341311454773,-17688.701993937502,-0.3379285931587219,310,16,16,-54.33722686767578,,
28458.41015625,240.45,6760,0.001,832,1.1207762956619263,-19316.984044600005,-0.3244818150997162,312,20,21,40.00924301147461,,
65571.15625,269.7916666666667,8344,0.001,1030,1.1609525680541992,-20078.438258791666,-0.3129013180732727,313,24,26,47.57453155517578,,
18524.923828125,264.4642857142857,9552,0.001,1181,1.194611668586731,-17787.065600214286,-0.6204912662506104,312,28,30,119.1502685546875,,
24916.18359375,243.09677419354838,10000,0.001,1237,1.2081472873687744,-16837.364728548386,-0.5017062425613403,312,31,32,-11.238886833190918,,
,,10000,,,,,,,,,,656.4,-26674.4800598
21129.4453125,241.1875,10328,0.001,1278,1.2174246311187744,-16517.79382815625,-0.4325219392776489,263,32,39,111.51112365722656,,
140729.34375,277.8611111111111,11240,0.001,1392,1.2478713989257812,-17401.303397,-0.6675456762313843,267,36,42,188.77938842773438,,
19648.3828125,268.675,12800,0.001,1587,1.3047170639038086,-16754.6723146,-0.6442805528640747,273,40,46,-32.4024772644043,,
39654.703125,269.40909090909093,14728,0.001,1828,1.3760911226272583,-15982.886356318182,-0.819600522518158,279,44,52,37.160545349121094,,
28736.19140625,290.5208333333333,16152,0.001,2006,1.4277697801589966,-15977.720255333334,-0.5171827077865601,282,48,57,36.427249908447266,,
120731.8359375,288.1923076923077,16880,0.001,2097,1.4542620182037354,-15287.629898096155,-0.8098230361938477,285,52,59,35.99789810180664,,
33406.4765625,272.6607142857143,17240,0.001,2142,1.4707022905349731,-14472.056264839284,-1.3053185939788818,286,56,60,106.60082244873047,,
172663.953125,284.3333333333333,18416,0.001,2289,1.5431848764419556,-14416.051183666665,-1.6588687896728516,288,60,63,-99.10960388183594,,
30559.005859375,283.71875,19688,0.001,2448,1.6165356636047363,-13814.208308718751,-1.0877504348754883,289,64,67,-36.824249267578125,,
58326.953125,279.4769230769231,20000,0.001,2487,1.6298341751098633,-13679.06245726154,-0.7719681262969971,289,65,68,-21.56116485595703,,
,,20000,,,,,,,,,,544.6,-11727.645667400002
176451.8125,280.79411764705884,20976,0.001,2609,1.663030743598938,-14023.19086842647,-1.131699562072754,272,68,77,-65.81402587890625,,
288186.8125,285.8888888888889,22256,0.001,2769,1.7207249402999878,-14175.806936013889,-1.0468127727508545,274,72,81,-29.380435943603516,,
27209.36328125,292.64473684210526,25200,0.001,3137,1.8689353466033936,-13607.061261394738,-1.521478295326233,278,76,90,-112.00361633300781,,
23428.705078125,321.34567901234567,28112,0.001,3501,1.9794785976409912,-14120.704321123458,-1.2015808820724487,281,80,99,-95.80079650878906,,
26049.708984375,328.9404761904762,28608,0.001,3563,2.00260329246521,-13829.094533416666,-0.442807674407959,281,84,101,-24.393613815307617,,
18724.283203125,330.98837209302326,30000,0.001,3737,2.0485117435455322,-13696.606956383719,-0.6466175317764282,282,86,106,-142.74853515625,,
,,30000,,,,,,,,,,436.0,-48115.2954342
15330.5419921875,328.57954545454544,30464,0.001,3795,2.0589418411254883,-13567.712859704545,-0.5310888886451721,272,88,111,-168.11740112304688,,
23427.41015625,325.80434782608694,31024,0.001,3865,2.0671751499176025,-13549.418412913043,-0.5437016487121582,273,92,113,-223.95599365234375,,
39719.45703125,323.875,31848,0.001,3968,2.0764825344085693,-13033.502795958333,0.12714432179927826,274,96,116,-233.0738983154297,,
100302.546875,314.18,32352,0.001,4031,2.075756549835205,-12559.35224988,-0.17372730374336243,274,100,117,-203.14334106445312,,
74037.6015625,320.01,33224,0.001,4140,2.0831563472747803,-12149.669220999996,-0.10385933518409729,275,104,120,-231.38377380371094,,
213502.03125,330.39,35496,0.001,4424,2.094101667404175,-11365.428042399997,0.43528127670288086,277,108,127,-294.19683837890625,,
25802.640625,337.07,36744,0.001,4580,2.0915050506591797,-11012.06448158,0.02061489224433899,278,112,132,-233.13616943359375,,
30568.994140625,336.08,37424,0.001,4665,2.0872342586517334,-10074.36789335,0.6512829661369324,278,116,134,-252.6212158203125,,
25124.56640625,321.73,38568,0.001,4808,2.0754339694976807,-9084.03840374,-0.009070992469787598,279,120,138,-335.02606201171875,,
13717.19140625,309.34,39136,0.001,4879,2.070077657699585,-8154.952990590001,0.5615445375442505,279,124,139,-335.9435729980469,,
48541.5625,309.24,40000,0.001,4987,2.0495047569274902,-8241.68248642,0.3130248785018921,280,126,142,-426.9251708984375,,
,,40000,,,,,,,,,,351.0,-6447.5615278000005
24107.876953125,316.7,40520,0.001,5052,2.040964365005493,-8165.883523979999,-0.06527093052864075,274,128,147,-333.5847473144531,,
123221.21875,328.54,42480,0.001,5297,2.024507522583008,-7887.449275039998,-0.19115859270095825,276,132,153,-417.5854797363281,,
294161.5,322.69,44488,0.001,5548,2.0083532333374023,-7167.758497229998,-0.015852510929107666,278,136,159,-454.1988220214844,,
109025.8125,330.07,45856,0.001,5719,1.9984111785888672,-6936.85337408,0.31077665090560913,278,140,164,-397.8270568847656,,
28373.0859375,337.89,48368,0.001,6033,1.9682198762893677,-7076.65286229,-0.20480802655220032,280,144,172,-469.88079833984375,,
18086.47265625,329.68,49136,0.001,6129,1.9654536247253418,-6750.6284473999995,0.034009311348199844,280,148,175,-480.4951171875,,
31999.9453125,331.95,50000,0.001,6237,1.9560290575027466,-6868.752570240001,0.2676936089992523,281,150,177,-515.6739501953125,,
,,50000,,,,,,,,,,240.4,1614.1166417999998
189123.59375,336.73,50696,0.001,6324,1.9561827182769775,-6821.377706119999,-0.34996646642684937,278,152,182,-422.6814270019531,,
97024.375,347.32,52304,0.001,6525,1.9639570713043213,-6561.21696444,0.20932680368423462,278,156,187,-704.271484375,,
90920.59375,352.87,53864,0.001,6720,1.947452187538147,-6037.34784462,0.451265424489975,279,160,192,-665.42919921875,,
23610.58203125,358.66,55240,0.001,6892,1.9186291694641113,-6039.2112563,0.1340501755475998,280,164,196,-494.0038757324219,,
155963.109375,353.98,56480,0.001,7047,1.8956493139266968,-5389.0838730700025,0.29155054688453674,281,168,200,-564.80224609375,,
60509.8515625,349.87,57880,0.001,7222,1.858657956123352,-4732.20276342,0.5126408934593201,282,172,205,-662.6563720703125,,
51956.9609375,355.27,59088,0.001,7373,1.8359774351119995,-4502.75521417,-0.06847172975540161,282,176,208,-614.7816772460938,,
29695.064453125,337.63,59712,0.001,7451,1.8390848636627197,-3686.34724334,-0.12173411250114441,282,180,211,-675.2698364257812,,
270912.46875,337.63,60000,0.001,7487,1.8429181575775146,-3686.34724334,-0.39549943804740906,283,180,211,-603.0880126953125,,
,,60000,,,,,,,,,,465.4,-38544.1834174
