train/actor_loss,time/total_timesteps,time/fps,train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
86.9303207397461,1352,288,7088.16796875,156,0.001,0.9768949151039124,160.25,4,0.1634196937084198,4,-18799.5538845,,
10.222922325134277,2992,303,21241.171875,361,0.001,1.0055469274520874,202.5,9,-0.013687122613191605,8,-27532.255645375,,
186.21603393554688,5256,317,9988.765625,644,0.001,1.0657129287719727,230.0,16,-0.05829358100891113,12,-28200.628481916665,,
122.21961975097656,6208,318,41395.31640625,763,0.001,1.0727336406707764,268.0625,19,-0.19376027584075928,16,-30855.25743525,,
210.16665649414062,9312,322,7811.55322265625,1151,0.001,1.1637424230575562,306.9,28,-0.17609652876853943,20,-29003.318198150002,,
217.31410217285156,10000,321,8018.36376953125,1237,0.001,1.1742925643920898,306.9,31,-0.22519007325172424,20,-29003.318198150002,,
,10000,,,,,,,,,,,571.8,-5886.594505399999
241.06100463867188,10856,277,6678.330078125,1344,0.001,1.184926986694336,338.0416666666667,39,-0.05107501894235611,24,-25995.055445875,,
228.58847045898438,14704,289,12212.01953125,1825,0.001,1.260534405708313,402.42857142857144,50,-0.09612125903367996,28,-24768.905357392858,,
265.0194091796875,15424,290,13488.736328125,1915,0.001,1.2672040462493896,415.8125,53,-0.2621272802352905,32,-22670.2865418125,,
239.38796997070312,16408,293,59899.046875,2038,0.001,1.278231143951416,406.47222222222223,55,-0.1245652437210083,36,-21062.84188197222,,
167.69705200195312,18312,299,11346.83984375,2276,0.001,1.2962901592254639,378.25,61,0.10771985352039337,40,-19661.122103825,,
200.84278869628906,20000,301,15918.9814453125,2487,0.001,1.2953081130981445,376.04651162790697,66,-0.11339554190635681,43,-18635.10813955814,,
,20000,,,,,,,,,,,812.4,-66022.5382572
144.9619140625,20040,270,10887.4814453125,2492,0.001,1.2958626747131348,390.22727272727275,74,-0.23751722276210785,44,-18383.759291863636,,
105.34480285644531,21584,273,99410.0625,2685,0.001,1.3192576169967651,399.1666666666667,78,-0.07505415380001068,48,-17407.66912314583,,
73.04988098144531,23096,276,20267.86328125,2874,0.001,1.3249824047088623,397.71153846153845,83,-0.046354856342077255,52,-16375.542913057689,,
127.42271423339844,24032,278,31175.93359375,2991,0.001,1.334290623664856,402.0357142857143,86,-0.3426883816719055,56,-15808.61529719643,,
68.298095703125,26312,281,9830.423828125,3276,0.001,1.3865418434143066,401.51666666666665,93,0.13948902487754822,60,-15308.063030166668,,
18.447856903076172,28136,282,18616.80078125,3504,0.001,1.3612747192382812,397.765625,99,0.1204492449760437,64,-14839.25791815625,,
37.80912780761719,30000,284,179513.921875,3737,0.001,1.382218599319458,401.8636363636364,105,-0.24561315774917603,66,-15407.053137151515,,
,30000,,,,,,,,,,,778.0,-20312.25054
47.619773864746094,30888,267,160869.03125,3848,0.001,1.3942087888717651,418.5,115,-0.22921964526176453,68,-15554.253709602941,,
10.753421783447266,34000,272,14298.10546875,4237,0.001,1.4465479850769043,418.43055555555554,124,-0.07497358322143555,72,-15188.569732763888,,
-65.39852905273438,35968,274,18472.1484375,4483,0.001,1.476662039756775,434.7894736842105,131,-0.13042214512825012,76,-14932.650133565789,,
-68.2647705078125,36800,275,57442.046875,4587,0.001,1.481247901916504,437.225,133,-0.155631884932518,80,-14822.734753949999,,
-108.36033630371094,38440,276,180451.34375,4792,0.001,1.51288902759552,436.0952380952381,138,-0.08709825575351715,84,-14417.544748785715,,
-68.11859893798828,40000,277,103725.921875,4987,0.001,1.507648229598999,428.4712643678161,143,0.11113657057285309,87,-14051.55669518391,,
,40000,,,,,,,,,,,1000.0,-8458.5384226
