time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,eval/mean_ep_length,eval/mean_reward
4,1662,-4843.201725000001,0,96,8.5,,,,,,,,
8,268,-5266.350174125,1,352,14.375,0.9899758100509644,327667.9375,31,-7.456470966339111,0.001,-0.08676564693450928,,
12,282,-7017.223690499999,2,808,31.166666666666668,0.9710073471069336,413110.21875,88,32.935882568359375,0.001,-0.2732810378074646,,
16,284,-6600.7163633125,3,904,28.375,0.9670705795288086,290054.125,100,52.564151763916016,0.001,-0.29438477754592896,,
20,287,-7043.115587849999,3,1128,34.9,0.9585743546485901,299637.53125,128,3.1860766410827637,0.001,-0.1924847513437271,,
24,320,-12588.689643958334,12,4088,68.83333333333333,1.0785202980041504,98361.328125,498,-79.15245056152344,0.001,-1.069156289100647,,
28,322,-16790.428912071427,15,4952,92.82142857142857,1.123373031616211,42670.140625,606,-159.15213012695312,0.001,-1.558535099029541,,
32,326,-21738.14977540625,18,5992,124.90625,1.1799240112304688,174252.59375,736,52.101905822753906,0.001,-2.2865054607391357,,
36,327,-22819.480413916666,18,6120,130.0,1.186379075050354,174242.828125,752,44.465694427490234,0.001,-2.086848258972168,,
40,326,-25439.3860446,19,6368,145.6,1.1984519958496094,170924.46875,783,74.67720031738281,0.001,-2.2348878383636475,,
44,329,-23819.544989227274,21,6928,138.3409090909091,1.2258468866348267,61168.9140625,853,94.61679077148438,0.001,-2.417782783508301,,
48,329,-23180.298063375,21,7232,137.0,1.2390679121017456,90631.625,891,191.06552124023438,0.001,-2.021272659301758,,
52,330,-21732.39447363462,22,7416,128.28846153846155,1.247258186340332,52064.49609375,914,207.57833862304688,0.001,-2.1160998344421387,,
56,331,-21051.884902375,23,7656,129.41071428571428,1.2573052644729614,72337.1875,944,234.74203491210938,0.001,-2.370664596557617,,
60,332,-19710.950292233334,24,8008,127.43333333333334,1.2728503942489624,271409.625,988,106.21299743652344,0.001,-2.5003349781036377,,
64,332,-18685.686062265624,24,8104,121.359375,1.2770804166793823,45771.640625,1000,185.62649536132812,0.001,-2.164472818374634,,
68,332,-17411.965343088235,25,8408,118.05882352941177,1.2891024351119995,350923.9375,1038,160.7783203125,0.001,-2.1267447471618652,,
72,332,-16401.001647222223,25,8480,115.55555555555556,1.291961669921875,426642.4375,1047,95.10748291015625,0.001,-2.1966586112976074,,
76,332,-15704.95114176316,26,8744,110.48684210526316,1.302282691001892,88524.8515625,1080,149.2225341796875,0.001,-1.956300139427185,,
80,333,-15075.807778925,27,9032,108.225,1.3122490644454956,101585.0,1116,71.98538208007812,0.001,-1.5918288230895996,,
84,334,-14564.053439357143,27,9192,104.27380952380952,1.317461609840393,184844.5,1136,139.640380859375,0.001,-1.7700858116149902,,
88,334,-14085.659330545453,27,9368,101.0,1.3226544857025146,199372.71875,1158,119.9446029663086,0.001,-1.7324604988098145,,
92,335,-13732.145166532608,28,9560,98.42391304347827,1.328588843345642,196751.15625,1182,230.23248291015625,0.001,-1.746453046798706,,
96,336,-13389.736153958334,29,9864,97.30208333333333,1.3378734588623047,231995.59375,1220,207.694091796875,0.001,-1.267747402191162,,
97,336,-13328.199582350515,29,10000,97.80412371134021,1.3417456150054932,143331.65625,1237,289.9489440917969,0.001,-1.4742178916931152,,
,,,,10000,,,,,,,,51.0,-2250.9631997999995
100,330,-13109.56259728,30,10072,96.92,1.3436613082885742,243300.9375,1246,299.9597473144531,0.001,-1.674931287765503,,
104,330,-13081.447379079998,30,10152,97.49,1.3455958366394043,329891.59375,1256,299.6566467285156,0.001,-1.56009840965271,,
108,330,-12950.011128019998,31,10360,99.68,1.3514853715896606,148372.375,1282,300.2366943359375,0.001,-1.7010266780853271,,
112,330,-12576.342656089999,31,10464,98.77,1.3541854619979858,284446.28125,1295,305.37933349609375,0.001,-1.8390260934829712,,
116,330,-12498.32222201,32,10592,99.18,1.357681393623352,390930.84375,1311,278.21844482421875,0.001,-2.184208869934082,,
120,330,-12154.86101916,33,10984,98.76,1.371528148651123,212007.578125,1360,185.40350341796875,0.001,-2.6392810344696045,,
124,327,-10857.850369599999,36,11832,92.43,1.4072215557098389,326140.375,1466,311.33697509765625,0.001,-3.0263376235961914,,
128,327,-9377.27684859,37,12136,87.94,1.422215223312378,227558.46875,1504,240.79022216796875,0.001,-2.926847219467163,,
132,327,-7457.296260619998,38,12504,78.76,1.439806342124939,356892.15625,1550,190.15237426757812,0.001,-2.9250988960266113,,
136,327,-6308.371074680002,39,13008,75.69,1.4629133939743042,256678.03125,1613,304.97064208984375,0.001,-2.636098861694336,,
140,327,-4113.535019350001,40,13424,66.63,1.4815746545791626,216387.65625,1665,368.36529541015625,0.001,-2.8211402893066406,,
144,328,-3964.7068404100005,42,13864,67.19,1.5014994144439697,276430.125,1720,345.80914306640625,0.001,-2.835498332977295,,
148,329,-3232.8253966800003,43,14296,64.81,1.5195114612579346,435695.875,1774,323.75238037109375,0.001,-2.615994453430176,,
152,330,-3142.79038389,44,14680,65.85,1.5342233180999756,92500.3984375,1822,161.75099182128906,0.001,-2.4417240619659424,,
156,330,-3933.9053770699998,44,14824,69.11,1.539450764656067,163275.28125,1840,218.637939453125,0.001,-2.1078743934631348,,
160,331,-4204.8819541,45,15064,70.46,1.5476758480072021,322087.375,1870,335.2397766113281,0.001,-2.1181225776672363,,
164,331,-4071.7012717199996,46,15368,70.58,1.5577667951583862,380640.6875,1908,222.31431579589844,0.001,-2.295360803604126,,
168,332,-4217.901781569999,47,15632,69.81,1.5670214891433716,234992.984375,1941,415.926025390625,0.001,-2.465959072113037,,
172,333,-4876.15595321,48,16192,73.52,1.5886361598968506,246488.359375,2011,286.42364501953125,0.001,-2.557812213897705,,
176,334,-4991.79655079,49,16552,75.79,1.6030172109603882,348409.15625,2056,293.421630859375,0.001,-2.9219679832458496,,
180,334,-5003.084061329999,49,16696,75.04,1.6090954542160034,290096.3125,2074,327.01470947265625,0.001,-2.8464720249176025,,
184,334,-4952.661296900001,50,17032,79.52,1.6235060691833496,319516.5625,2116,354.2838134765625,0.001,-2.5605273246765137,,
188,335,-4922.3027819300005,51,17328,80.4,1.6353803873062134,177637.96875,2153,202.03594970703125,0.001,-2.8824987411499023,,
192,335,-4857.80511522,52,17576,80.89,1.6452252864837646,560367.0625,2184,181.89990234375,0.001,-2.474081516265869,,
196,335,-4717.3060311,52,17736,81.69,1.65183687210083,224848.3125,2204,300.4537353515625,0.001,-2.5774176120758057,,
200,335,-4558.70203993,53,18048,80.11,1.6646819114685059,383167.5625,2243,353.1103515625,0.001,-3.227908134460449,,
204,335,-4423.1198664,54,18232,81.48,1.6732484102249146,182033.8125,2266,386.74542236328125,0.001,-3.265085458755493,,
208,337,-4365.9166886,56,19016,81.57,1.7113559246063232,272261.0625,2364,283.8424072265625,0.001,-3.291581869125366,,
212,338,-4453.41420758,57,19288,83.34,1.7259242534637451,430844.53125,2398,341.8930358886719,0.001,-3.2255988121032715,,
216,338,-4391.136973860001,57,19488,84.59,1.7356011867523193,242125.671875,2423,397.5641784667969,0.001,-3.2974929809570312,,
220,339,-4391.657540210001,58,19776,84.31,1.750059723854065,414883.0625,2459,384.8887939453125,0.001,-3.3738045692443848,,
222,339,-4498.283386769999,58,20000,86.98,1.7607899904251099,212789.5,2487,363.06317138671875,0.001,-3.1247775554656982,,
,,,,20000,,,,,,,,156.2,-236.0281518
224,332,-4333.08094672,60,20096,88.32,1.7654619216918945,265242.90625,2499,367.6712341308594,0.001,-3.0168261528015137,,
228,333,-3905.2412694600002,60,20256,84.22,1.77360200881958,381521.125,2519,317.2126159667969,0.001,-3.2507238388061523,,
232,334,-3611.007635400001,61,20568,81.16,1.7885966300964355,250562.21875,2558,383.1099548339844,0.001,-3.335871458053589,,
236,335,-3514.9013303300003,62,21008,81.55,1.8097325563430786,75940.25,2613,503.38873291015625,0.001,-3.235753059387207,,
240,335,-3701.0683648500008,63,21416,80.46,1.8300381898880005,358931.5,2664,421.6933288574219,0.001,-3.0993921756744385,,
244,335,-3825.5447728399995,64,21632,84.04,1.8403397798538208,338038.4375,2691,382.802734375,0.001,-2.5212676525115967,,
248,334,-4235.50211383,65,22064,85.15,1.8598418235778809,454055.75,2745,427.1580505371094,0.001,-3.264282703399658,,
252,335,-4645.36583147,67,22784,89.42,1.8940982818603516,301999.3125,2835,305.53302001953125,0.001,-3.03161883354187,,
256,335,-3339.9387951800004,68,22896,83.59,1.8995991945266724,83727.0625,2849,273.150634765625,0.001,-2.5971460342407227,,
260,335,-3042.35097993,69,23424,79.66,1.922148585319519,213924.859375,2915,287.526611328125,0.001,-3.094231605529785,,
264,333,-3199.81466849,71,23936,81.51,1.9445780515670776,321067.5,2979,337.43267822265625,0.001,-3.2184572219848633,,
268,333,-3645.2726722199995,74,24744,84.94,1.9838823080062866,610687.125,3080,169.26773071289062,0.001,-3.0687670707702637,,
272,333,-3204.1121778799993,77,25968,84.17,2.053941011428833,227626.640625,3233,334.8647155761719,0.001,-3.59682297706604,,
276,333,-3793.6249449099996,78,26328,94.96,2.0737414360046387,187928.375,3278,229.98080444335938,0.001,-3.5421786308288574,,
280,334,-4110.67658064,79,26632,100.66,2.0903780460357666,352097.125,3316,302.65850830078125,0.001,-3.0274009704589844,,
284,334,-3715.9193747100003,80,26744,97.33,2.0952467918395996,347762.125,3330,397.8349609375,0.001,-3.057243824005127,,
288,334,-3704.00564763,80,26856,95.81,2.101217031478882,523765.5625,3344,213.33200073242188,0.001,-3.0985970497131348,,
292,334,-3427.6388609299993,80,27064,95.49,2.1119983196258545,369640.5625,3370,425.0850830078125,0.001,-2.823185443878174,,
296,334,-3552.5455070300004,82,27544,95.77,2.134502649307251,228159.140625,3430,331.4193115234375,0.001,-2.4890825748443604,,
300,334,-3343.5605108,82,27760,96.78,2.1435012817382812,462816.75,3457,375.8819274902344,0.001,-2.2393298149108887,,
304,334,-3554.9671533800006,83,28096,96.31,2.156977653503418,135276.1875,3499,241.7301025390625,0.001,-2.483934164047241,,
308,334,-3601.5009538,84,28392,96.87,2.1686737537384033,168739.171875,3536,297.85186767578125,0.001,-3.175264596939087,,
312,334,-3478.3234557400006,85,28488,94.88,2.1726887226104736,542328.875,3548,307.6789245605469,0.001,-2.759138584136963,,
316,334,-3437.35483304,85,28688,95.09,2.1809847354888916,318470.75,3573,131.56597900390625,0.001,-2.9657094478607178,,
320,335,-3205.4851037,89,29960,100.44,2.2347874641418457,94821.390625,3732,298.3347473144531,0.001,-2.184140205383301,,
320,335,-3205.4851037,89,30000,100.44,2.2366766929626465,334325.0,3737,335.3144226074219,0.001,-2.1460530757904053,,
,,,,30000,,,,,,,,760.2,-68959.74285980001
324,315,-2656.24336878,97,30920,98.35,2.271681785583496,172602.359375,3852,118.39892578125,0.001,-2.237359046936035,,
328,315,-3049.98709217,99,31528,106.13,2.296363353729248,65363.640625,3928,366.5047302246094,0.001,-2.3767950534820557,,
332,316,-2923.5221262499995,101,31976,110.57,2.31485915184021,328234.8125,3984,229.67852783203125,0.001,-2.4700896739959717,,
336,316,-2748.7696345399995,102,32432,111.56,2.3348569869995117,343871.3125,4041,122.57305145263672,0.001,-2.446573257446289,,
340,316,-2760.9078713400004,103,32672,111.67,2.3452200889587402,86498.828125,4071,312.87567138671875,0.001,-2.605905532836914,,
344,316,-2582.03851675,105,33216,109.03,2.3663737773895264,173914.703125,4139,251.87603759765625,0.001,-2.1073415279388428,,
348,315,-2235.31208333,106,33520,106.41,2.3764023780822754,82862.0,4177,158.50328063964844,0.001,-1.6857786178588867,,
352,315,-1470.2810472399997,107,33824,105.04,2.385880708694458,126547.1875,4215,116.23481750488281,0.001,-2.3869457244873047,,
