train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/critic_loss,train/actor_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.001,56,-0.16672241687774658,0.9819404482841492,4,37.25,1,276,552,10427.421875,6.271882057189941,-6364.009583000001,,
0.001,158,0.05150382220745087,0.954990804195404,8,78.125,4,315,1368,52648.84765625,-164.34231567382812,-9214.520393375,,
0.001,362,0.053819023072719574,0.9890242218971252,12,117.16666666666667,9,330,3000,85852.96875,-277.8013916015625,-14444.185316416666,,
0.001,445,-0.04796307161450386,1.011353611946106,16,130.125,11,330,3664,21459.27734375,-94.82485961914062,-15941.268175874999,,
0.001,583,-0.35999202728271484,1.0570436716079712,20,168.55,14,332,4768,92532.6640625,-81.61700439453125,-21841.7650965,,
0.001,830,-0.9920491576194763,1.1565054655075073,24,193.625,20,336,6744,14249.91796875,252.77137756347656,-25037.054063958334,,
0.001,1106,-1.4419667720794678,1.2841997146606445,28,221.17857142857142,26,337,8952,99974.109375,248.98733520507812,-27849.759880642854,,
0.001,1237,-1.4880766868591309,1.336542010307312,30,213.83333333333334,29,337,10000,17532.109375,188.4368896484375,-26674.9923082,,
,,,,,,,,10000,,,,-55349.3705644,429.0
0.001,1331,-1.1879963874816895,1.3691186904907227,32,239.875,35,304,10752,47895.171875,256.1666259765625,-27954.263725718753,,
0.001,1450,-0.8783653974533081,1.4010411500930786,36,284.55555555555554,38,306,11704,16224.19140625,241.2593994140625,-28686.160453888893,,
0.001,1630,-0.7777205109596252,1.4373537302017212,40,265.175,42,309,13144,21184.5,261.96002197265625,-26262.243030675,,
0.001,1763,-0.736866295337677,1.4670566320419312,44,276.59090909090907,45,312,14208,48015.2734375,280.41217041015625,-24961.031863636363,,
0.001,1915,-0.8832235336303711,1.4997731447219849,48,275.7916666666667,48,317,15424,27073.318359375,115.29976654052734,-23355.8816156875,,
